F,phi_mean_all,phi_mean_intact,survival,n_intact
1277.0289,0.716525,0.087918,0.310800,3108
1281.5573,0.722297,0.088302,0.304600,3046
1286.0858,0.728663,0.088555,0.297700,2977
1290.6143,0.734878,0.088929,0.291000,2910
1295.1428,0.741819,0.089309,0.283500,2835
1299.6712,0.746925,0.089658,0.278000,2780
1304.1997,0.753826,0.089931,0.270500,2705
1308.7282,0.760290,0.090284,0.263500,2635
1313.2566,0.766535,0.090512,0.256700,2567
1317.7851,0.772985,0.090850,0.249700,2497
1322.3136,0.779045,0.091093,0.243100,2431
1326.8421,0.785273,0.091294,0.236300,2363
1331.3705,0.791696,0.091563,0.229200,2292
1335.8990,0.797588,0.091916,0.222900,2229
1340.4275,0.803915,0.092200,0.216000,2160
1344.9559,0.810244,0.092512,0.209100,2091
1349.4844,0.815858,0.092897,0.203000,2030
1354.0129,0.820470,0.093284,0.198000,1980
1358.5414,0.826722,0.093733,0.191200,1912
1363.0698,0.833107,0.093956,0.184200,1842
1367.5983,0.838593,0.094235,0.178200,1782
1372.1268,0.843879,0.094427,0.172400,1724
1376.6552,0.850702,0.094618,0.164900,1649
1381.1837,0.857913,0.094989,0.157000,1570
1385.7122,0.864973,0.094995,0.149200,1492
1390.2407,0.870700,0.095171,0.142900,1429
1394.7691,0.877145,0.095325,0.135800,1358
1399.2976,0.883035,0.095401,0.129300,1293
1403.8261,0.889095,0.095388,0.122600,1226
1408.3545,0.894995,0.095568,0.116100,1161
1412.8830,0.900686,0.095501,0.109800,1098
1417.4115,0.905587,0.095659,0.104400,1044
1421.9399,0.910897,0.096323,0.098600,986
1426.4684,0.915437,0.095583,0.093500,935
1430.9969,0.919517,0.095701,0.089000,890
1435.5254,0.922963,0.095807,0.085200,852
1440.0538,0.927942,0.095880,0.079700,797
1444.5823,0.932024,0.096069,0.075200,752
1449.1108,0.935551,0.096088,0.071300,713
1453.6392,0.938180,0.096193,0.068400,684
1458.1677,0.942422,0.096114,0.063700,637
1462.6962,0.946111,0.095821,0.059600,596
1467.2247,0.949095,0.095829,0.056300,563
1471.7531,0.952169,0.095830,0.052900,529
1476.2816,0.955318,0.095497,0.049400,494
1480.8101,0.957495,0.095649,0.047000,470
1485.3385,0.960030,0.095707,0.044200,442
1489.8670,0.962751,0.095903,0.041200,412
1494.3955,0.965099,0.095830,0.038600,386
1498.9240,0.967531,0.095583,0.035900,359
1503.4524,0.969862,0.094950,0.033300,333
1507.9809,0.971395,0.094775,0.031600,316
1512.5094,0.972399,0.095035,0.030500,305
1517.0378,0.973406,0.095427,0.029400,294
1521.5663,0.974668,0.095278,0.028000,280
1526.0948,0.975577,0.095431,0.027000,270
1530.6233,0.976843,0.095429,0.025600,256
1535.1517,0.977390,0.095602,0.025000,250
1539.6802,0.977760,0.095950,0.024600,246
1544.2087,0.978844,0.095890,0.023400,234
1548.7371,0.979837,0.095843,0.022300,223
1553.2656,0.980663,0.096416,0.021400,214
1557.7941,0.981835,0.096284,0.020100,201
1562.3226,0.982563,0.096554,0.019300,193
1566.8510,0.983290,0.096741,0.018500,185
1571.3795,0.983924,0.096872,0.017800,178
1575.9080,0.984656,0.097423,0.017000,170
1580.4364,0.985124,0.098419,0.016500,165
1584.9649,0.985320,0.099411,0.016300,163
1589.4934,0.985782,0.100141,0.015800,158
1594.0219,0.986060,0.100643,0.015500,155
1598.5503,0.986432,0.101483,0.015100,151
1603.0788,0.986623,0.102235,0.014900,149
1607.6073,0.987173,0.109229,0.014400,144
1612.1357,0.987804,0.103209,0.013600,136
1616.6642,0.988177,0.104287,0.013200,132
1621.1927,0.988898,0.104641,0.012400,124
1625.7212,0.988998,0.105518,0.012300,123
1630.2496,0.989277,0.106407,0.012000,120
1634.7781,0.989822,0.107196,0.011400,114
1639.3066,0.990180,0.107292,0.011000,110
1643.8350,0.990455,0.107971,0.010700,107
1648.3635,0.990730,0.108612,0.010400,104
1652.8920,0.991543,0.109812,0.009500,95
1657.4205,0.992349,0.110301,0.008600,86
1661.9489,0.992885,0.110667,0.008000,80
1666.4774,0.993159,0.111526,0.007700,77
1671.0059,0.993431,0.112311,0.007400,74
1675.5343,0.993792,0.113077,0.007000,70
1680.0628,0.994065,0.114245,0.006700,67
1684.5913,0.994420,0.114271,0.006300,63
1689.1197,0.994956,0.115166,0.005700,57
1693.6482,0.995047,0.115590,0.005600,56
1698.1767,0.995231,0.116820,0.005400,54
1702.7052,0.995416,0.118504,0.005200,52
1707.2336,0.995597,0.119423,0.005000,50
1711.7621,0.995957,0.121000,0.004600,46
1716.2906,0.996405,0.123115,0.004100,41
1720.8190,0.996582,0.123605,0.003900,39
1725.3475,0.996844,0.123384,0.003600,36
1729.8760,0.997023,0.124304,0.003400,34
1734.4045,0.997635,0.123978,0.002700,27
1738.9329,0.997898,0.124199,0.002400,24
1743.4614,0.998249,0.124431,0.002000,20
1747.9899,0.998600,0.125023,0.001600,16
1752.5183,0.998869,0.130127,0.001300,13
1757.0468,0.998958,0.131487,0.001200,12
1761.5753,0.999390,0.128983,0.000700,7
1766.1038,0.999391,0.129618,0.000700,7
1770.6322,0.999391,0.129779,0.000700,7
1775.1607,0.999478,0.130316,0.000600,6
1779.6892,0.999478,0.130408,0.000600,6
1784.2176,0.999653,0.132775,0.000400,4
1788.7461,0.999826,0.129722,0.000200,2
1793.2746,0.999826,0.130000,0.000200,2
1797.8031,0.999827,0.135556,0.000200,2
1802.3315,0.999827,0.136944,0.000200,2
1806.8600,0.999914,,0.000000,0
