u,phi_mean,phi_sd,n
0.0000,0.000000,0.000000,10000
0.0050,0.000000,0.000000,10000
0.0100,0.000000,0.000000,10000
0.0150,0.000000,0.000000,10000
0.0200,0.000000,0.000000,10000
0.0250,0.000000,0.000004,10000
0.0300,0.000000,0.000009,10000
0.0350,0.000000,0.000014,10000
0.0400,0.000001,0.000019,10000
0.0450,0.000003,0.000037,10000
0.0500,0.000009,0.000063,10000
0.0550,0.000020,0.000101,10000
0.0600,0.000052,0.000176,10000
0.0650,0.000113,0.000297,10000
0.0700,0.000232,0.000478,10000
0.0750,0.000420,0.000651,10000
0.0800,0.000662,0.000778,10000
0.0850,0.000911,0.000864,10000
0.0900,0.001080,0.000860,10000
0.0950,0.001208,0.000849,10000
0.1000,0.001305,0.000852,10000
0.1050,0.001382,0.000889,10000
0.1100,0.001455,0.000978,10000
0.1150,0.001544,0.001072,10000
0.1200,0.001678,0.001224,10000
0.1250,0.001862,0.001447,10000
0.1300,0.002110,0.001709,10000
0.1350,0.002467,0.002044,10000
0.1400,0.002914,0.002357,10000
0.1450,0.003477,0.002645,10000
0.1500,0.004129,0.002890,10000
0.1550,0.004890,0.003091,10000
0.1600,0.005678,0.003218,10000
0.1650,0.006452,0.003277,10000
0.1700,0.007140,0.003313,10000
0.1750,0.007788,0.003330,10000
0.1800,0.008429,0.003345,10000
0.1850,0.009018,0.003365,10000
0.1900,0.009574,0.003443,10000
0.1950,0.010140,0.003531,10000
0.2000,0.010742,0.003688,10000
0.2050,0.011402,0.003885,10000
0.2100,0.012124,0.004060,10000
0.2150,0.012858,0.004167,10000
0.2200,0.013577,0.004228,10000
0.2250,0.014191,0.004224,10000
0.2300,0.014751,0.004150,10000
0.2350,0.015272,0.004065,10000
0.2400,0.015759,0.004001,10000
0.2450,0.016220,0.003938,10000
0.2500,0.016672,0.003902,10000
0.2550,0.017078,0.003896,10000
0.2600,0.017465,0.003901,10000
0.2650,0.017844,0.003936,10000
0.2700,0.018228,0.004008,10000
0.2750,0.018621,0.004097,10000
0.2800,0.019031,0.004211,10000
0.2850,0.019434,0.004325,10000
0.2900,0.019845,0.004457,10000
0.2950,0.020279,0.004593,10000
0.3000,0.020707,0.004706,10000
0.3050,0.021138,0.004805,10000
0.3100,0.021547,0.004903,10000
0.3150,0.021952,0.004976,10000
0.3200,0.022334,0.005041,10000
0.3250,0.022723,0.005115,10000
0.3300,0.023078,0.005196,10000
0.3350,0.023443,0.005285,10000
0.3400,0.023796,0.005350,10000
0.3450,0.024156,0.005419,10000
0.3500,0.024516,0.005499,10000
0.3550,0.024892,0.005582,10000
0.3600,0.025268,0.005676,10000
0.3650,0.025677,0.005781,10000
0.3700,0.026075,0.005886,10000
0.3750,0.026481,0.006001,10000
0.3800,0.026937,0.006135,10000
0.3850,0.027391,0.006277,10000
0.3900,0.027851,0.006425,10000
0.3950,0.028327,0.006560,10000
0.4000,0.028804,0.006680,10000
0.4050,0.029268,0.006776,10000
0.4100,0.029732,0.006864,10000
0.4150,0.030173,0.006941,10000
0.4200,0.030594,0.006979,10000
0.4250,0.030999,0.006987,10000
0.4300,0.031397,0.007019,10000
0.4350,0.031776,0.007026,10000
0.4400,0.032174,0.007034,10000
0.4450,0.032558,0.007058,10000
0.4500,0.032920,0.007071,10000
0.4550,0.033252,0.007074,10000
0.4600,0.033592,0.007078,10000
0.4650,0.033912,0.007074,10000
0.4700,0.034217,0.007060,10000
0.4750,0.034537,0.007042,10000
0.4800,0.034840,0.007026,10000
0.4850,0.035141,0.007006,10000
0.4900,0.035421,0.006991,10000
0.4950,0.035702,0.006959,10000
0.5000,0.035980,0.006929,10000
0.5050,0.036254,0.006883,10000
0.5100,0.036499,0.006838,10000
0.5150,0.036745,0.006797,10000
0.5200,0.037001,0.006765,10000
0.5250,0.037243,0.006714,10000
0.5300,0.037476,0.006670,10000
0.5350,0.037719,0.006622,10000
0.5400,0.037963,0.006581,10000
0.5450,0.038204,0.006573,10000
0.5500,0.038429,0.006580,10000
0.5550,0.038661,0.006590,10000
0.5600,0.038880,0.006615,10000
0.5650,0.039108,0.006637,10000
0.5700,0.039351,0.006677,10000
0.5750,0.039616,0.006740,10000
0.5800,0.039848,0.006806,10000
0.5850,0.040106,0.006890,10000
0.5900,0.040349,0.006971,10000
0.5950,0.040621,0.007073,10000
0.6000,0.040909,0.007188,10000
0.6050,0.041182,0.007295,10000
0.6100,0.041481,0.007425,10000
0.6150,0.041783,0.007537,10000
0.6200,0.042107,0.007666,10000
0.6250,0.042430,0.007790,10000
0.6300,0.042758,0.007895,10000
0.6350,0.043110,0.008006,10000
0.6400,0.043470,0.008119,10000
0.6450,0.043846,0.008252,10000
0.6500,0.044223,0.008374,10000
0.6550,0.044597,0.008485,10000
0.6600,0.045021,0.008627,10000
0.6650,0.045420,0.008737,10000
0.6700,0.045843,0.008839,10000
0.6750,0.046258,0.008902,10000
0.6800,0.046703,0.008984,10000
0.6850,0.047154,0.009067,10000
0.6900,0.047637,0.009194,10000
0.6950,0.048129,0.009302,10000
0.7000,0.048652,0.009427,10000
0.7050,0.049163,0.009530,10000
0.7100,0.049677,0.009602,10000
0.7150,0.050215,0.009705,10000
0.7200,0.050783,0.009815,10000
0.7250,0.051338,0.009927,10000
0.7300,0.051914,0.010040,10000
0.7350,0.052487,0.010167,10000
0.7400,0.053074,0.010293,10000
0.7450,0.053660,0.010396,10000
0.7500,0.054259,0.010526,10000
0.7550,0.054885,0.010646,10000
0.7600,0.055494,0.010749,10000
0.7650,0.056096,0.010881,10000
0.7700,0.056722,0.011016,10000
0.7750,0.057363,0.011126,10000
0.7800,0.057993,0.011260,10000
0.7850,0.058600,0.011368,10000
0.7900,0.059212,0.011463,10000
0.7950,0.059879,0.011580,10000
0.8000,0.060496,0.011691,10000
0.8050,0.061153,0.011810,10000
0.8100,0.061779,0.011911,10000
0.8150,0.062426,0.012021,10000
0.8200,0.063042,0.012120,10000
0.8250,0.063688,0.012215,10000
0.8300,0.064340,0.012292,10000
0.8350,0.064998,0.012386,10000
0.8400,0.065655,0.012470,10000
0.8450,0.066347,0.012551,10000
0.8500,0.067028,0.012615,10000
0.8550,0.067694,0.012701,10000
0.8600,0.068373,0.012786,10000
0.8650,0.069076,0.012866,10000
0.8700,0.069743,0.012964,10000
