F,phi_mean_all,phi_mean_intact,survival,n_intact
0.0000,0.000000,0.000000,1.000000,10000
6.9849,0.000000,0.000000,1.000000,10000
13.9697,0.000000,0.000000,1.000000,10000
20.9546,0.000000,0.000000,1.000000,10000
27.9394,0.000000,0.000000,1.000000,10000
34.9243,0.000000,0.000000,1.000000,10000
41.9092,0.000001,0.000001,1.000000,10000
48.8940,0.000002,0.000002,1.000000,10000
55.8789,0.000003,0.000003,1.000000,10000
62.8638,0.000005,0.000005,1.000000,10000
69.8486,0.000008,0.000008,1.000000,10000
76.8335,0.000013,0.000013,1.000000,10000
83.8183,0.000021,0.000021,1.000000,10000
90.8032,0.000032,0.000032,1.000000,10000
97.7881,0.000048,0.000048,1.000000,10000
104.7729,0.000067,0.000067,1.000000,10000
111.7578,0.000094,0.000094,1.000000,10000
118.7427,0.000126,0.000126,1.000000,10000
125.7275,0.000168,0.000168,1.000000,10000
132.7124,0.000222,0.000222,1.000000,10000
139.6972,0.000289,0.000289,1.000000,10000
146.6821,0.000370,0.000370,1.000000,10000
153.6670,0.000465,0.000465,1.000000,10000
160.6518,0.000571,0.000571,1.000000,10000
167.6367,0.000690,0.000690,1.000000,10000
174.6216,0.000826,0.000826,1.000000,10000
181.6064,0.000963,0.000963,1.000000,10000
188.5913,0.001101,0.001101,1.000000,10000
195.5761,0.001250,0.001250,1.000000,10000
202.5610,0.001381,0.001381,1.000000,10000
209.5459,0.001501,0.001501,1.000000,10000
216.5307,0.001604,0.001604,1.000000,10000
223.5156,0.001709,0.001709,1.000000,10000
230.5005,0.001832,0.001832,1.000000,10000
237.4853,0.001969,0.001969,1.000000,10000
244.4702,0.002111,0.002111,1.000000,10000
251.4550,0.002279,0.002279,1.000000,10000
258.4399,0.002487,0.002487,1.000000,10000
265.4248,0.002711,0.002711,1.000000,10000
272.4096,0.002967,0.002967,1.000000,10000
279.3945,0.003247,0.003247,1.000000,10000
286.3793,0.003548,0.003548,1.000000,10000
