u,phi_mean,phi_sd,n
0.8800,0.095841,0.016766,10000
0.8850,0.096840,0.016901,10000
0.8900,0.097871,0.017091,10000
0.8950,0.098910,0.017246,10000
0.9000,0.099942,0.017417,10000
0.9050,0.100979,0.017610,10000
0.9100,0.102058,0.017786,10000
0.9150,0.103155,0.017926,10000
0.9200,0.104251,0.018113,10000
0.9250,0.105376,0.018318,10000
0.9300,0.106529,0.018448,10000
0.9350,0.107667,0.018588,10000
0.9400,0.108831,0.018774,10000
0.9450,0.110056,0.018955,10000
0.9500,0.111244,0.019160,10000
0.9550,0.112481,0.019334,10000
0.9600,0.113768,0.019481,10000
0.9650,0.115044,0.019681,10000
0.9700,0.116378,0.019860,10000
0.9750,0.117674,0.020055,10000
0.9800,0.119063,0.020171,10000
0.9850,0.120469,0.020387,10000
0.9900,0.121866,0.020576,10000
0.9950,0.123348,0.020780,10000
1.0000,1.000000,0.000000,10000
