u,phi_mean,phi_sd,n
0.0000,0.000000,0.000000,10000
0.0050,0.000731,0.000668,10000
0.0100,0.001461,0.000938,10000
0.0150,0.002189,0.001152,10000
0.0200,0.002921,0.001349,10000
0.0250,0.003658,0.001524,10000
0.0300,0.004407,0.001690,10000
0.0350,0.005158,0.001847,10000
0.0400,0.005907,0.002002,10000
0.0450,0.006671,0.002159,10000
0.0500,0.007423,0.002292,10000
0.0550,0.008182,0.002436,10000
0.0600,0.008951,0.002576,10000
0.0650,0.009724,0.002701,10000
0.0700,0.010504,0.002831,10000
0.0750,0.011285,0.002953,10000
0.0800,0.012078,0.003077,10000
0.0850,0.012866,0.003209,10000
0.0900,0.013677,0.003330,10000
0.0950,0.014481,0.003449,10000
0.1000,0.015286,0.003578,10000
0.1050,0.016114,0.003726,10000
0.1100,0.016935,0.003863,10000
0.1150,0.017765,0.003994,10000
0.1200,0.018593,0.004125,10000
0.1250,0.019443,0.004257,10000
0.1300,0.020288,0.004383,10000
0.1350,0.021141,0.004520,10000
0.1400,0.021997,0.004659,10000
0.1450,0.022853,0.004793,10000
0.1500,0.023711,0.004923,10000
0.1550,0.024594,0.005053,10000
0.1600,0.025488,0.005195,10000
0.1650,0.026364,0.005338,10000
0.1700,0.027258,0.005471,10000
0.1750,0.028161,0.005597,10000
0.1800,0.029073,0.005743,10000
0.1850,0.029964,0.005875,10000
0.1900,0.030884,0.006009,10000
0.1950,0.031805,0.006138,10000
0.2000,0.032728,0.006256,10000
0.2050,0.033630,0.006379,10000
0.2100,0.034553,0.006502,10000
0.2150,0.035461,0.006597,10000
0.2200,0.036376,0.006711,10000
0.2250,0.037287,0.006837,10000
0.2300,0.038199,0.006943,10000
0.2350,0.039117,0.007068,10000
0.2400,0.040037,0.007180,10000
0.2450,0.040958,0.007304,10000
0.2500,0.041898,0.007437,10000
0.2550,0.042805,0.007550,10000
0.2600,0.043729,0.007695,10000
0.2650,0.044663,0.007824,10000
0.2700,0.045600,0.007944,10000
0.2750,0.046539,0.008057,10000
0.2800,0.047481,0.008203,10000
0.2850,0.048416,0.008333,10000
0.2900,0.049360,0.008465,10000
0.2950,0.050316,0.008603,10000
0.3000,0.051272,0.008732,10000
0.3050,0.052220,0.008855,10000
0.3100,0.053176,0.008967,10000
0.3150,0.054116,0.009086,10000
0.3200,0.055066,0.009213,10000
0.3250,0.056036,0.009360,10000
0.3300,0.057007,0.009492,10000
0.3350,0.057969,0.009605,10000
0.3400,0.058915,0.009729,10000
0.3450,0.059880,0.009839,10000
0.3500,0.060845,0.009973,10000
0.3550,0.061798,0.010093,10000
0.3600,0.062750,0.010190,10000
0.3650,0.063696,0.010313,10000
0.3700,0.064642,0.010402,10000
0.3750,0.065595,0.010515,10000
0.3800,0.066540,0.010616,10000
0.3850,0.067489,0.010721,10000
0.3900,0.068428,0.010825,10000
0.3950,0.069345,0.010903,10000
0.4000,0.070294,0.010993,10000
0.4050,0.071217,0.011097,10000
0.4100,0.072149,0.011206,10000
0.4150,0.073066,0.011307,10000
0.4200,0.073989,0.011408,10000
0.4250,0.074907,0.011511,10000
0.4300,0.075799,0.011622,10000
0.4350,0.076708,0.011723,10000
0.4400,0.077622,0.011834,10000
0.4450,0.078530,0.011929,10000
0.4500,0.079454,0.012030,10000
0.4550,0.080364,0.012130,10000
0.4600,0.081266,0.012226,10000
0.4650,0.082170,0.012355,10000
0.4700,0.083091,0.012471,10000
0.4750,0.083987,0.012570,10000
0.4800,0.084896,0.012680,10000
0.4850,0.085809,0.012794,10000
0.4900,0.086726,0.012936,10000
0.4950,0.087628,0.013055,10000
0.5000,0.088521,0.013199,10000
0.5050,0.089449,0.013321,10000
0.5100,0.090365,0.013445,10000
0.5150,0.091297,0.013562,10000
0.5200,0.092225,0.013695,10000
0.5250,0.093144,0.013802,10000
0.5300,0.094088,0.013929,10000
0.5350,0.095034,0.014046,10000
0.5400,0.095970,0.014168,10000
0.5450,0.096889,0.014290,10000
0.5500,0.097822,0.014424,10000
0.5550,0.098783,0.014546,10000
0.5600,0.099728,0.014678,10000
0.5650,0.100697,0.014832,10000
0.5700,0.101657,0.014969,10000
0.5750,0.102614,0.015116,10000
0.5800,0.103588,0.015250,10000
0.5850,0.104543,0.015389,10000
0.5900,0.105526,0.015556,10000
0.5950,0.106501,0.015718,10000
0.6000,0.107488,0.015876,10000
0.6050,0.108475,0.016020,10000
0.6100,0.109436,0.016166,10000
0.6150,0.110428,0.016315,10000
0.6200,0.111439,0.016470,10000
0.6250,0.112433,0.016613,10000
0.6300,0.113438,0.016757,10000
0.6350,0.114439,0.016925,10000
0.6400,0.115436,0.017075,10000
0.6450,0.116461,0.017234,10000
0.6500,0.117478,0.017396,10000
0.6550,0.118494,0.017564,10000
0.6600,0.119523,0.017723,10000
0.6650,0.120530,0.017848,10000
0.6700,0.121575,0.018022,10000
0.6750,0.122627,0.018168,10000
0.6800,0.123675,0.018320,10000
0.6850,0.124709,0.018479,10000
0.6900,0.125765,0.018667,10000
0.6950,0.126847,0.018861,10000
0.7000,0.127922,0.019033,10000
0.7050,0.128989,0.019203,10000
0.7100,0.130063,0.019360,10000
0.7150,0.131170,0.019539,10000
0.7200,0.132264,0.019705,10000
0.7250,0.133353,0.019874,10000
0.7300,0.134447,0.020037,10000
0.7350,0.135543,0.020213,10000
0.7400,0.136656,0.020398,10000
0.7450,0.137780,0.020580,10000
0.7500,0.138902,0.020760,10000
0.7550,0.140042,0.020920,10000
0.7600,0.141192,0.021131,10000
0.7650,0.142340,0.021335,10000
0.7700,0.143515,0.021542,10000
0.7750,0.144688,0.021731,10000
0.7800,0.145876,0.021923,10000
0.7850,0.147043,0.022135,10000
0.7900,0.148233,0.022363,10000
0.7950,0.149433,0.022570,10000
0.8000,0.150643,0.022750,10000
0.8050,0.151882,0.022958,10000
0.8100,0.153118,0.023223,10000
0.8150,0.154335,0.023427,10000
0.8200,0.155577,0.023644,10000
0.8250,0.156818,0.023859,10000
0.8300,0.158075,0.024104,10000
0.8350,0.159342,0.024345,10000
0.8400,0.160657,0.024599,10000
0.8450,0.161957,0.024829,10000
0.8500,0.163258,0.025091,10000
0.8550,0.164565,0.025292,10000
0.8600,0.165859,0.025545,10000
0.8650,0.167231,0.025798,10000
0.8700,0.168601,0.026029,10000
0.8750,0.169980,0.026271,10000
0.8800,0.171367,0.026554,10000
0.8850,0.172758,0.026786,10000
0.8900,0.174180,0.027053,10000
0.8950,0.175638,0.027335,10000
0.9000,0.177068,0.027624,10000
0.9050,0.178521,0.027920,10000
0.9100,0.180050,0.028218,10000
0.9150,0.181612,0.028523,10000
0.9200,0.183144,0.028818,10000
0.9250,0.184706,0.029136,10000
0.9300,0.186268,0.029452,10000
0.9350,0.187835,0.029807,10000
0.9400,0.189450,0.030121,10000
0.9450,0.191072,0.030407,10000
0.9500,0.192767,0.030765,10000
0.9550,0.194473,0.031072,10000
0.9600,0.196204,0.031399,10000
0.9650,0.197971,0.031742,10000
0.9700,0.199789,0.032113,10000
0.9750,0.201605,0.032531,10000
0.9800,0.203462,0.032901,10000
0.9850,0.205303,0.033180,10000
0.9900,0.207161,0.033547,10000
0.9950,0.209114,0.033892,10000
1.0000,1.000000,0.000000,10000
