F,phi_mean_all,phi_mean_intact,survival,n_intact
0.0000,0.000000,0.000000,1.000000,10000
6.4574,0.000000,0.000000,1.000000,10000
12.9148,0.000000,0.000000,1.000000,10000
19.3723,0.000000,0.000000,1.000000,10000
25.8297,0.000000,0.000000,1.000000,10000
32.2871,0.000000,0.000000,1.000000,10000
38.7445,0.000000,0.000000,1.000000,10000
45.2019,0.000000,0.000000,1.000000,10000
51.6593,0.000000,0.000000,1.000000,10000
58.1168,0.000000,0.000000,1.000000,10000
64.5742,0.000000,0.000000,1.000000,10000
71.0316,0.000001,0.000001,1.000000,10000
77.4890,0.000003,0.000003,1.000000,10000
83.9464,0.000005,0.000005,1.000000,10000
90.4039,0.000010,0.000010,1.000000,10000
96.8613,0.000021,0.000021,1.000000,10000
103.3187,0.000042,0.000042,1.000000,10000
109.7761,0.000075,0.000075,1.000000,10000
116.2335,0.000124,0.000124,1.000000,10000
122.6910,0.000194,0.000194,1.000000,10000
129.1484,0.000309,0.000309,1.000000,10000
135.6058,0.000434,0.000434,1.000000,10000
142.0632,0.000575,0.000575,1.000000,10000
148.5206,0.000730,0.000730,1.000000,10000
154.9780,0.000910,0.000910,1.000000,10000
161.4355,0.001078,0.001078,1.000000,10000
167.8929,0.001240,0.001240,1.000000,10000
174.3503,0.001402,0.001402,1.000000,10000
180.8077,0.001546,0.001546,1.000000,10000
187.2651,0.001654,0.001654,1.000000,10000
193.7226,0.001726,0.001726,1.000000,10000
200.1800,0.001805,0.001805,1.000000,10000
206.6374,0.001893,0.001893,1.000000,10000
213.0948,0.001984,0.001984,1.000000,10000
219.5522,0.002093,0.002093,1.000000,10000
226.0096,0.002244,0.002244,1.000000,10000
232.4671,0.002450,0.002450,1.000000,10000
238.9245,0.002652,0.002652,1.000000,10000
245.3819,0.002888,0.002888,1.000000,10000
251.8393,0.003178,0.003178,1.000000,10000
258.2967,0.003500,0.003500,1.000000,10000
264.7542,0.003867,0.003867,1.000000,10000
271.2116,0.004284,0.004284,1.000000,10000
277.6690,0.004760,0.004760,1.000000,10000
284.1264,0.005244,0.005244,1.000000,10000
290.5838,0.005781,0.005781,1.000000,10000
297.0413,0.006365,0.006365,1.000000,10000
303.4987,0.006982,0.006982,1.000000,10000
309.9561,0.007556,0.007556,1.000000,10000
316.4135,0.008187,0.008187,1.000000,10000
322.8709,0.008816,0.008816,1.000000,10000
329.3283,0.009379,0.009379,1.000000,10000
335.7858,0.009905,0.009905,1.000000,10000
342.2432,0.010387,0.010387,1.000000,10000
348.7006,0.010843,0.010843,1.000000,10000
355.1580,0.011288,0.011288,1.000000,10000
361.6154,0.011721,0.011721,1.000000,10000
368.0729,0.012171,0.012171,1.000000,10000
374.5303,0.012592,0.012592,1.000000,10000
380.9877,0.012975,0.012975,1.000000,10000
387.4451,0.013340,0.013340,1.000000,10000
393.9025,0.013679,0.013679,1.000000,10000
400.3599,0.014021,0.014021,1.000000,10000
406.8174,0.014377,0.014377,1.000000,10000
413.2748,0.014723,0.014723,1.000000,10000
419.7322,0.015071,0.015071,1.000000,10000
426.1896,0.015437,0.015437,1.000000,10000
432.6470,0.015835,0.015835,1.000000,10000
439.1045,0.016234,0.016234,1.000000,10000
445.5619,0.016623,0.016623,1.000000,10000
452.0193,0.016985,0.016985,1.000000,10000
458.4767,0.017315,0.017315,1.000000,10000
464.9341,0.017605,0.017605,1.000000,10000
471.3916,0.017892,0.017892,1.000000,10000
477.8490,0.018194,0.018194,1.000000,10000
484.3064,0.018504,0.018504,1.000000,10000
490.7638,0.018816,0.018816,1.000000,10000
497.2212,0.019100,0.019100,1.000000,10000
503.6786,0.019374,0.019374,1.000000,10000
510.1361,0.019626,0.019626,1.000000,10000
516.5935,0.019876,0.019876,1.000000,10000
523.0509,0.020111,0.020111,1.000000,10000
529.5083,0.020341,0.020341,1.000000,10000
535.9657,0.020588,0.020588,1.000000,10000
542.4232,0.020833,0.020833,1.000000,10000
548.8806,0.021108,0.021108,1.000000,10000
555.3380,0.021374,0.021374,1.000000,10000
561.7954,0.021628,0.021628,1.000000,10000
568.2528,0.021876,0.021876,1.000000,10000
574.7103,0.022136,0.022136,1.000000,10000
581.1677,0.022392,0.022392,1.000000,10000
587.6251,0.022666,0.022666,1.000000,10000
594.0825,0.022943,0.022943,1.000000,10000
600.5399,0.023221,0.023221,1.000000,10000
606.9973,0.023506,0.023506,1.000000,10000
613.4548,0.023778,0.023778,1.000000,10000
619.9122,0.024058,0.024058,1.000000,10000
626.3696,0.024341,0.024341,1.000000,10000
632.8270,0.024615,0.024615,1.000000,10000
639.2844,0.024912,0.024912,1.000000,10000
645.7419,0.025224,0.025224,1.000000,10000
652.1993,0.025537,0.025537,1.000000,10000
658.6567,0.025852,0.025852,1.000000,10000
665.1141,0.026165,0.026165,1.000000,10000
671.5715,0.026483,0.026483,1.000000,10000
678.0289,0.026798,0.026798,1.000000,10000
684.4864,0.027119,0.027119,1.000000,10000
