F,phi_mean_all,phi_mean_intact,survival,n_intact
0.0000,0.000000,0.000000,1.000000,10000
2.0939,0.000000,0.000000,1.000000,10000
4.1877,0.000000,0.000000,1.000000,10000
6.2816,0.000000,0.000000,1.000000,10000
8.3755,0.000000,0.000000,1.000000,10000
10.4693,0.000000,0.000000,1.000000,10000
12.5632,0.000002,0.000002,1.000000,10000
14.6571,0.000003,0.000003,1.000000,10000
16.7509,0.000005,0.000005,1.000000,10000
18.8448,0.000010,0.000010,1.000000,10000
20.9386,0.000015,0.000015,1.000000,10000
23.0325,0.000025,0.000025,1.000000,10000
25.1264,0.000041,0.000041,1.000000,10000
27.2202,0.000062,0.000062,1.000000,10000
29.3141,0.000087,0.000087,1.000000,10000
31.4080,0.000126,0.000126,1.000000,10000
33.5018,0.000175,0.000175,1.000000,10000
35.5957,0.000241,0.000241,1.000000,10000
37.6896,0.000330,0.000330,1.000000,10000
39.7834,0.000430,0.000430,1.000000,10000
41.8773,0.000539,0.000539,1.000000,10000
43.9712,0.000686,0.000686,1.000000,10000
46.0650,0.000860,0.000860,1.000000,10000
48.1589,0.001079,0.001079,1.000000,10000
50.2528,0.001314,0.001314,1.000000,10000
52.3466,0.001587,0.001587,1.000000,10000
54.4405,0.001888,0.001888,1.000000,10000
56.5343,0.002208,0.002208,1.000000,10000
58.6282,0.002557,0.002557,1.000000,10000
60.7221,0.002930,0.002930,1.000000,10000
62.8159,0.003313,0.003313,1.000000,10000
64.9098,0.003687,0.003687,1.000000,10000
67.0037,0.004040,0.004040,1.000000,10000
69.0975,0.004379,0.004379,1.000000,10000
71.1914,0.004741,0.004741,1.000000,10000
73.2853,0.005073,0.005073,1.000000,10000
75.3791,0.005403,0.005403,1.000000,10000
77.4730,0.005744,0.005744,1.000000,10000
79.5669,0.006081,0.006081,1.000000,10000
81.6607,0.006438,0.006438,1.000000,10000
83.7546,0.006762,0.006762,1.000000,10000
85.8485,0.007109,0.007109,1.000000,10000
87.9423,0.007458,0.007458,1.000000,10000
90.0362,0.007797,0.007797,1.000000,10000
92.1300,0.008141,0.008141,1.000000,10000
94.2239,0.008536,0.008536,1.000000,10000
96.3178,0.008930,0.008930,1.000000,10000
98.4116,0.009347,0.009347,1.000000,10000
100.5055,0.009786,0.009786,1.000000,10000
102.5994,0.010251,0.010251,1.000000,10000
104.6932,0.010711,0.010711,1.000000,10000
106.7871,0.011200,0.011200,1.000000,10000
108.8810,0.011702,0.011702,1.000000,10000
110.9748,0.012206,0.012206,1.000000,10000
113.0687,0.012793,0.012793,1.000000,10000
115.1626,0.013345,0.013345,1.000000,10000
117.2564,0.013899,0.013899,1.000000,10000
119.3503,0.014485,0.014485,1.000000,10000
121.4442,0.015030,0.015030,1.000000,10000
123.5380,0.015603,0.015603,1.000000,10000
125.6319,0.016168,0.016168,1.000000,10000
127.7257,0.016709,0.016709,1.000000,10000
129.8196,0.017290,0.017290,1.000000,10000
131.9135,0.017846,0.017846,1.000000,10000
134.0073,0.018400,0.018400,1.000000,10000
136.1012,0.018943,0.018943,1.000000,10000
138.1951,0.019508,0.019508,1.000000,10000
140.2889,0.020030,0.020030,1.000000,10000
142.3828,0.020553,0.020553,1.000000,10000
144.4767,0.021084,0.021084,1.000000,10000
146.5705,0.021599,0.021599,1.000000,10000
148.6644,0.022113,0.022113,1.000000,10000
150.7583,0.022590,0.022590,1.000000,10000
152.8521,0.023087,0.023087,1.000000,10000
154.9460,0.023561,0.023561,1.000000,10000
157.0398,0.024112,0.024015,0.999900,9999
159.1337,0.024562,0.024464,0.999900,9999
161.2276,0.025082,0.024887,0.999800,9998
163.3214,0.025514,0.025319,0.999800,9998
165.4153,0.025989,0.025696,0.999700,9997
167.5092,0.026755,0.026073,0.999300,9993
