u,phi_mean,phi_sd,n
0.0000,0.000000,0.000000,10000
0.0050,0.000000,0.000000,10000
0.0100,0.000000,0.000000,10000
0.0150,0.000000,0.000000,10000
0.0200,0.000000,0.000000,10000
0.0250,0.000000,0.000000,10000
0.0300,0.000000,0.000000,10000
0.0350,0.000000,0.000006,10000
0.0400,0.000001,0.000018,10000
0.0450,0.000002,0.000033,10000
0.0500,0.000004,0.000051,10000
0.0550,0.000011,0.000086,10000
0.0600,0.000026,0.000142,10000
0.0650,0.000060,0.000236,10000
0.0700,0.000126,0.000417,10000
0.0750,0.000251,0.000614,10000
0.0800,0.000463,0.000890,10000
0.0850,0.000725,0.001129,10000
0.0900,0.001006,0.001294,10000
0.0950,0.001314,0.001422,10000
0.1000,0.001601,0.001506,10000
0.1050,0.001813,0.001527,10000
0.1100,0.001979,0.001530,10000
0.1150,0.002122,0.001548,10000
0.1200,0.002257,0.001596,10000
0.1250,0.002388,0.001652,10000
0.1300,0.002531,0.001736,10000
0.1350,0.002726,0.001944,10000
0.1400,0.002990,0.002256,10000
0.1450,0.003334,0.002628,10000
0.1500,0.003727,0.002970,10000
0.1550,0.004176,0.003273,10000
0.1600,0.004712,0.003600,10000
0.1650,0.005296,0.003881,10000
0.1700,0.005936,0.004098,10000
0.1750,0.006621,0.004236,10000
0.1800,0.007348,0.004341,10000
0.1850,0.008068,0.004427,10000
0.1900,0.008772,0.004501,10000
0.1950,0.009422,0.004571,10000
0.2000,0.010010,0.004646,10000
0.2050,0.010562,0.004712,10000
0.2100,0.011116,0.004794,10000
0.2150,0.011641,0.004865,10000
0.2200,0.012195,0.004924,10000
0.2250,0.012712,0.004958,10000
0.2300,0.013224,0.004976,10000
0.2350,0.013730,0.005000,10000
0.2400,0.014235,0.005017,10000
0.2450,0.014743,0.005051,10000
0.2500,0.015247,0.005055,10000
0.2550,0.015726,0.005072,10000
0.2600,0.016170,0.005095,10000
0.2650,0.016576,0.005111,10000
0.2700,0.016965,0.005168,10000
0.2750,0.017330,0.005261,10000
0.2800,0.017700,0.005398,10000
0.2850,0.018083,0.005575,10000
0.2900,0.018436,0.005686,10000
0.2950,0.018857,0.005869,10000
0.3000,0.019248,0.006024,10000
0.3050,0.019654,0.006174,10000
0.3100,0.020068,0.006275,10000
0.3150,0.020478,0.006376,10000
0.3200,0.020883,0.006447,10000
0.3250,0.021293,0.006527,10000
0.3300,0.021709,0.006626,10000
0.3350,0.022110,0.006718,10000
0.3400,0.022522,0.006817,10000
0.3450,0.022933,0.006919,10000
0.3500,0.023344,0.007012,10000
0.3550,0.023747,0.007101,10000
0.3600,0.024152,0.007164,10000
0.3650,0.024556,0.007204,10000
0.3700,0.024936,0.007241,10000
0.3750,0.025332,0.007264,10000
0.3800,0.025708,0.007303,10000
0.3850,0.026093,0.007332,10000
0.3900,0.026468,0.007375,10000
0.3950,0.026866,0.007404,10000
0.4000,0.027266,0.007448,10000
0.4050,0.027656,0.007484,10000
0.4100,0.028050,0.007521,10000
0.4150,0.028436,0.007566,10000
0.4200,0.028827,0.007625,10000
0.4250,0.029218,0.007696,10000
0.4300,0.029619,0.007762,10000
0.4350,0.030011,0.007844,10000
0.4400,0.030432,0.007918,10000
0.4450,0.030830,0.007996,10000
0.4500,0.031242,0.008074,10000
0.4550,0.031647,0.008135,10000
0.4600,0.032063,0.008214,10000
0.4650,0.032477,0.008265,10000
0.4700,0.032892,0.008326,10000
0.4750,0.033296,0.008363,10000
0.4800,0.033704,0.008407,10000
0.4850,0.034104,0.008440,10000
0.4900,0.034498,0.008469,10000
0.4950,0.034903,0.008472,10000
0.5000,0.035278,0.008487,10000
0.5050,0.035655,0.008492,10000
0.5100,0.036050,0.008478,10000
0.5150,0.036436,0.008481,10000
0.5200,0.036809,0.008483,10000
0.5250,0.037162,0.008484,10000
0.5300,0.037501,0.008470,10000
0.5350,0.037831,0.008468,10000
0.5400,0.038160,0.008466,10000
0.5450,0.038490,0.008466,10000
0.5500,0.038783,0.008446,10000
0.5550,0.039092,0.008459,10000
0.5600,0.039406,0.008461,10000
0.5650,0.039727,0.008476,10000
0.5700,0.040038,0.008498,10000
0.5750,0.040329,0.008520,10000
0.5800,0.040630,0.008538,10000
0.5850,0.040947,0.008565,10000
0.5900,0.041269,0.008584,10000
0.5950,0.041584,0.008610,10000
0.6000,0.041897,0.008647,10000
0.6050,0.042216,0.008682,10000
0.6100,0.042537,0.008724,10000
0.6150,0.042850,0.008786,10000
0.6200,0.043181,0.008850,10000
0.6250,0.043509,0.008934,10000
0.6300,0.043853,0.009033,10000
0.6350,0.044194,0.009102,10000
0.6400,0.044555,0.009197,10000
0.6450,0.044903,0.009274,10000
0.6500,0.045282,0.009385,10000
0.6550,0.045672,0.009510,10000
0.6600,0.046058,0.009619,10000
0.6650,0.046471,0.009753,10000
0.6700,0.046882,0.009865,10000
0.6750,0.047321,0.009981,10000
0.6800,0.047767,0.010097,10000
0.6850,0.048204,0.010203,10000
0.6900,0.048649,0.010323,10000
0.6950,0.049094,0.010398,10000
0.7000,0.049571,0.010518,10000
0.7050,0.050019,0.010634,10000
0.7100,0.050499,0.010736,10000
0.7150,0.050983,0.010861,10000
0.7200,0.051478,0.010980,10000
0.7250,0.051947,0.011061,10000
0.7300,0.052472,0.011230,10000
0.7350,0.052972,0.011320,10000
0.7400,0.053508,0.011446,10000
0.7450,0.054051,0.011578,10000
0.7500,0.054590,0.011698,10000
0.7550,0.055151,0.011863,10000
0.7600,0.055708,0.011986,10000
0.7650,0.056285,0.012137,10000
0.7700,0.056883,0.012278,10000
0.7750,0.057447,0.012455,10000
0.7800,0.058032,0.012601,10000
0.7850,0.058603,0.012744,10000
0.7900,0.059212,0.012856,10000
0.7950,0.059804,0.013008,10000
0.8000,0.060430,0.013174,10000
0.8050,0.061062,0.013329,10000
0.8100,0.061695,0.013454,10000
0.8150,0.062296,0.013583,10000
0.8200,0.062933,0.013730,10000
0.8250,0.063557,0.013840,10000
0.8300,0.064187,0.013968,10000
0.8350,0.064838,0.014096,10000
0.8400,0.065506,0.014256,10000
0.8450,0.066130,0.014414,10000
0.8500,0.066793,0.014552,10000
0.8550,0.067478,0.014700,10000
0.8600,0.068160,0.014861,10000
0.8650,0.068879,0.015031,10000
0.8700,0.069582,0.015169,10000
