F,phi_mean_all,phi_mean_intact,survival,n_intact
0.0000,0.000000,0.000000,1.000000,10000
5.8087,0.000000,0.000000,1.000000,10000
11.6175,0.000000,0.000000,1.000000,10000
17.4262,0.000000,0.000000,1.000000,10000
23.2350,0.000000,0.000000,1.000000,10000
29.0437,0.000001,0.000001,1.000000,10000
34.8525,0.000001,0.000001,1.000000,10000
40.6612,0.000003,0.000003,1.000000,10000
46.4700,0.000005,0.000005,1.000000,10000
52.2787,0.000007,0.000007,1.000000,10000
58.0875,0.000012,0.000012,1.000000,10000
63.8962,0.000018,0.000018,1.000000,10000
69.7050,0.000029,0.000029,1.000000,10000
75.5137,0.000045,0.000045,1.000000,10000
81.3225,0.000067,0.000067,1.000000,10000
87.1312,0.000093,0.000093,1.000000,10000
92.9399,0.000128,0.000128,1.000000,10000
98.7487,0.000177,0.000177,1.000000,10000
104.5574,0.000239,0.000239,1.000000,10000
110.3662,0.000314,0.000314,1.000000,10000
116.1749,0.000406,0.000406,1.000000,10000
121.9837,0.000517,0.000517,1.000000,10000
127.7924,0.000654,0.000654,1.000000,10000
133.6012,0.000794,0.000794,1.000000,10000
139.4099,0.000947,0.000947,1.000000,10000
145.2187,0.001107,0.001107,1.000000,10000
151.0274,0.001285,0.001285,1.000000,10000
156.8362,0.001461,0.001461,1.000000,10000
162.6449,0.001631,0.001631,1.000000,10000
168.4537,0.001805,0.001805,1.000000,10000
174.2624,0.001974,0.001974,1.000000,10000
180.0712,0.002136,0.002136,1.000000,10000
185.8799,0.002293,0.002293,1.000000,10000
191.6886,0.002441,0.002441,1.000000,10000
197.4974,0.002604,0.002604,1.000000,10000
203.3061,0.002778,0.002778,1.000000,10000
209.1149,0.002966,0.002966,1.000000,10000
214.9236,0.003181,0.003181,1.000000,10000
220.7324,0.003432,0.003432,1.000000,10000
226.5411,0.003719,0.003719,1.000000,10000
232.3499,0.004018,0.004018,1.000000,10000
238.1586,0.004334,0.004334,1.000000,10000
243.9674,0.004700,0.004700,1.000000,10000
249.7761,0.005090,0.005090,1.000000,10000
255.5849,0.005504,0.005504,1.000000,10000
261.3936,0.005949,0.005949,1.000000,10000
267.2024,0.006434,0.006434,1.000000,10000
273.0111,0.006944,0.006944,1.000000,10000
278.8198,0.007462,0.007462,1.000000,10000
284.6286,0.008006,0.008006,1.000000,10000
290.4373,0.008547,0.008547,1.000000,10000
296.2461,0.009092,0.009092,1.000000,10000
302.0548,0.009637,0.009637,1.000000,10000
307.8636,0.010178,0.010178,1.000000,10000
313.6723,0.010715,0.010715,1.000000,10000
319.4811,0.011223,0.011223,1.000000,10000
325.2898,0.011711,0.011711,1.000000,10000
331.0986,0.012183,0.012183,1.000000,10000
336.9073,0.012618,0.012618,1.000000,10000
342.7161,0.013042,0.013042,1.000000,10000
348.5248,0.013469,0.013469,1.000000,10000
354.3336,0.013874,0.013874,1.000000,10000
360.1423,0.014270,0.014270,1.000000,10000
365.9511,0.014644,0.014644,1.000000,10000
371.7598,0.014996,0.014996,1.000000,10000
377.5685,0.015354,0.015354,1.000000,10000
383.3773,0.015689,0.015689,1.000000,10000
389.1860,0.016016,0.016016,1.000000,10000
394.9948,0.016349,0.016349,1.000000,10000
400.8035,0.016686,0.016686,1.000000,10000
406.6123,0.017025,0.017025,1.000000,10000
412.4210,0.017371,0.017371,1.000000,10000
418.2298,0.017715,0.017715,1.000000,10000
424.0385,0.018047,0.018047,1.000000,10000
429.8473,0.018366,0.018366,1.000000,10000
435.6560,0.018676,0.018676,1.000000,10000
441.4648,0.018978,0.018978,1.000000,10000
447.2735,0.019259,0.019259,1.000000,10000
453.0823,0.019539,0.019539,1.000000,10000
458.8910,0.019814,0.019814,1.000000,10000
464.6997,0.020092,0.020092,1.000000,10000
470.5085,0.020362,0.020362,1.000000,10000
476.3172,0.020638,0.020638,1.000000,10000
482.1260,0.020906,0.020906,1.000000,10000
487.9347,0.021170,0.021170,1.000000,10000
493.7435,0.021432,0.021432,1.000000,10000
499.5522,0.021681,0.021681,1.000000,10000
505.3610,0.021934,0.021934,1.000000,10000
511.1697,0.022182,0.022182,1.000000,10000
516.9785,0.022439,0.022439,1.000000,10000
522.7872,0.022706,0.022706,1.000000,10000
528.5960,0.022961,0.022961,1.000000,10000
534.4047,0.023218,0.023218,1.000000,10000
540.2135,0.023483,0.023483,1.000000,10000
546.0222,0.023742,0.023742,1.000000,10000
551.8310,0.024006,0.024006,1.000000,10000
557.6397,0.024272,0.024272,1.000000,10000
563.4484,0.024539,0.024539,1.000000,10000
569.2572,0.024825,0.024825,1.000000,10000
575.0659,0.025103,0.025103,1.000000,10000
580.8747,0.025395,0.025395,1.000000,10000
