u,phi_mean,phi_sd,n
0.0000,0.000000,0.000000,10000
0.0050,0.000000,0.000015,10000
0.0100,0.000002,0.000034,10000
0.0150,0.000005,0.000051,10000
0.0200,0.000013,0.000080,10000
0.0250,0.000025,0.000114,10000
0.0300,0.000044,0.000150,10000
0.0350,0.000068,0.000193,10000
0.0400,0.000102,0.000237,10000
0.0450,0.000146,0.000286,10000
0.0500,0.000198,0.000338,10000
0.0550,0.000270,0.000403,10000
0.0600,0.000350,0.000462,10000
0.0650,0.000449,0.000531,10000
0.0700,0.000564,0.000610,10000
0.0750,0.000696,0.000689,10000
0.0800,0.000850,0.000776,10000
0.0850,0.001030,0.000874,10000
0.0900,0.001241,0.000988,10000
0.0950,0.001475,0.001099,10000
0.1000,0.001740,0.001220,10000
0.1050,0.002015,0.001328,10000
0.1100,0.002311,0.001430,10000
0.1150,0.002596,0.001525,10000
0.1200,0.002899,0.001613,10000
0.1250,0.003188,0.001699,10000
0.1300,0.003487,0.001785,10000
0.1350,0.003788,0.001887,10000
0.1400,0.004101,0.001998,10000
0.1450,0.004432,0.002131,10000
0.1500,0.004790,0.002267,10000
0.1550,0.005172,0.002413,10000
0.1600,0.005592,0.002582,10000
0.1650,0.006050,0.002769,10000
0.1700,0.006562,0.002974,10000
0.1750,0.007102,0.003180,10000
0.1800,0.007676,0.003379,10000
0.1850,0.008283,0.003562,10000
0.1900,0.008916,0.003729,10000
0.1950,0.009582,0.003887,10000
0.2000,0.010244,0.004016,10000
0.2050,0.010937,0.004130,10000
0.2100,0.011597,0.004190,10000
0.2150,0.012247,0.004238,10000
0.2200,0.012878,0.004269,10000
0.2250,0.013483,0.004283,10000
0.2300,0.014046,0.004288,10000
0.2350,0.014596,0.004298,10000
0.2400,0.015131,0.004317,10000
0.2450,0.015649,0.004318,10000
0.2500,0.016148,0.004321,10000
0.2550,0.016651,0.004306,10000
0.2600,0.017149,0.004321,10000
0.2650,0.017617,0.004332,10000
0.2700,0.018084,0.004327,10000
0.2750,0.018528,0.004329,10000
0.2800,0.018981,0.004338,10000
0.2850,0.019406,0.004354,10000
0.2900,0.019818,0.004368,10000
0.2950,0.020220,0.004401,10000
0.3000,0.020613,0.004431,10000
0.3050,0.020997,0.004471,10000
0.3100,0.021377,0.004508,10000
0.3150,0.021746,0.004548,10000
0.3200,0.022112,0.004602,10000
0.3250,0.022481,0.004655,10000
0.3300,0.022851,0.004720,10000
0.3350,0.023221,0.004794,10000
0.3400,0.023590,0.004865,10000
0.3450,0.023968,0.004940,10000
0.3500,0.024347,0.005042,10000
0.3550,0.024733,0.005118,10000
0.3600,0.025127,0.005208,10000
0.3650,0.025530,0.005293,10000
0.3700,0.025938,0.005387,10000
0.3750,0.026327,0.005473,10000
0.3800,0.026720,0.005539,10000
0.3850,0.027131,0.005621,10000
0.3900,0.027542,0.005697,10000
0.3950,0.027954,0.005766,10000
0.4000,0.028369,0.005845,10000
0.4050,0.028788,0.005914,10000
0.4100,0.029199,0.005987,10000
0.4150,0.029603,0.006051,10000
0.4200,0.030005,0.006105,10000
0.4250,0.030413,0.006164,10000
0.4300,0.030822,0.006224,10000
0.4350,0.031227,0.006274,10000
0.4400,0.031638,0.006317,10000
0.4450,0.032028,0.006367,10000
0.4500,0.032431,0.006422,10000
0.4550,0.032831,0.006470,10000
0.4600,0.033226,0.006507,10000
0.4650,0.033622,0.006555,10000
0.4700,0.034012,0.006609,10000
0.4750,0.034409,0.006659,10000
0.4800,0.034804,0.006698,10000
0.4850,0.035199,0.006734,10000
0.4900,0.035603,0.006777,10000
0.4950,0.036004,0.006827,10000
0.5000,0.036386,0.006866,10000
0.5050,0.036766,0.006900,10000
0.5100,0.037162,0.006942,10000
0.5150,0.037554,0.006979,10000
0.5200,0.037956,0.007026,10000
0.5250,0.038340,0.007070,10000
0.5300,0.038733,0.007101,10000
0.5350,0.039125,0.007151,10000
0.5400,0.039512,0.007197,10000
0.5450,0.039902,0.007247,10000
0.5500,0.040286,0.007293,10000
0.5550,0.040668,0.007333,10000
0.5600,0.041071,0.007376,10000
0.5650,0.041462,0.007420,10000
0.5700,0.041837,0.007467,10000
0.5750,0.042224,0.007495,10000
0.5800,0.042623,0.007536,10000
0.5850,0.042994,0.007562,10000
0.5900,0.043378,0.007620,10000
0.5950,0.043775,0.007677,10000
0.6000,0.044151,0.007725,10000
0.6050,0.044534,0.007765,10000
0.6100,0.044916,0.007812,10000
0.6150,0.045321,0.007876,10000
0.6200,0.045710,0.007943,10000
0.6250,0.046124,0.008024,10000
0.6300,0.046522,0.008080,10000
0.6350,0.046921,0.008129,10000
0.6400,0.047328,0.008189,10000
0.6450,0.047738,0.008259,10000
0.6500,0.048156,0.008350,10000
0.6550,0.048576,0.008420,10000
0.6600,0.048993,0.008501,10000
0.6650,0.049450,0.008598,10000
0.6700,0.049909,0.008675,10000
0.6750,0.050359,0.008753,10000
0.6800,0.050824,0.008848,10000
0.6850,0.051279,0.008932,10000
0.6900,0.051735,0.009032,10000
0.6950,0.052215,0.009146,10000
0.7000,0.052714,0.009283,10000
0.7050,0.053193,0.009414,10000
0.7100,0.053697,0.009550,10000
0.7150,0.054197,0.009665,10000
0.7200,0.054695,0.009777,10000
0.7250,0.055226,0.009904,10000
0.7300,0.055752,0.010032,10000
0.7350,0.056283,0.010156,10000
0.7400,0.056847,0.010291,10000
0.7450,0.057425,0.010434,10000
0.7500,0.057970,0.010542,10000
0.7550,0.058549,0.010660,10000
0.7600,0.059147,0.010813,10000
0.7650,0.059741,0.010943,10000
0.7700,0.060327,0.011070,10000
0.7750,0.060933,0.011230,10000
0.7800,0.061569,0.011387,10000
0.7850,0.062207,0.011535,10000
0.7900,0.062839,0.011664,10000
0.7950,0.063458,0.011777,10000
0.8000,0.064098,0.011895,10000
0.8050,0.064730,0.012013,10000
0.8100,0.065401,0.012137,10000
0.8150,0.066078,0.012301,10000
0.8200,0.066766,0.012437,10000
0.8250,0.067476,0.012569,10000
0.8300,0.068186,0.012682,10000
0.8350,0.068864,0.012833,10000
0.8400,0.069587,0.012985,10000
0.8450,0.070311,0.013132,10000
0.8500,0.071083,0.013288,10000
0.8550,0.071817,0.013464,10000
0.8600,0.072588,0.013594,10000
0.8650,0.073324,0.013721,10000
0.8700,0.074068,0.013906,10000
0.8750,0.074909,0.014091,10000
0.8800,0.075742,0.014268,10000
0.8850,0.076548,0.014424,10000
0.8900,0.077388,0.014595,10000
0.8950,0.078204,0.014753,10000
0.9000,0.079058,0.014942,10000
0.9050,0.079933,0.015102,10000
0.9100,0.080833,0.015240,10000
0.9150,0.081739,0.015421,10000
0.9200,0.082646,0.015601,10000
0.9250,0.083573,0.015746,10000
0.9300,0.084451,0.015877,10000
0.9350,0.085392,0.016068,10000
0.9400,0.086397,0.016261,10000
0.9450,0.087395,0.016463,10000
0.9500,0.088425,0.016643,10000
0.9550,0.089439,0.016854,10000
0.9600,0.090501,0.017026,10000
0.9650,0.091548,0.017217,10000
0.9700,0.092635,0.017383,10000
0.9750,0.093715,0.017608,10000
0.9800,0.094862,0.017807,10000
0.9850,0.096015,0.017986,10000
0.9900,0.097204,0.018156,10000
0.9950,0.098440,0.018368,10000
1.0000,1.000000,0.000000,10000
