F,phi_mean_all,phi_mean_intact,survival,n_intact
0.0000,0.000000,0.000000,1.000000,10000
8.7006,0.000000,0.000000,1.000000,10000
17.4013,0.000000,0.000000,1.000000,10000
26.1019,0.000000,0.000000,1.000000,10000
34.8025,0.000000,0.000000,1.000000,10000
43.5031,0.000000,0.000000,1.000000,10000
52.2038,0.000000,0.000000,1.000000,10000
60.9044,0.000000,0.000000,1.000000,10000
69.6050,0.000000,0.000000,1.000000,10000
78.3056,0.000000,0.000000,1.000000,10000
87.0063,0.000001,0.000001,1.000000,10000
95.7069,0.000003,0.000003,1.000000,10000
104.4075,0.000008,0.000008,1.000000,10000
113.1081,0.000021,0.000021,1.000000,10000
121.8088,0.000033,0.000033,1.000000,10000
130.5094,0.000052,0.000052,1.000000,10000
139.2100,0.000084,0.000084,1.000000,10000
147.9107,0.000132,0.000132,1.000000,10000
156.6113,0.000197,0.000197,1.000000,10000
165.3119,0.000286,0.000286,1.000000,10000
174.0125,0.000382,0.000382,1.000000,10000
182.7132,0.000511,0.000511,1.000000,10000
191.4138,0.000672,0.000672,1.000000,10000
200.1144,0.000826,0.000826,1.000000,10000
208.8150,0.000948,0.000948,1.000000,10000
217.5157,0.001036,0.001036,1.000000,10000
226.2163,0.001095,0.001095,1.000000,10000
234.9169,0.001138,0.001138,1.000000,10000
243.6175,0.001180,0.001180,1.000000,10000
252.3182,0.001246,0.001246,1.000000,10000
261.0188,0.001352,0.001352,1.000000,10000
269.7194,0.001455,0.001455,1.000000,10000
278.4201,0.001562,0.001562,1.000000,10000
287.1207,0.001727,0.001727,1.000000,10000
295.8213,0.001930,0.001930,1.000000,10000
304.5219,0.002186,0.002186,1.000000,10000
313.2226,0.002465,0.002465,1.000000,10000
321.9232,0.002788,0.002788,1.000000,10000
330.6238,0.003157,0.003157,1.000000,10000
339.3244,0.003627,0.003627,1.000000,10000
348.0251,0.004138,0.004138,1.000000,10000
356.7257,0.004741,0.004741,1.000000,10000
365.4263,0.005390,0.005390,1.000000,10000
374.1269,0.006028,0.006028,1.000000,10000
382.8276,0.006630,0.006630,1.000000,10000
391.5282,0.007171,0.007171,1.000000,10000
400.2288,0.007698,0.007698,1.000000,10000
408.9294,0.008210,0.008210,1.000000,10000
417.6301,0.008733,0.008733,1.000000,10000
426.3307,0.009184,0.009184,1.000000,10000
435.0313,0.009602,0.009602,1.000000,10000
443.7320,0.009989,0.009989,1.000000,10000
452.4326,0.010362,0.010362,1.000000,10000
461.1332,0.010770,0.010770,1.000000,10000
469.8338,0.011234,0.011234,1.000000,10000
478.5345,0.011728,0.011728,1.000000,10000
487.2351,0.012266,0.012266,1.000000,10000
495.9357,0.012733,0.012733,1.000000,10000
504.6363,0.013167,0.013167,1.000000,10000
513.3370,0.013610,0.013610,1.000000,10000
522.0376,0.014092,0.014092,1.000000,10000
530.7382,0.014551,0.014551,1.000000,10000
539.4388,0.015016,0.015016,1.000000,10000
548.1395,0.015421,0.015421,1.000000,10000
556.8401,0.015811,0.015811,1.000000,10000
565.5407,0.016195,0.016195,1.000000,10000
574.2414,0.016596,0.016596,1.000000,10000
582.9420,0.016930,0.016930,1.000000,10000
591.6426,0.017247,0.017247,1.000000,10000
600.3432,0.017532,0.017532,1.000000,10000
609.0439,0.017799,0.017799,1.000000,10000
617.7445,0.018035,0.018035,1.000000,10000
626.4451,0.018278,0.018278,1.000000,10000
635.1457,0.018516,0.018516,1.000000,10000
643.8464,0.018755,0.018755,1.000000,10000
652.5470,0.018995,0.018995,1.000000,10000
661.2476,0.019231,0.019231,1.000000,10000
669.9482,0.019492,0.019492,1.000000,10000
678.6489,0.019741,0.019741,1.000000,10000
687.3495,0.020001,0.020001,1.000000,10000
696.0501,0.020266,0.020266,1.000000,10000
704.7508,0.020522,0.020522,1.000000,10000
713.4514,0.020788,0.020788,1.000000,10000
722.1520,0.021060,0.021060,1.000000,10000
730.8526,0.021350,0.021350,1.000000,10000
739.5533,0.021668,0.021668,1.000000,10000
748.2539,0.021997,0.021997,1.000000,10000
756.9545,0.022334,0.022334,1.000000,10000
765.6551,0.022694,0.022694,1.000000,10000
774.3558,0.023061,0.023061,1.000000,10000
783.0564,0.023431,0.023431,1.000000,10000
791.7570,0.023772,0.023772,1.000000,10000
800.4576,0.024115,0.024115,1.000000,10000
809.1583,0.024444,0.024444,1.000000,10000
817.8589,0.024764,0.024764,1.000000,10000
826.5595,0.025067,0.025067,1.000000,10000
835.2602,0.025374,0.025374,1.000000,10000
843.9608,0.025673,0.025673,1.000000,10000
852.6614,0.025967,0.025967,1.000000,10000
861.3620,0.026216,0.026216,1.000000,10000
870.0627,0.026570,0.026473,0.999900,9999
878.7633,0.026835,0.026738,0.999900,9999
887.4639,0.027163,0.026969,0.999800,9998
896.1645,0.027405,0.027210,0.999800,9998
904.8652,0.027929,0.027443,0.999500,9995
913.5658,0.028253,0.027670,0.999400,9994
922.2664,0.028679,0.027902,0.999200,9992
930.9670,0.029414,0.028151,0.998700,9987
939.6677,0.029974,0.028420,0.998400,9984
948.3683,0.030540,0.028694,0.998100,9981
957.0689,0.031204,0.028971,0.997700,9977
965.7695,0.032247,0.029238,0.996900,9969
974.4702,0.033014,0.029520,0.996400,9964
983.1708,0.033897,0.029822,0.995800,9958
991.8714,0.034410,0.030143,0.995600,9956
1000.5721,0.035034,0.030478,0.995300,9953
1009.2727,0.035461,0.030809,0.995200,9952
1017.9733,0.036002,0.031157,0.995000,9950
1026.6739,0.036363,0.031521,0.995000,9950
1035.3746,0.036736,0.031895,0.995000,9950
1044.0752,0.037113,0.032274,0.995000,9950
1052.7758,0.037498,0.032661,0.995000,9950
1061.4764,0.037871,0.033036,0.995000,9950
1070.1771,0.038250,0.033417,0.995000,9950
1078.8777,0.038611,0.033780,0.995000,9950
1087.5783,0.038970,0.034141,0.995000,9950
1096.2789,0.039321,0.034494,0.995000,9950
1104.9796,0.039648,0.034823,0.995000,9950
1113.6802,0.039957,0.035132,0.995000,9950
1122.3808,0.040234,0.035411,0.995000,9950
1131.0815,0.040506,0.035685,0.995000,9950
1139.7821,0.040759,0.035939,0.995000,9950
1148.4827,0.040989,0.036170,0.995000,9950
1157.1833,0.041195,0.036377,0.995000,9950
1165.8840,0.041386,0.036569,0.995000,9950
1174.5846,0.041586,0.036770,0.995000,9950
1183.2852,0.041776,0.036961,0.995000,9950
1191.9858,0.041957,0.037143,0.995000,9950
1200.6865,0.042117,0.037304,0.995000,9950
1209.3871,0.042284,0.037472,0.995000,9950
1218.0877,0.042455,0.037643,0.995000,9950
1226.7883,0.042614,0.037803,0.995000,9950
1235.4890,0.042774,0.037964,0.995000,9950
1244.1896,0.042937,0.038128,0.995000,9950
1252.8902,0.043087,0.038278,0.995000,9950
1261.5909,0.043233,0.038425,0.995000,9950
1270.2915,0.043389,0.038582,0.995000,9950
