F,phi_mean_all,phi_mean_intact,survival,n_intact
0.0000,0.000000,0.000000,1.000000,10000
2.2570,0.000005,0.000005,1.000000,10000
4.5141,0.000018,0.000018,1.000000,10000
6.7711,0.000037,0.000037,1.000000,10000
9.0282,0.000070,0.000070,1.000000,10000
11.2852,0.000115,0.000115,1.000000,10000
13.5423,0.000172,0.000172,1.000000,10000
15.7993,0.000242,0.000242,1.000000,10000
18.0563,0.000313,0.000313,1.000000,10000
20.3134,0.000399,0.000399,1.000000,10000
22.5704,0.000495,0.000495,1.000000,10000
24.8275,0.000599,0.000599,1.000000,10000
27.0845,0.000717,0.000717,1.000000,10000
29.3416,0.000845,0.000845,1.000000,10000
31.5986,0.000980,0.000980,1.000000,10000
33.8556,0.001124,0.001124,1.000000,10000
36.1127,0.001274,0.001274,1.000000,10000
38.3697,0.001449,0.001449,1.000000,10000
40.6268,0.001634,0.001634,1.000000,10000
42.8838,0.001835,0.001835,1.000000,10000
45.1409,0.002043,0.002043,1.000000,10000
47.3979,0.002258,0.002258,1.000000,10000
49.6549,0.002490,0.002490,1.000000,10000
51.9120,0.002737,0.002737,1.000000,10000
54.1690,0.003010,0.003010,1.000000,10000
56.4261,0.003295,0.003295,1.000000,10000
58.6831,0.003585,0.003585,1.000000,10000
60.9402,0.003890,0.003890,1.000000,10000
63.1972,0.004203,0.004203,1.000000,10000
65.4542,0.004531,0.004531,1.000000,10000
67.7113,0.004861,0.004861,1.000000,10000
69.9683,0.005203,0.005203,1.000000,10000
72.2254,0.005565,0.005565,1.000000,10000
74.4824,0.005931,0.005931,1.000000,10000
76.7394,0.006310,0.006310,1.000000,10000
78.9965,0.006705,0.006705,1.000000,10000
81.2535,0.007105,0.007105,1.000000,10000
83.5106,0.007502,0.007502,1.000000,10000
85.7676,0.007913,0.007913,1.000000,10000
88.0247,0.008345,0.008345,1.000000,10000
90.2817,0.008773,0.008773,1.000000,10000
92.5387,0.009204,0.009204,1.000000,10000
94.7958,0.009642,0.009642,1.000000,10000
97.0528,0.010056,0.010056,1.000000,10000
99.3099,0.010478,0.010478,1.000000,10000
101.5669,0.010886,0.010886,1.000000,10000
103.8240,0.011309,0.011309,1.000000,10000
106.0810,0.011732,0.011732,1.000000,10000
108.3380,0.012154,0.012154,1.000000,10000
110.5951,0.012587,0.012587,1.000000,10000
112.8521,0.013032,0.013032,1.000000,10000
115.1092,0.013466,0.013466,1.000000,10000
117.3662,0.013902,0.013902,1.000000,10000
119.6233,0.014358,0.014358,1.000000,10000
121.8803,0.014825,0.014825,1.000000,10000
124.1373,0.015282,0.015282,1.000000,10000
126.3944,0.015748,0.015748,1.000000,10000
128.6514,0.016227,0.016227,1.000000,10000
130.9085,0.016732,0.016732,1.000000,10000
133.1655,0.017225,0.017225,1.000000,10000
135.4226,0.017730,0.017730,1.000000,10000
137.6796,0.018264,0.018264,1.000000,10000
139.9366,0.018786,0.018786,1.000000,10000
142.1937,0.019309,0.019309,1.000000,10000
144.4507,0.019835,0.019835,1.000000,10000
146.7078,0.020382,0.020382,1.000000,10000
148.9648,0.020913,0.020913,1.000000,10000
151.2219,0.021457,0.021457,1.000000,10000
153.4789,0.022023,0.022023,1.000000,10000
155.7359,0.022588,0.022588,1.000000,10000
157.9930,0.023130,0.023130,1.000000,10000
160.2500,0.023677,0.023677,1.000000,10000
162.5071,0.024218,0.024218,1.000000,10000
164.7641,0.024762,0.024762,1.000000,10000
167.0212,0.025281,0.025281,1.000000,10000
169.2782,0.025835,0.025835,1.000000,10000
171.5352,0.026380,0.026380,1.000000,10000
173.7923,0.026901,0.026901,1.000000,10000
176.0493,0.027426,0.027426,1.000000,10000
178.3064,0.027940,0.027940,1.000000,10000
180.5634,0.028457,0.028457,1.000000,10000
182.8205,0.028990,0.028990,1.000000,10000
185.0775,0.029512,0.029512,1.000000,10000
187.3345,0.030003,0.030003,1.000000,10000
189.5916,0.030487,0.030487,1.000000,10000
191.8486,0.030977,0.030977,1.000000,10000
194.1057,0.031466,0.031466,1.000000,10000
196.3627,0.031948,0.031948,1.000000,10000
198.6197,0.032436,0.032436,1.000000,10000
200.8768,0.032934,0.032934,1.000000,10000
203.1338,0.033416,0.033416,1.000000,10000
205.3909,0.033920,0.033920,1.000000,10000
207.6479,0.034476,0.034380,0.999900,9999
209.9050,0.034951,0.034854,0.999900,9999
212.1620,0.035437,0.035340,0.999900,9999
214.4190,0.035935,0.035839,0.999900,9999
216.6761,0.036414,0.036317,0.999900,9999
218.9331,0.036898,0.036801,0.999900,9999
221.1902,0.037380,0.037284,0.999900,9999
223.4472,0.037867,0.037771,0.999900,9999
225.7043,0.038326,0.038230,0.999900,9999
227.9613,0.038802,0.038706,0.999900,9999
230.2183,0.039281,0.039185,0.999900,9999
232.4754,0.039762,0.039666,0.999900,9999
234.7324,0.040234,0.040138,0.999900,9999
236.9895,0.040734,0.040638,0.999900,9999
239.2465,0.041224,0.041128,0.999900,9999
241.5036,0.041728,0.041632,0.999900,9999
243.7606,0.042325,0.042133,0.999800,9998
246.0176,0.042939,0.042652,0.999700,9997
248.2747,0.043445,0.043158,0.999700,9997
250.5317,0.043949,0.043662,0.999700,9997
252.7888,0.044659,0.044181,0.999500,9995
255.0458,0.045332,0.044663,0.999300,9993
257.3029,0.046506,0.045170,0.998600,9986
259.5599,0.047124,0.045693,0.998500,9985
261.8169,0.047643,0.046213,0.998500,9985
264.0740,0.048286,0.046761,0.998400,9984
266.3310,0.048997,0.047282,0.998200,9982
268.5881,0.049799,0.047799,0.997900,9979
270.8451,0.050615,0.048331,0.997600,9976
273.1022,0.051541,0.048878,0.997200,9972
275.3592,0.052368,0.049421,0.996900,9969
277.6162,0.053100,0.049965,0.996700,9967
279.8733,0.054021,0.050508,0.996300,9963
282.1303,0.055284,0.051014,0.995500,9955
284.3874,0.056209,0.051561,0.995100,9951
286.6444,0.057032,0.052103,0.994800,9948
288.9015,0.057978,0.052673,0.994400,9944
291.1585,0.059378,0.053224,0.993500,9935
293.4155,0.060510,0.053792,0.992900,9929
295.6726,0.061717,0.054341,0.992200,9922
297.9296,0.062933,0.054900,0.991500,9915
300.1867,0.064163,0.055473,0.990800,9908
302.4437,0.065574,0.056040,0.989900,9899
304.7008,0.066965,0.056587,0.989000,9890
306.9578,0.068652,0.057150,0.987800,9878
309.2148,0.069981,0.057731,0.987000,9870
311.4719,0.071777,0.058311,0.985700,9857
313.7289,0.073029,0.058913,0.985000,9850
315.9860,0.074352,0.059492,0.984200,9842
318.2430,0.075652,0.060049,0.983400,9834
320.5001,0.077370,0.060649,0.982200,9822
322.7571,0.079529,0.061223,0.980500,9805
325.0141,0.081408,0.061800,0.979100,9791
327.2712,0.083027,0.062400,0.978000,9780
329.5282,0.084638,0.062993,0.976900,9769
331.7853,0.086621,0.063585,0.975400,9754
334.0423,0.088113,0.064155,0.974400,9744
336.2993,0.090296,0.064765,0.972700,9727
338.5564,0.092012,0.065375,0.971500,9715
340.8134,0.094086,0.065972,0.969900,9699
343.0705,0.097098,0.066575,0.967300,9673
345.3275,0.099182,0.067187,0.965700,9657
347.5846,0.101165,0.067792,0.964200,9642
349.8416,0.103809,0.068409,0.962000,9620
352.0986,0.105557,0.069064,0.960800,9608
354.3557,0.107464,0.069693,0.959400,9594
