u,phi_mean,phi_sd,n
0.0000,0.000000,0.000000,10000
0.0050,0.000007,0.000055,10000
0.0100,0.000027,0.000114,10000
0.0150,0.000060,0.000172,10000
0.0200,0.000103,0.000224,10000
0.0250,0.000162,0.000280,10000
0.0300,0.000236,0.000340,10000
0.0350,0.000320,0.000402,10000
0.0400,0.000418,0.000462,10000
0.0450,0.000531,0.000528,10000
0.0500,0.000660,0.000596,10000
0.0550,0.000800,0.000662,10000
0.0600,0.000954,0.000728,10000
0.0650,0.001128,0.000804,10000
0.0700,0.001317,0.000885,10000
0.0750,0.001527,0.000969,10000
0.0800,0.001751,0.001057,10000
0.0850,0.001995,0.001151,10000
0.0900,0.002266,0.001250,10000
0.0950,0.002558,0.001368,10000
0.1000,0.002873,0.001487,10000
0.1050,0.003213,0.001612,10000
0.1100,0.003565,0.001725,10000
0.1150,0.003927,0.001846,10000
0.1200,0.004306,0.001942,10000
0.1250,0.004689,0.002043,10000
0.1300,0.005081,0.002139,10000
0.1350,0.005475,0.002248,10000
0.1400,0.005880,0.002371,10000
0.1450,0.006314,0.002497,10000
0.1500,0.006756,0.002632,10000
0.1550,0.007219,0.002766,10000
0.1600,0.007690,0.002924,10000
0.1650,0.008201,0.003073,10000
0.1700,0.008735,0.003234,10000
0.1750,0.009303,0.003404,10000
0.1800,0.009898,0.003587,10000
0.1850,0.010497,0.003770,10000
0.1900,0.011120,0.003924,10000
0.1950,0.011774,0.004084,10000
0.2000,0.012426,0.004218,10000
0.2050,0.013095,0.004329,10000
0.2100,0.013761,0.004420,10000
0.2150,0.014422,0.004494,10000
0.2200,0.015084,0.004553,10000
0.2250,0.015710,0.004612,10000
0.2300,0.016322,0.004653,10000
0.2350,0.016929,0.004690,10000
0.2400,0.017533,0.004722,10000
0.2450,0.018101,0.004750,10000
0.2500,0.018671,0.004772,10000
0.2550,0.019222,0.004791,10000
0.2600,0.019775,0.004826,10000
0.2650,0.020307,0.004869,10000
0.2700,0.020850,0.004908,10000
0.2750,0.021384,0.004942,10000
0.2800,0.021908,0.004996,10000
0.2850,0.022414,0.005037,10000
0.2900,0.022914,0.005085,10000
0.2950,0.023421,0.005148,10000
0.3000,0.023920,0.005200,10000
0.3050,0.024422,0.005250,10000
0.3100,0.024910,0.005310,10000
0.3150,0.025393,0.005366,10000
0.3200,0.025873,0.005426,10000
0.3250,0.026348,0.005485,10000
0.3300,0.026829,0.005545,10000
0.3350,0.027305,0.005611,10000
0.3400,0.027774,0.005692,10000
0.3450,0.028248,0.005765,10000
0.3500,0.028732,0.005845,10000
0.3550,0.029212,0.005924,10000
0.3600,0.029694,0.006008,10000
0.3650,0.030185,0.006080,10000
0.3700,0.030678,0.006165,10000
0.3750,0.031173,0.006232,10000
0.3800,0.031671,0.006310,10000
0.3850,0.032178,0.006405,10000
0.3900,0.032682,0.006470,10000
0.3950,0.033179,0.006536,10000
0.4000,0.033689,0.006615,10000
0.4050,0.034192,0.006691,10000
0.4100,0.034692,0.006753,10000
0.4150,0.035187,0.006800,10000
0.4200,0.035686,0.006860,10000
0.4250,0.036192,0.006906,10000
0.4300,0.036680,0.006956,10000
0.4350,0.037160,0.006992,10000
0.4400,0.037642,0.007040,10000
0.4450,0.038145,0.007079,10000
0.4500,0.038616,0.007119,10000
0.4550,0.039103,0.007162,10000
0.4600,0.039602,0.007218,10000
0.4650,0.040091,0.007255,10000
