u,phi_mean,phi_sd,n
0.0000,0.000000,0.000000,10000
0.0050,0.000007,0.000070,10000
0.0100,0.000025,0.000126,10000
0.0150,0.000057,0.000203,10000
0.0200,0.000102,0.000271,10000
0.0250,0.000163,0.000343,10000
0.0300,0.000236,0.000413,10000
0.0350,0.000320,0.000501,10000
0.0400,0.000417,0.000574,10000
0.0450,0.000522,0.000649,10000
0.0500,0.000647,0.000725,10000
0.0550,0.000788,0.000825,10000
0.0600,0.000939,0.000901,10000
0.0650,0.001109,0.000987,10000
0.0700,0.001292,0.001067,10000
0.0750,0.001488,0.001152,10000
0.0800,0.001713,0.001248,10000
0.0850,0.001949,0.001363,10000
0.0900,0.002207,0.001488,10000
0.0950,0.002481,0.001610,10000
0.1000,0.002772,0.001732,10000
0.1050,0.003082,0.001855,10000
0.1100,0.003415,0.001985,10000
0.1150,0.003758,0.002103,10000
0.1200,0.004133,0.002247,10000
0.1250,0.004524,0.002397,10000
0.1300,0.004931,0.002549,10000
0.1350,0.005342,0.002670,10000
0.1400,0.005746,0.002787,10000
0.1450,0.006164,0.002915,10000
0.1500,0.006583,0.003030,10000
0.1550,0.006998,0.003126,10000
0.1600,0.007418,0.003235,10000
0.1650,0.007845,0.003345,10000
0.1700,0.008269,0.003464,10000
0.1750,0.008711,0.003578,10000
0.1800,0.009163,0.003710,10000
0.1850,0.009628,0.003867,10000
0.1900,0.010111,0.003979,10000
0.1950,0.010611,0.004120,10000
0.2000,0.011126,0.004271,10000
0.2050,0.011652,0.004443,10000
0.2100,0.012196,0.004591,10000
0.2150,0.012743,0.004742,10000
0.2200,0.013315,0.004910,10000
0.2250,0.013914,0.005055,10000
0.2300,0.014512,0.005205,10000
0.2350,0.015126,0.005355,10000
0.2400,0.015740,0.005481,10000
0.2450,0.016346,0.005621,10000
0.2500,0.016964,0.005740,10000
0.2550,0.017579,0.005866,10000
0.2600,0.018195,0.005985,10000
0.2650,0.018808,0.006068,10000
0.2700,0.019414,0.006158,10000
0.2750,0.020001,0.006250,10000
0.2800,0.020583,0.006311,10000
0.2850,0.021160,0.006393,10000
0.2900,0.021710,0.006471,10000
0.2950,0.022267,0.006554,10000
0.3000,0.022817,0.006619,10000
0.3050,0.023378,0.006686,10000
0.3100,0.023926,0.006754,10000
0.3150,0.024458,0.006821,10000
0.3200,0.024983,0.006887,10000
0.3250,0.025519,0.006957,10000
0.3300,0.026045,0.007029,10000
0.3350,0.026559,0.007079,10000
0.3400,0.027055,0.007136,10000
0.3450,0.027555,0.007204,10000
0.3500,0.028066,0.007273,10000
0.3550,0.028549,0.007356,10000
0.3600,0.029058,0.007439,10000
0.3650,0.029548,0.007524,10000
0.3700,0.030046,0.007616,10000
0.3750,0.030538,0.007711,10000
0.3800,0.031053,0.007801,10000
0.3850,0.031545,0.007872,10000
0.3900,0.032044,0.007965,10000
0.3950,0.032528,0.008034,10000
0.4000,0.033056,0.008152,10000
0.4050,0.033560,0.008272,10000
0.4100,0.034050,0.008366,10000
0.4150,0.034544,0.008454,10000
0.4200,0.035074,0.008566,10000
0.4250,0.035606,0.008669,10000
0.4300,0.036115,0.008762,10000
0.4350,0.036635,0.008877,10000
0.4400,0.037162,0.008987,10000
0.4450,0.037692,0.009085,10000
0.4500,0.038214,0.009186,10000
0.4550,0.038734,0.009285,10000
0.4600,0.039261,0.009369,10000
0.4650,0.039793,0.009452,10000
0.4700,0.040321,0.009551,10000
0.4750,0.040868,0.009672,10000
0.4800,0.041416,0.009765,10000
0.4850,0.041971,0.009879,10000
0.4900,0.042512,0.009958,10000
0.4950,0.043050,0.010052,10000
0.5000,0.043607,0.010130,10000
0.5050,0.044167,0.010207,10000
0.5100,0.044708,0.010265,10000
0.5150,0.045277,0.010359,10000
0.5200,0.045822,0.010432,10000
0.5250,0.046399,0.010533,10000
0.5300,0.046968,0.010613,10000
0.5350,0.047531,0.010710,10000
0.5400,0.048088,0.010786,10000
0.5450,0.048646,0.010862,10000
0.5500,0.049234,0.010939,10000
0.5550,0.049799,0.011046,10000
0.5600,0.050359,0.011125,10000
0.5650,0.050938,0.011235,10000
0.5700,0.051507,0.011350,10000
0.5750,0.052082,0.011435,10000
0.5800,0.052687,0.011542,10000
0.5850,0.053276,0.011609,10000
0.5900,0.053871,0.011710,10000
0.5950,0.054468,0.011805,10000
0.6000,0.055078,0.011919,10000
0.6050,0.055680,0.012032,10000
0.6100,0.056276,0.012123,10000
0.6150,0.056867,0.012214,10000
0.6200,0.057480,0.012315,10000
0.6250,0.058083,0.012410,10000
0.6300,0.058715,0.012533,10000
0.6350,0.059320,0.012620,10000
0.6400,0.059940,0.012738,10000
0.6450,0.060554,0.012859,10000
0.6500,0.061158,0.012960,10000
0.6550,0.061786,0.013096,10000
0.6600,0.062454,0.013220,10000
0.6650,0.063122,0.013333,10000
0.6700,0.063770,0.013449,10000
0.6750,0.064428,0.013577,10000
0.6800,0.065079,0.013703,10000
0.6850,0.065748,0.013847,10000
0.6900,0.066434,0.013983,10000
0.6950,0.067112,0.014131,10000
0.7000,0.067778,0.014254,10000
0.7050,0.068436,0.014394,10000
0.7100,0.069108,0.014507,10000
0.7150,0.069799,0.014636,10000
0.7200,0.070485,0.014760,10000
0.7250,0.071163,0.014895,10000
0.7300,0.071887,0.015028,10000
0.7350,0.072579,0.015167,10000
0.7400,0.073286,0.015321,10000
0.7450,0.074042,0.015476,10000
0.7500,0.074768,0.015626,10000
0.7550,0.075517,0.015764,10000
0.7600,0.076274,0.015935,10000
0.7650,0.077044,0.016112,10000
0.7700,0.077811,0.016269,10000
0.7750,0.078583,0.016410,10000
0.7800,0.079371,0.016577,10000
0.7850,0.080154,0.016741,10000
0.7900,0.080983,0.016943,10000
0.7950,0.081788,0.017118,10000
0.8000,0.082630,0.017295,10000
0.8050,0.083458,0.017466,10000
0.8100,0.084265,0.017653,10000
0.8150,0.085130,0.017825,10000
0.8200,0.085999,0.017984,10000
0.8250,0.086894,0.018165,10000
0.8300,0.087794,0.018385,10000
0.8350,0.088689,0.018602,10000
0.8400,0.089602,0.018804,10000
0.8450,0.090504,0.019002,10000
0.8500,0.091470,0.019253,10000
0.8550,0.092438,0.019487,10000
0.8600,0.093394,0.019699,10000
0.8650,0.094401,0.019945,10000
0.8700,0.095418,0.020182,10000
0.8750,0.096451,0.020397,10000
0.8800,0.097486,0.020632,10000
0.8850,0.098579,0.020862,10000
0.8900,0.099628,0.021080,10000
0.8950,0.100698,0.021297,10000
0.9000,0.101783,0.021595,10000
0.9050,0.102901,0.021819,10000
0.9100,0.104054,0.022082,10000
0.9150,0.105168,0.022310,10000
0.9200,0.106334,0.022529,10000
0.9250,0.107529,0.022799,10000
0.9300,0.108699,0.023060,10000
0.9350,0.109888,0.023327,10000
0.9400,0.111115,0.023613,10000
0.9450,0.112351,0.023850,10000
0.9500,0.113598,0.024092,10000
0.9550,0.114942,0.024320,10000
0.9600,0.116262,0.024625,10000
0.9650,0.117695,0.024926,10000
0.9700,0.119085,0.025178,10000
0.9750,0.120470,0.025389,10000
0.9800,0.121858,0.025680,10000
0.9850,0.123335,0.025898,10000
0.9900,0.124821,0.026191,10000
0.9950,0.126334,0.026451,10000
1.0000,1.000000,0.000000,10000
