u,phi_mean,phi_sd,n
0.0000,0.000000,0.000000,10000
0.0050,0.001231,0.004945,10000
0.0100,0.002418,0.006695,10000
0.0150,0.003666,0.008548,10000
0.0200,0.004876,0.010182,10000
0.0250,0.005932,0.011206,10000
0.0300,0.007158,0.012633,10000
0.0350,0.008350,0.013481,10000
0.0400,0.009495,0.014324,10000
0.0450,0.010644,0.015107,10000
0.0500,0.011818,0.016164,10000
0.0550,0.012960,0.017158,10000
0.0600,0.014145,0.017995,10000
0.0650,0.015360,0.018914,10000
0.0700,0.016562,0.019728,10000
0.0750,0.017833,0.020609,10000
0.0800,0.019033,0.021154,10000
0.0850,0.020272,0.021866,10000
0.0900,0.021381,0.022355,10000
0.0950,0.022628,0.022967,10000
0.1000,0.023912,0.023601,10000
0.1050,0.025152,0.024178,10000
0.1100,0.026299,0.024745,10000
0.1150,0.027565,0.025322,10000
0.1200,0.028768,0.025818,10000
0.1250,0.029947,0.026323,10000
0.1300,0.031212,0.026996,10000
0.1350,0.032430,0.027620,10000
0.1400,0.033696,0.028117,10000
0.1450,0.034956,0.028785,10000
0.1500,0.036214,0.029326,10000
0.1550,0.037470,0.029782,10000
0.1600,0.038651,0.030192,10000
0.1650,0.039962,0.030825,10000
0.1700,0.041243,0.031340,10000
0.1750,0.042529,0.031934,10000
0.1800,0.043753,0.032347,10000
0.1850,0.045046,0.032867,10000
0.1900,0.046291,0.033337,10000
0.1950,0.047664,0.034063,10000
0.2000,0.048943,0.034541,10000
0.2050,0.050182,0.035003,10000
0.2100,0.051460,0.035413,10000
0.2150,0.052712,0.035815,10000
0.2200,0.054051,0.036303,10000
0.2250,0.055406,0.036961,10000
0.2300,0.056639,0.037357,10000
0.2350,0.058022,0.037903,10000
0.2400,0.059399,0.038432,10000
0.2450,0.060792,0.038980,10000
0.2500,0.062100,0.039371,10000
0.2550,0.063415,0.039851,10000
0.2600,0.064765,0.040293,10000
0.2650,0.066007,0.040702,10000
0.2700,0.067374,0.041152,10000
0.2750,0.068596,0.041438,10000
0.2800,0.069893,0.041925,10000
0.2850,0.071376,0.042463,10000
0.2900,0.072692,0.042884,10000
0.2950,0.074080,0.043502,10000
0.3000,0.075338,0.043771,10000
0.3050,0.076697,0.044150,10000
0.3100,0.078049,0.044539,10000
0.3150,0.079433,0.044972,10000
0.3200,0.080773,0.045310,10000
0.3250,0.082063,0.045685,10000
0.3300,0.083464,0.046067,10000
0.3350,0.084943,0.046541,10000
0.3400,0.086258,0.046958,10000
0.3450,0.087559,0.047285,10000
0.3500,0.088908,0.047524,10000
0.3550,0.090363,0.048081,10000
0.3600,0.091696,0.048406,10000
0.3650,0.093358,0.049200,10000
0.3700,0.094792,0.049733,10000
0.3750,0.096370,0.050200,10000
0.3800,0.097898,0.050712,10000
0.3850,0.099404,0.051132,10000
0.3900,0.100988,0.051682,10000
0.3950,0.102415,0.051994,10000
0.4000,0.103906,0.052339,10000
0.4050,0.105525,0.052751,10000
0.4100,0.107015,0.053110,10000
0.4150,0.108527,0.053577,10000
0.4200,0.110050,0.054008,10000
0.4250,0.111597,0.054485,10000
0.4300,0.113103,0.054798,10000
0.4350,0.114665,0.055268,10000
0.4400,0.116196,0.055684,10000
0.4450,0.117754,0.056177,10000
0.4500,0.119189,0.056601,10000
0.4550,0.120736,0.057038,10000
0.4600,0.122290,0.057496,10000
0.4650,0.123781,0.057767,10000
0.4700,0.125345,0.058349,10000
0.4750,0.126993,0.058848,10000
0.4800,0.128595,0.059181,10000
0.4850,0.130363,0.059579,10000
0.4900,0.131946,0.059889,10000
0.4950,0.133515,0.060281,10000
0.5000,0.135097,0.060612,10000
0.5050,0.136763,0.061061,10000
0.5100,0.138313,0.061569,10000
0.5150,0.139989,0.061935,10000
0.5200,0.141627,0.062350,10000
0.5250,0.143365,0.062883,10000
0.5300,0.144940,0.063160,10000
0.5350,0.146669,0.063749,10000
0.5400,0.148328,0.064256,10000
0.5450,0.150082,0.064672,10000
0.5500,0.151741,0.065051,10000
0.5550,0.153457,0.065436,10000
0.5600,0.155194,0.066014,10000
0.5650,0.157002,0.066609,10000
0.5700,0.158727,0.067033,10000
0.5750,0.160485,0.067575,10000
0.5800,0.162230,0.067857,10000
0.5850,0.163970,0.068432,10000
0.5900,0.165529,0.068826,10000
0.5950,0.167314,0.069426,10000
0.6000,0.169172,0.070038,10000
0.6050,0.170935,0.070519,10000
0.6100,0.172730,0.070786,10000
0.6150,0.174497,0.071329,10000
0.6200,0.176379,0.071810,10000
0.6250,0.178154,0.072084,10000
0.6300,0.179818,0.072414,10000
0.6350,0.181648,0.072797,10000
0.6400,0.183635,0.073374,10000
0.6450,0.185460,0.073748,10000
0.6500,0.187420,0.074292,10000
0.6550,0.189368,0.074681,10000
0.6600,0.191347,0.075236,10000
0.6650,0.193181,0.075659,10000
0.6700,0.195062,0.076051,10000
0.6750,0.196865,0.076471,10000
0.6800,0.198742,0.077053,10000
0.6850,0.200653,0.077455,10000
0.6900,0.202467,0.077916,10000
0.6950,0.204363,0.078351,10000
0.7000,0.206323,0.078931,10000
0.7050,0.208213,0.079391,10000
0.7100,0.210153,0.079914,10000
0.7150,0.212189,0.080318,10000
0.7200,0.214283,0.080899,10000
0.7250,0.216250,0.081306,10000
0.7300,0.218125,0.081638,10000
0.7350,0.220036,0.081982,10000
0.7400,0.222083,0.082545,10000
0.7450,0.224187,0.082955,10000
0.7500,0.226021,0.083296,10000
0.7550,0.228027,0.083762,10000
0.7600,0.230035,0.084086,10000
0.7650,0.232044,0.084596,10000
0.7700,0.234015,0.085119,10000
0.7750,0.236238,0.085768,10000
0.7800,0.238477,0.086397,10000
0.7850,0.240543,0.086668,10000
0.7900,0.242558,0.087026,10000
0.7950,0.244791,0.087433,10000
0.8000,0.247117,0.088146,10000
0.8050,0.248986,0.088616,10000
0.8100,0.251057,0.089027,10000
0.8150,0.253464,0.089599,10000
0.8200,0.255596,0.089961,10000
0.8250,0.257871,0.090343,10000
0.8300,0.259907,0.090734,10000
0.8350,0.261914,0.091080,10000
0.8400,0.263990,0.091476,10000
0.8450,0.266348,0.091767,10000
0.8500,0.268703,0.092120,10000
0.8550,0.270744,0.092406,10000
0.8600,0.272981,0.092756,10000
0.8650,0.275157,0.093133,10000
0.8700,0.277438,0.093660,10000
0.8750,0.279521,0.093976,10000
0.8800,0.281900,0.094234,10000
0.8850,0.284371,0.094586,10000
0.8900,0.286660,0.095161,10000
0.8950,0.289093,0.095480,10000
0.9000,0.291512,0.095968,10000
0.9050,0.293949,0.096233,10000
0.9100,0.296150,0.096532,10000
0.9150,0.298463,0.096736,10000
0.9200,0.300817,0.097046,10000
0.9250,0.303250,0.097349,10000
0.9300,0.305496,0.097582,10000
0.9350,0.307887,0.097714,10000
0.9400,0.310224,0.097951,10000
0.9450,0.312626,0.098309,10000
0.9500,0.315475,0.098814,10000
0.9550,0.317971,0.099076,10000
0.9600,0.320365,0.099572,10000
0.9650,0.322969,0.099738,10000
0.9700,0.325840,0.100028,10000
0.9750,0.328299,0.100330,10000
0.9800,0.331134,0.100494,10000
0.9850,0.334120,0.100651,10000
0.9900,0.336919,0.100955,10000
0.9950,0.339417,0.101214,10000
1.0000,1.000000,0.000000,10000
