F,phi_mean_all,phi_mean_intact,survival,n_intact
0.0000,0.000000,0.000000,1.000000,10000
5.2486,0.000003,0.000003,1.000000,10000
10.4973,0.000013,0.000013,1.000000,10000
15.7459,0.000031,0.000031,1.000000,10000
20.9946,0.000055,0.000055,1.000000,10000
26.2432,0.000085,0.000085,1.000000,10000
31.4919,0.000121,0.000121,1.000000,10000
36.7405,0.000163,0.000163,1.000000,10000
41.9892,0.000215,0.000215,1.000000,10000
47.2378,0.000272,0.000272,1.000000,10000
52.4865,0.000336,0.000336,1.000000,10000
57.7351,0.000410,0.000410,1.000000,10000
62.9838,0.000488,0.000488,1.000000,10000
68.2324,0.000576,0.000576,1.000000,10000
73.4811,0.000671,0.000671,1.000000,10000
78.7297,0.000772,0.000772,1.000000,10000
83.9783,0.000886,0.000886,1.000000,10000
89.2270,0.001006,0.001006,1.000000,10000
94.4756,0.001131,0.001131,1.000000,10000
99.7243,0.001266,0.001266,1.000000,10000
104.9729,0.001410,0.001410,1.000000,10000
110.2216,0.001569,0.001569,1.000000,10000
115.4702,0.001739,0.001739,1.000000,10000
120.7189,0.001908,0.001908,1.000000,10000
125.9675,0.002092,0.002092,1.000000,10000
131.2162,0.002293,0.002293,1.000000,10000
136.4648,0.002498,0.002498,1.000000,10000
141.7135,0.002719,0.002719,1.000000,10000
146.9621,0.002948,0.002948,1.000000,10000
152.2108,0.003187,0.003187,1.000000,10000
157.4594,0.003438,0.003438,1.000000,10000
162.7080,0.003705,0.003705,1.000000,10000
167.9567,0.003976,0.003976,1.000000,10000
173.2053,0.004256,0.004256,1.000000,10000
178.4540,0.004545,0.004545,1.000000,10000
183.7026,0.004832,0.004832,1.000000,10000
188.9513,0.005115,0.005115,1.000000,10000
194.1999,0.005406,0.005406,1.000000,10000
199.4486,0.005693,0.005693,1.000000,10000
204.6972,0.005982,0.005982,1.000000,10000
209.9459,0.006275,0.006275,1.000000,10000
215.1945,0.006579,0.006579,1.000000,10000
220.4432,0.006895,0.006895,1.000000,10000
225.6918,0.007215,0.007215,1.000000,10000
230.9405,0.007549,0.007549,1.000000,10000
236.1891,0.007895,0.007895,1.000000,10000
241.4377,0.008259,0.008259,1.000000,10000
246.6864,0.008640,0.008640,1.000000,10000
251.9350,0.009031,0.009031,1.000000,10000
257.1837,0.009435,0.009435,1.000000,10000
262.4323,0.009850,0.009850,1.000000,10000
267.6810,0.010258,0.010258,1.000000,10000
272.9296,0.010689,0.010689,1.000000,10000
278.1783,0.011126,0.011126,1.000000,10000
283.4269,0.011579,0.011579,1.000000,10000
288.6756,0.012032,0.012032,1.000000,10000
293.9242,0.012492,0.012492,1.000000,10000
299.1729,0.012966,0.012966,1.000000,10000
304.4215,0.013446,0.013446,1.000000,10000
309.6702,0.013922,0.013922,1.000000,10000
314.9188,0.014413,0.014413,1.000000,10000
320.1674,0.014908,0.014908,1.000000,10000
325.4161,0.015394,0.015394,1.000000,10000
330.6647,0.015877,0.015877,1.000000,10000
335.9134,0.016344,0.016344,1.000000,10000
341.1620,0.016795,0.016795,1.000000,10000
346.4107,0.017263,0.017263,1.000000,10000
351.6593,0.017707,0.017707,1.000000,10000
356.9080,0.018136,0.018136,1.000000,10000
362.1566,0.018558,0.018558,1.000000,10000
367.4053,0.018992,0.018992,1.000000,10000
372.6539,0.019391,0.019391,1.000000,10000
377.9026,0.019776,0.019776,1.000000,10000
383.1512,0.020160,0.020160,1.000000,10000
388.3998,0.020538,0.020538,1.000000,10000
393.6485,0.020906,0.020906,1.000000,10000
398.8971,0.021262,0.021262,1.000000,10000
404.1458,0.021624,0.021624,1.000000,10000
409.3944,0.021981,0.021981,1.000000,10000
414.6431,0.022334,0.022334,1.000000,10000
419.8917,0.022699,0.022699,1.000000,10000
425.1404,0.023064,0.023064,1.000000,10000
430.3890,0.023417,0.023417,1.000000,10000
435.6377,0.023769,0.023769,1.000000,10000
440.8863,0.024131,0.024131,1.000000,10000
446.1350,0.024486,0.024486,1.000000,10000
451.3836,0.024829,0.024829,1.000000,10000
456.6323,0.025181,0.025181,1.000000,10000
461.8809,0.025519,0.025519,1.000000,10000
467.1295,0.025870,0.025870,1.000000,10000
472.3782,0.026211,0.026211,1.000000,10000
477.6268,0.026553,0.026553,1.000000,10000
482.8755,0.026886,0.026886,1.000000,10000
488.1241,0.027215,0.027215,1.000000,10000
493.3728,0.027542,0.027542,1.000000,10000
498.6214,0.027885,0.027885,1.000000,10000
503.8701,0.028215,0.028215,1.000000,10000
509.1187,0.028556,0.028556,1.000000,10000
514.3674,0.028894,0.028894,1.000000,10000
519.6160,0.029235,0.029235,1.000000,10000
524.8647,0.029572,0.029572,1.000000,10000
530.1133,0.029909,0.029909,1.000000,10000
535.3620,0.030257,0.030257,1.000000,10000
540.6106,0.030603,0.030603,1.000000,10000
545.8592,0.030942,0.030942,1.000000,10000
551.1079,0.031277,0.031277,1.000000,10000
556.3565,0.031623,0.031623,1.000000,10000
561.6052,0.031971,0.031971,1.000000,10000
566.8538,0.032323,0.032323,1.000000,10000
572.1025,0.032673,0.032673,1.000000,10000
577.3511,0.033032,0.033032,1.000000,10000
582.5998,0.033394,0.033394,1.000000,10000
587.8484,0.033764,0.033764,1.000000,10000
593.0971,0.034129,0.034129,1.000000,10000
598.3457,0.034493,0.034493,1.000000,10000
603.5944,0.034859,0.034859,1.000000,10000
608.8430,0.035234,0.035234,1.000000,10000
614.0917,0.035609,0.035609,1.000000,10000
619.3403,0.035972,0.035972,1.000000,10000
624.5889,0.036353,0.036353,1.000000,10000
629.8376,0.036726,0.036726,1.000000,10000
635.0862,0.037093,0.037093,1.000000,10000
640.3349,0.037457,0.037457,1.000000,10000
645.5835,0.037830,0.037830,1.000000,10000
650.8322,0.038199,0.038199,1.000000,10000
656.0808,0.038564,0.038564,1.000000,10000
661.3295,0.038923,0.038923,1.000000,10000
666.5781,0.039284,0.039284,1.000000,10000
671.8268,0.039645,0.039645,1.000000,10000
677.0754,0.040008,0.040008,1.000000,10000
682.3241,0.040366,0.040366,1.000000,10000
687.5727,0.040728,0.040728,1.000000,10000
692.8214,0.041068,0.041068,1.000000,10000
698.0700,0.041425,0.041425,1.000000,10000
703.3186,0.041764,0.041764,1.000000,10000
708.5673,0.042111,0.042111,1.000000,10000
713.8159,0.042463,0.042463,1.000000,10000
719.0646,0.042819,0.042819,1.000000,10000
724.3132,0.043165,0.043165,1.000000,10000
729.5619,0.043523,0.043523,1.000000,10000
734.8105,0.043879,0.043879,1.000000,10000
740.0592,0.044228,0.044228,1.000000,10000
745.3078,0.044576,0.044576,1.000000,10000
750.5565,0.044925,0.044925,1.000000,10000
755.8051,0.045272,0.045272,1.000000,10000
761.0538,0.045614,0.045614,1.000000,10000
766.3024,0.045944,0.045944,1.000000,10000
771.5511,0.046294,0.046294,1.000000,10000
776.7997,0.046647,0.046647,1.000000,10000
782.0483,0.046995,0.046995,1.000000,10000
787.2970,0.047449,0.047353,0.999900,9999
792.5456,0.047792,0.047696,0.999900,9999
797.7943,0.048144,0.048048,0.999900,9999
803.0429,0.048589,0.048399,0.999800,9998
808.2916,0.049116,0.048735,0.999600,9996
813.5402,0.049649,0.049079,0.999400,9994
818.7889,0.049995,0.049424,0.999400,9994
824.0375,0.050528,0.049768,0.999200,9992
829.2862,0.050975,0.050120,0.999100,9991
834.5348,0.051420,0.050471,0.999000,9990
839.7835,0.051871,0.050827,0.998900,9989
845.0321,0.052238,0.051194,0.998900,9989
850.2808,0.052780,0.051548,0.998700,9987
855.5294,0.053243,0.051916,0.998600,9986
860.7780,0.053896,0.052285,0.998300,9983
866.0267,0.054457,0.052657,0.998100,9981
871.2753,0.055123,0.053040,0.997800,9978
876.5240,0.055584,0.053407,0.997700,9977
881.7726,0.055977,0.053801,0.997700,9977
887.0213,0.056552,0.054187,0.997500,9975
892.2699,0.057030,0.054572,0.997400,9974
897.5186,0.057695,0.054955,0.997100,9971
902.7672,0.058094,0.055355,0.997100,9971
908.0159,0.058585,0.055752,0.997000,9970
913.2645,0.059447,0.056144,0.996500,9965
918.5132,0.060210,0.056530,0.996100,9961
923.7618,0.060782,0.056916,0.995900,9959
929.0105,0.061266,0.057307,0.995800,9958
934.2591,0.061857,0.057711,0.995600,9956
939.5077,0.062526,0.058099,0.995300,9953
944.7564,0.063020,0.058501,0.995200,9952
950.0050,0.063802,0.058909,0.994800,9948
955.2537,0.064845,0.059294,0.994100,9941
960.5023,0.065731,0.059713,0.993600,9936
965.7510,0.066880,0.060113,0.992800,9928
970.9996,0.067757,0.060523,0.992300,9923
976.2483,0.068452,0.060939,0.992000,9920
981.4969,0.069434,0.061361,0.991400,9914
986.7456,0.070505,0.061780,0.990700,9907
991.9942,0.071143,0.062234,0.990500,9905
997.2429,0.072116,0.062649,0.989900,9899
1002.4915,0.073003,0.063072,0.989400,9894
1007.7402,0.073991,0.063503,0.988800,9888
1012.9888,0.075642,0.064036,0.987600,9876
1018.2374,0.077110,0.064386,0.986400,9864
1023.4861,0.077833,0.064834,0.986100,9861
1028.7347,0.079016,0.065276,0.985300,9853
1033.9834,0.080478,0.065716,0.984200,9842
1039.2320,0.081856,0.066167,0.983200,9832
1044.4807,0.082591,0.066630,0.982900,9829
1049.7293,0.084600,0.067060,0.981200,9812
1054.9780,0.086267,0.067524,0.979900,9799
1060.2266,0.088231,0.068007,0.978300,9783
1065.4753,0.089995,0.068477,0.976900,9769
1070.7239,0.091850,0.068946,0.975400,9754
1075.9726,0.094067,0.069407,0.973500,9735
1081.2212,0.096266,0.069850,0.971600,9716
1086.4698,0.099227,0.070314,0.968900,9689
1091.7185,0.101725,0.070782,0.966700,9667
1096.9671,0.104975,0.071261,0.963700,9637
1102.2158,0.107294,0.071741,0.961700,9617
1107.4644,0.110621,0.072210,0.958600,9586
1112.7131,0.112116,0.072706,0.957500,9575
1117.9617,0.115000,0.073202,0.954900,9549
1123.2104,0.118057,0.073687,0.952100,9521
1128.4590,0.121852,0.074269,0.948600,9486
1133.7077,0.124732,0.074672,0.945900,9459
1138.9563,0.127876,0.075160,0.943000,9430
1144.2050,0.131302,0.075657,0.939800,9398
1149.4536,0.134364,0.076162,0.937000,9370
1154.7023,0.137881,0.076664,0.933700,9337
1159.9509,0.141213,0.077169,0.930600,9306
1165.1995,0.143835,0.077706,0.928300,9283
1170.4482,0.148000,0.078221,0.924300,9243
1175.6968,0.150990,0.078765,0.921600,9216
1180.9455,0.155712,0.079294,0.917000,9170
1186.1941,0.160151,0.079819,0.912700,9127
1191.4428,0.164578,0.080337,0.908400,9084
1196.6914,0.169440,0.080833,0.903600,9036
1201.9401,0.173755,0.081338,0.899400,8994
1207.1887,0.177459,0.081883,0.895900,8959
1212.4374,0.181642,0.082455,0.891900,8919
1217.6860,0.186165,0.083003,0.887500,8875
1222.9347,0.191114,0.083520,0.882600,8826
1228.1833,0.195371,0.084088,0.878500,8785
1233.4320,0.200049,0.084619,0.873900,8739
1238.6806,0.205275,0.085156,0.868700,8687
1243.9292,0.211283,0.085652,0.862600,8626
1249.1779,0.216997,0.086238,0.856900,8569
1254.4265,0.222126,0.086788,0.851800,8518
1259.6752,0.226487,0.087408,0.847600,8476
1264.9238,0.232869,0.087944,0.841100,8411
1270.1725,0.238902,0.088505,0.835000,8350
1275.4211,0.245718,0.089033,0.827900,8279
1280.6698,0.252104,0.089597,0.821500,8215
1285.9184,0.258686,0.090189,0.814800,8148
1291.1671,0.264964,0.090752,0.808400,8084
1296.4157,0.271063,0.091328,0.802200,8022
