# Ts = 128
# normalized_force_midpoint  Psi_percent
0.01666667 2.42611381
0.05000000 2.91156965
0.08333333 3.07651398
0.11666667 3.60713975
0.15000000 4.09588612
0.18333333 4.49278282
0.21666667 4.86991051
0.25000000 5.22250222
0.28333333 5.33524807
0.31666667 5.46156223
0.35000000 5.38149421
0.38333333 5.20192513
0.41666667 4.95986289
0.45000000 4.83919095
0.48333333 4.83506223
0.51666667 4.85083058
0.55000000 4.92263174
0.58333333 5.09747707
0.61666667 5.21823847
0.65000000 5.56401188
0.68333333 5.95087961
0.71666667 6.58490279
0.75000000 7.19497409
0.78333333 8.10187902
0.81666667 9.28742756
0.85000000 10.98106210
0.88333333 13.15836375
0.91666667 16.97596385
0.95000000 24.42694460
0.98333333 91.37492269
