# Ts = 8
# normalized_force_midpoint  Psi_percent
0.01666667 6.39068687
0.05000000 6.75223552
0.08333333 7.09039646
0.11666667 7.61214168
0.15000000 8.89422019
0.18333333 9.82219927
0.21666667 11.16590135
0.25000000 12.60037236
0.28333333 13.66242039
0.31666667 15.24057019
0.35000000 16.39535612
0.38333333 18.02027564
0.41666667 19.14233189
0.45000000 20.31014026
0.48333333 21.88661864
0.51666667 22.71586527
0.55000000 24.37730137
0.58333333 26.28138094
0.61666667 27.14519796
0.65000000 28.95402199
0.68333333 30.25201539
0.71666667 32.07678334
0.75000000 34.07682550
0.78333333 36.91604993
0.81666667 39.38039657
0.85000000 42.50828871
0.88333333 46.81753931
0.91666667 52.25268065
0.95000000 59.49984986
0.98333333 96.51194285
