# Ts = 8192
# normalized_force_midpoint  Psi_percent
0.01666667 3.17685148
0.05000000 3.53977466
0.08333333 4.09894451
0.11666667 4.61464362
0.15000000 5.29533768
0.18333333 5.70231606
0.21666667 6.17872330
0.25000000 6.68710972
0.28333333 6.91473322
0.31666667 6.81925605
0.35000000 6.46462406
0.38333333 6.05699002
0.41666667 5.64861445
0.45000000 5.36070276
0.48333333 5.33617367
0.51666667 5.14754917
0.55000000 5.16146666
0.58333333 5.35810174
0.61666667 5.43566976
0.65000000 5.67356325
0.68333333 5.93487062
0.71666667 6.38768485
0.75000000 6.90775155
0.78333333 7.58701638
0.81666667 8.50974928
0.85000000 9.80072582
0.88333333 11.76153359
0.91666667 15.00345367
0.95000000 21.33210544
0.98333333 91.51244541
