f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
0,199584,0,0,"0"
148.61650267664021,199581,3,1,"1"
204.41335233116749,199580,4,1,"1"
263.1061419548862,199579,5,1,"1"
310.45211496966448,199578,6,1,"1"
361.03961834980083,199577,7,1,"1"
399.81597613975413,199576,8,1,"1"
442.92268928107296,199558,26,1,"1"
459.90256934185112,199557,27,1,"1"
489.10769284243298,199556,28,1,"1"
501.98910352241307,199555,29,1,"1"
513.13729967884819,199554,30,1,"1"
521.03163123124432,199551,33,1,"1"
537.02369185365808,199550,34,1,"1"
541.27205279430939,199532,52,1,"1"
572.50048881088287,199514,70,1,"1"
590.40436472224462,199507,77,3,"3"
598.38384607802425,199506,78,1,"1"
613.1607894312142,199505,79,1,"1"
643.90708059535712,199496,88,1,"1"
662.55942419906364,199495,89,1,"1"
678.34753398008866,199494,90,1,"1"
691.63716367395443,199493,91,1,"1"
693.38919073679801,199492,92,1,"1"
712.54988536710505,199487,97,1,"1"
724.23399988985818,199469,115,1,"1"
728.52933592204806,199468,116,1,"1"
751.16146674870595,199467,117,1,"1"
789.92713136299494,199466,118,1,"1"
791.30088668022915,199465,119,1,"1"
796.66118286473852,199464,120,1,"1"
803.83733807874239,199463,121,1,"1"
808.65079381483508,199462,122,1,"1"
809.44025601597025,199461,123,1,"1"
830.81754378196592,199460,124,1,"1"
831.75072076496463,199459,125,1,"1"
858.01789905619216,199458,126,1,"1"
880.02525142460763,199457,127,1,"1"
884.07924544038769,199439,145,1,"1"
894.25947769979996,199438,146,1,"1"
907.01268013980382,199437,147,1,"1"
917.76857110485923,199436,148,1,"1"
920.58313436300625,199435,149,1,"1"
922.30134190545391,199417,167,1,"1"
944.72736767414904,199416,168,1,"1"
968.00740161969497,199413,171,1,"1"
970.7230746015199,199412,172,1,"1"
978.14934945944492,199394,190,1,"1"
989.11181147775312,199393,191,1,"1"
1045.1309481759793,199392,192,1,"1"
1079.4400915414376,199389,195,1,"1"
1092.1782778530401,199387,197,2,"1-1"
1097.7989998978508,199369,215,1,"1"
1142.9773382218023,199351,233,1,"1"
1146.7379036276325,199350,234,1,"1"
1162.3155459614268,199349,235,1,"1"
1178.4858589878879,199348,236,1,"1"
