f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
0,992082,0,0,"0"
193.90055729013955,992081,1,1,"1"
446.55036710157992,992080,2,1,"1"
581.23816180209928,992079,3,1,"1"
615.61189839933093,992078,4,1,"1"
711.86386047950543,992075,7,1,"1"
721.70491978130042,992057,25,1,"1"
868.53512349632899,992056,26,1,"1"
899.40153333892988,992055,27,1,"1"
925.9030625193684,992037,45,1,"1"
926.00196014762571,992019,63,1,"1"
950.35042199480802,992009,73,1,"1"
1052.160924387018,991991,91,1,"1"
1092.5025540560848,991990,92,1,"1"
1101.1893860171276,991989,93,1,"1"
1167.3507561606539,991971,111,1,"1"
1206.4988618531236,991970,112,1,"1"
1231.6710250130759,991969,113,1,"1"
1255.8783724951293,991968,114,1,"1"
1261.5925412414524,991967,115,1,"1"
1287.7692111636813,991966,116,1,"1"
1319.3562377878147,991965,117,1,"1"
1331.9118393022734,991964,118,1,"1"
1343.8501657059551,991946,136,1,"1"
1457.0100484956604,991945,137,1,"1"
1492.5561976136503,991944,138,1,"1"
1549.7736254149493,991927,155,1,"1"
1584.4027849491599,991926,156,1,"1"
1622.8203177647479,991921,161,1,"1"
1635.0989362344587,991920,162,1,"1"
1654.9225436294532,991919,163,1,"1"
1657.6636093616703,991918,164,1,"1"
1707.3422796556165,991917,165,1,"1"
1749.1347599343226,991916,166,1,"1"
1827.3732698434258,991915,167,1,"1"
1855.7662650853729,991914,168,1,"1"
1868.1804966219659,991896,186,1,"1"
1995.7557266412482,991895,187,1,"1"
2005.9302741082461,991894,188,1,"1"
2024.0443748861712,991893,189,1,"1"
2068.0003345992,991891,191,2,"2"
2092.5825111426652,991890,192,1,"1"
2095.072443410882,991872,210,1,"1"
2115.8566829433212,991871,211,1,"1"
2141.3559999717418,991870,212,1,"1"
2179.6613744378988,991869,213,1,"1"
2194.933592577655,991868,214,1,"1"
2195.8794225452239,991867,215,1,"1"
2205.5223617147103,991866,216,1,"1"
2262.7820970519183,991848,234,1,"1"
2288.2580286325506,991831,251,1,"1"
2301.8155009550883,991821,261,1,"1"
2333.939665821883,991820,262,1,"1"
2335.4713900313559,991819,263,1,"1"
2360.448296829145,991818,264,1,"1"
2424.9385865162335,991817,265,1,"1"
2431.110076118146,991812,270,1,"1"
2437.4968707046969,991811,271,1,"1"
2466.8272701075011,991806,276,1,"1"
2488.0065963109996,991805,277,1,"1"
2495.9579723088596,991802,280,1,"1"
2538.962228798332,991801,281,1,"1"
2574.9636635031911,991800,282,1,"1"
2596.8607027141707,991799,283,1,"1"
2598.1322804873821,991781,301,1,"1"
