f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
0,40735,0,0,"0"
14.006476201728542,40734,1,1,"1"
95.533640031021491,40733,2,1,"1"
103.07186197375363,40732,3,1,"1"
105.31629939343597,40731,4,1,"1"
112.6256091124656,40713,22,1,"1"
122.45702677536954,40703,32,1,"1"
130.50240608936838,40702,33,1,"1"
149.81938624208556,40701,34,1,"1"
152.44121494644705,40700,35,1,"1"
177.61599142330022,40699,36,1,"1"
184.56314731944525,40692,43,3,"3"
185.80478039466695,40691,44,1,"1"
236.07906416528573,40690,45,1,"1"
239.51181904535508,40670,65,2,"1-1"
247.98047017670831,40660,75,1,"1"
256.03212448551369,40655,80,1,"1"
289.63011152153967,40654,81,1,"1"
296.02367480924221,40653,82,1,"1"
297.5009169186103,40647,88,2,"1-1"
303.96851936053554,40644,91,3,"2-1"
307.72038995338545,40643,92,1,"1"
322.31240123096615,40640,95,3,"2-1"
345.38066793728638,40635,100,1,"1"
350.20947811274431,40617,118,1,"1"
350.88471001279021,40616,119,1,"1"
351.57106710212571,40615,120,1,"1"
357.26864413842742,40614,121,1,"1"
360.71238441304541,40609,126,1,"1"
381.53343304171165,40591,144,1,"1"
396.51317140478545,40586,149,1,"1"
413.74294765664052,40580,155,2,"1-1"
440.05343528211506,40562,173,1,"1"
449.40422714645251,40561,174,1,"1"
461.35108306240528,40560,175,1,"1"
479.64992481378664,40559,176,1,"1"
487.89077731448225,40545,190,1,"1"
492.12685801752588,40532,203,1,"1"
496.69809342769855,40529,206,3,"3"
521.54711291162516,40526,209,1,"1"
527.62897134544255,40519,216,1,"1"
528.78486220785419,40501,234,1,"1"
570.63042658918005,40483,252,1,"1"
576.39761963845024,40465,270,1,"1"
602.34447121856397,40439,296,2,"1-1"
634.22154813159898,40436,299,1,"1"
682.45715020242335,40418,317,1,"1"
693.67618670102354,40400,335,1,"1"
709.4379337226195,40390,345,1,"1"
713.23488958776454,40379,356,3,"1-1-1"
720.51435865346809,40365,370,1,"1"
781.13356139362509,40347,388,1,"1"
793.89248127885764,40311,424,2,"2"
809.06274995118372,40285,450,2,"1-1"
818.3198910361449,40278,457,1,"1"
823.48366674782358,40272,463,2,"2"
825.75126533490118,40254,481,1,"1"
826.31576734332214,40251,484,1,"1"
834.84091287930823,40233,502,1,"1"
837.25815271489807,40207,528,2,"2"
841.54573721343115,40202,533,1,"1"
841.94082252877536,40195,540,1,"1"
844.60424167347912,40177,558,1,"1"
867.53445924999289,40159,576,1,"1"
871.53865165383468,40141,594,1,"1"
889.53470524063357,40138,597,1,"1"
894.54735329386847,40120,615,1,"1"
895.71807571273393,40102,633,1,"1"
896.00560152523053,40097,638,1,"1"
902.08673891677142,40079,656,1,"1"
905.60320860869035,40061,674,1,"1"
908.18782105774653,40050,685,1,"1"
921.26044330254331,40032,703,1,"1"
948.77233336192421,40017,718,3,"2-1"
957.63430886960509,40008,727,1,"1"
959.2922764758431,39998,737,2,"1-1"
970.45508782864465,39928,807,5,"3-1-1"
1002.1811428628221,39910,825,1,"1"
1007.9937147430228,39892,843,1,"1"
1024.6784830953113,39872,863,2,"1-1"
1030.0937465178786,39854,881,1,"1"
1042.5973148708829,39836,899,1,"1"
1049.0784144334682,39808,927,2,"1-1"
1049.4010152855487,39747,988,9,"5-3-1"
1059.2153043478311,39729,1006,1,"1"
1064.1284266705065,39704,1031,3,"3"
1068.9259798886551,39686,1049,1,"1"
1077.6821536769137,39662,1073,4,"1-1-1-1"
1078.8153463903363,39657,1078,1,"1"
1079.2051331551513,39652,1083,1,"1"
1089.012888251902,39620,1115,4,"2-1-1"
1097.0270289063724,39610,1125,2,"1-1"
1111.2865722088745,39592,1143,1,"1"
1122.5356005175727,39582,1153,1,"1"
1128.3134103636783,39564,1171,1,"1"
1132.8638805356952,39542,1193,2,"2"
1138.870807502067,39537,1198,1,"1"
1140.0599624082299,39527,1208,1,"1"
1143.0191644148347,39509,1226,1,"1"
1163.3910301459102,39489,1246,2,"2"
1169.5684050557702,39477,1258,1,"1"
1174.6890456366721,39459,1276,1,"1"
1178.6385790586266,39441,1294,1,"1"
1188.0162299545877,39409,1326,4,"2-1-1"
1189.2011795302876,39404,1331,1,"1"
1195.7946303313211,39378,1357,2,"2"
1197.2120048127133,39360,1375,1,"1"
1199.8481594893178,39342,1393,1,"1"
1207.8357619005033,39332,1403,1,"1"
1212.96823716379,39314,1421,1,"1"
