f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
0,39391,0,0,"0"
91.958600584114137,39373,18,1,"1"
157.55534049897182,39372,19,1,"1"
162.4528099130637,39370,21,2,"1-1"
167.56959953228383,39369,22,1,"1"
169.76918240366368,39368,23,1,"1"
174.97809786998812,39365,26,1,"1"
219.13558971669175,39364,27,1,"1"
242.20663822143123,39354,37,1,"1"
253.75593396589827,39352,39,2,"1-1"
256.58757660302905,39345,46,3,"2-1"
258.82546974138512,39342,49,1,"1"
281.45655779533536,39341,50,1,"1"
286.12611781370498,39340,51,1,"1"
287.00476386298595,39330,61,1,"1"
301.67299583535487,39329,62,1,"1"
302.34241285969495,39327,64,2,"1-1"
312.23010144253726,39326,65,1,"1"
315.00710614995626,39325,66,1,"1"
329.30496894099633,39319,72,2,"2"
331.59104756173554,39305,86,1,"1"
336.40739265237744,39303,88,2,"2"
337.90335368375878,39301,90,2,"2"
341.87971911442361,39299,92,2,"2"
348.25724438158397,39296,95,3,"3"
350.38341916020119,39295,96,1,"1"
365.10518639284521,39293,98,2,"1-1"
369.28543015835345,39291,100,2,"1-1"
417.5910862007932,39290,101,1,"1"
431.63404414883513,39276,115,1,"1"
453.37405167963914,39266,125,1,"1"
473.8041297829119,39265,126,1,"1"
477.51739024476353,39263,128,2,"2"
480.62295137540366,39245,146,1,"1"
495.72836634967501,39227,164,1,"1"
495.9275712057343,39207,184,2,"2"
525.11829990974547,39206,185,1,"1"
529.44011793016546,39192,199,2,"2"
562.41548628999772,39180,211,1,"1"
594.02685798441894,39175,216,1,"1"
598.79119275937444,39157,234,1,"1"
603.26010732028544,39152,239,1,"1"
640.84679194983596,39142,249,1,"1"
644.71642465075524,39124,267,1,"1"
669.15047350066288,39112,279,2,"2"
692.55627992452821,39102,289,1,"1"
696.90122912420156,39085,306,1,"1"
704.21998593148521,39067,324,1,"1"
721.75256780694974,39049,342,1,"1"
734.76920538211641,39031,360,1,"1"
