f,num_active_particles,num_deleted_particles,total_deleted_rods,avalanche_sizes
0,623114,0,0,"0"
132.4764337909713,623113,1,1,"1"
206.70070329666004,623112,2,1,"1"
419.00626307766407,623111,3,1,"1"
446.87495974296496,623108,6,1,"1"
462.8057379060732,623090,24,1,"1"
486.60657107859095,623077,37,1,"1"
519.56152866375248,623065,49,1,"1"
531.73780932305374,623064,50,1,"1"
649.10524288140095,623046,68,1,"1"
651.4603144786696,623045,69,1,"1"
747.07076286124777,623027,87,1,"1"
753.50007275355085,623013,101,1,"1"
817.29235475066662,623012,102,1,"1"
872.54124181710938,623011,103,1,"1"
963.28107714277496,623010,104,1,"1"
1029.579136833152,623009,105,1,"1"
1104.6014034733601,623008,106,1,"1"
1112.4033673424453,623007,107,1,"1"
1121.5789295569148,623006,108,1,"1"
1165.6625369288543,623005,109,1,"1"
1203.935544315799,622987,127,1,"1"
1242.4636722498601,622986,128,1,"1"
1260.2869283424279,622985,129,1,"1"
1295.8073031325084,622984,130,1,"1"
1314.1117463899568,622983,131,1,"1"
1332.7578482763145,622982,132,1,"1"
1391.8132797408155,622981,133,1,"1"
1415.0877608118717,622980,134,1,"1"
1458.2781980694765,622979,135,1,"1"
1476.2894742400781,622978,136,1,"1"
1541.8726716171532,622973,141,1,"1"
1551.922941335989,622963,151,1,"1"
1559.6482262618324,622962,152,1,"1"
1563.3419492218613,622961,153,1,"1"
1567.8553845909764,622957,157,2,"1-1"
1615.3542124310341,622956,158,1,"1"
1643.3281028540644,622955,159,1,"1"
1657.3605292261391,622954,160,1,"1"
1716.0417346915949,622936,178,1,"1"
1723.3714198416317,622935,179,1,"1"
1767.1354500465461,622926,188,1,"1"
1783.4293742601362,622925,189,1,"1"
1805.9803867788512,622924,190,1,"1"
1844.1250856261954,622923,191,1,"1"
1847.8658134562838,622913,201,1,"1"
1849.0877945718746,622912,202,1,"1"
1880.3768619187538,622894,220,1,"1"
1885.9827271060512,622893,221,1,"1"
1913.1413544739996,622892,222,1,"1"
1931.7373775587839,622891,223,1,"1"
1933.2751819535742,622873,241,1,"1"
1957.7323009663846,622864,250,1,"1"
1994.8355541099581,622863,251,1,"1"
1995.5278068711773,622860,254,1,"1"
2013.0867570819976,622859,255,1,"1"
2013.221726216223,622858,256,1,"1"
2025.0542704389654,622849,265,1,"1"
2033.5040155956656,622848,266,1,"1"
2062.4946263127354,622847,267,1,"1"
2063.0863004486409,622846,268,1,"1"
2079.7358989735008,622845,269,1,"1"
2090.9833710370253,622843,271,2,"1-1"
2111.6621870830995,622842,272,1,"1"
2111.8947461102189,622836,278,2,"2"
2140.8709122658588,622834,280,2,"2"
2151.7600647634135,622833,281,1,"1"
2158.6389342840221,622832,282,1,"1"
2163.2775551903928,622831,283,1,"1"
2167.6291076027987,622826,288,1,"1"
2173.3271201547414,622825,289,1,"1"
2191.0840366731113,622824,290,1,"1"
2194.7070185016887,622806,308,1,"1"
2213.6997643740447,622805,309,1,"1"
2227.2199842705159,622804,310,1,"1"
2227.2880698769191,622803,311,1,"1"
2257.3358492132056,622802,312,1,"1"
2260.8158079174941,622801,313,1,"1"
2263.9103754530174,622783,331,1,"1"
2265.3487952766714,622782,332,1,"1"
2269.3829113539882,622772,342,2,"2"
2274.4244675597383,622754,360,1,"1"
