# Figure 8(b): survival function of the preterminal cascade size
# Columns: s   P(S > s)
# Set order: m = 1, m = 2, m = 3, m = 5, m = 10
# The terminal cascade of each realization is excluded. Points with
# P(S > s) <= 3e-07 are dropped: there the tail is a single event.
# Use logarithmic axes on both.

@type xy
# m = 1; 3071545 cascatas preterminais
81 5.30990838e-06
82 3.53993892e-06
83 3.53993892e-06
84 3.53993892e-06
85 3.53993892e-06
86 3.53993892e-06
87 3.53993892e-06
88 2.65495419e-06
89 2.65495419e-06
90 2.65495419e-06
91 2.65495419e-06
92 1.76996946e-06
93 1.76996946e-06
94 1.76996946e-06
95 8.84984730e-07
96 8.84984730e-07
97 8.84984730e-07
98 8.84984730e-07
99 8.84984730e-07
100 8.84984730e-07
101 8.84984730e-07
102 8.84984730e-07
103 8.84984730e-07
104 8.84984730e-07
105 8.84984730e-07
106 8.84984730e-07
107 8.84984730e-07
108 8.84984730e-07
&
@type xy
# m = 5; 925371 cascatas preterminais
1 3.83428917e-01
2 2.07340623e-01
3 1.33485921e-01
4 9.35873288e-02
5 6.96358542e-02
6 5.35817526e-02
7 4.24024526e-02
8 3.43948535e-02
9 2.84221139e-02
10 2.37699258e-02
11 2.00157558e-02
12 1.70212812e-02
13 1.45984692e-02
14 1.25830613e-02
15 1.08950896e-02
16 9.45566697e-03
17 8.24858354e-03
18 7.21548438e-03
19 6.34556302e-03
20 5.58586772e-03
21 4.93964043e-03
22 4.30962284e-03
23 3.83413788e-03
24 3.36189485e-03
25 2.94692615e-03
26 2.57518336e-03
27 2.30610209e-03
28 2.00568205e-03
29 1.76253632e-03
30 1.57126169e-03
31 1.38755159e-03
32 1.20924472e-03
33 1.07416377e-03
34 9.61776412e-04
35 8.49389056e-04
36 7.60775948e-04
37 6.89453203e-04
38 6.12727220e-04
39 5.41404475e-04
40 4.81968854e-04
41 4.37662300e-04
42 3.83629917e-04
43 3.35000773e-04
44 3.05823286e-04
45 2.69081266e-04
46 2.46387665e-04
47 2.11806940e-04
48 1.90193987e-04
49 1.71822977e-04
50 1.57774557e-04
51 1.38322900e-04
52 1.31839014e-04
53 1.16709947e-04
54 1.08064765e-04
55 9.29356982e-05
56 8.64518123e-05
57 7.88872787e-05
58 6.70001545e-05
59 5.83549733e-05
60 4.86291444e-05
61 4.32259062e-05
62 3.89033155e-05
63 3.35000773e-05
64 3.02581343e-05
65 2.70161913e-05
66 2.37742484e-05
67 1.94516578e-05
68 1.83710101e-05
69 1.62097148e-05
70 1.29677718e-05
71 1.18871242e-05
72 1.08064765e-05
73 8.64518123e-06
74 6.48388592e-06
75 5.40323827e-06
76 5.40323827e-06
77 5.40323827e-06
78 3.24194296e-06
79 3.24194296e-06
80 3.24194296e-06
81 3.24194296e-06
82 1.08064765e-06
83 1.08064765e-06
84 1.08064765e-06
85 1.08064765e-06
86 1.08064765e-06
87 1.08064765e-06
88 1.08064765e-06
89 1.08064765e-06
90 1.08064765e-06
91 1.08064765e-06
92 1.08064765e-06
93 1.08064765e-06
94 1.08064765e-06
&
@type xy
# m = 10; 799181 cascatas preterminais
1 4.14873477e-01
2 2.39821768e-01
3 1.63765155e-01
4 1.21075201e-01
5 9.40325158e-02
6 7.53308700e-02
7 6.15142252e-02
8 5.10697827e-02
9 4.27787948e-02
10 3.60256312e-02
11 3.07502305e-02
12 2.62443677e-02
13 2.25055400e-02
14 1.94298914e-02
15 1.67496475e-02
16 1.45649108e-02
17 1.26479483e-02
18 1.09824933e-02
19 9.58356117e-03
20 8.28723406e-03
21 7.14731707e-03
22 6.19258966e-03
23 5.34547243e-03
24 4.64725763e-03
25 4.01160688e-03
26 3.48106374e-03
27 3.01308465e-03
28 2.63644906e-03
29 2.30110576e-03
30 1.99829576e-03
31 1.73928059e-03
32 1.52531154e-03
33 1.31509633e-03
34 1.14992724e-03
35 1.02605042e-03
36 8.90912071e-04
37 7.80799343e-04
38 6.76943020e-04
39 5.99363598e-04
40 5.21784177e-04
41 4.75486780e-04
42 4.32943226e-04
43 3.94153515e-04
44 3.56615085e-04
45 3.17825374e-04
46 2.91548473e-04
47 2.57763886e-04
48 2.36492109e-04
49 2.20225456e-04
50 2.05210084e-04
51 1.82687026e-04
52 1.60163968e-04
53 1.45148596e-04
54 1.18871695e-04
55 1.05107604e-04
56 9.75999179e-05
57 8.50871079e-05
58 8.25845459e-05
59 6.88204549e-05
60 6.13127689e-05
61 5.50563640e-05
62 4.62973970e-05
63 4.50461160e-05
64 4.25435540e-05
65 4.12922730e-05
66 3.50358680e-05
67 3.37845870e-05
68 3.00307440e-05
69 2.75281820e-05
70 2.75281820e-05
71 2.50256200e-05
72 2.50256200e-05
73 2.50256200e-05
74 2.37743390e-05
75 2.25230580e-05
76 2.00204960e-05
77 1.87692150e-05
78 1.75179340e-05
79 1.50153720e-05
80 1.50153720e-05
81 1.37640910e-05
82 1.25128100e-05
83 1.25128100e-05
84 1.12615290e-05
85 8.75896699e-06
86 7.50768599e-06
87 7.50768599e-06
88 7.50768599e-06
89 6.25640499e-06
90 5.00512400e-06
91 5.00512400e-06
92 3.75384300e-06
93 2.50256200e-06
&
