-90.0	[1.7368440620532386, 0.25677131883861715]
-72.0	[1.7230412556960513, 0.1933721732338976]
-54.0	[1.705037474087005, 0.2188892894940325]
-36.0	[1.6976350019997404, 0.15427396358913184]
-18.0	[1.631988021402921, 0.13405186064622793]
0.0	[1.6304880924447551, 0.13526017877562646]
18.0	[1.6598588684291027, 0.14574194603655216]
36.0	[1.656569098761324, 0.15906518744135995]
54.0	[1.7182390693572134, 0.1608671024021307]
72.0	[1.7311125957665237, 0.18587861963345995]
90.0	[1.7528347852333204, 0.21400528141485844]
