-90.0	[1.8104822397875828, 0.19613750771144609]
-72.0	[1.7837195081169153, 0.19147721116801542]
-54.0	[1.7536395039790773, 0.14114595386568832]
-36.0	[1.6983733502776004, 0.16540384247805512]
-18.0	[1.668308714237056, 0.15375765535279054]
0.0	[1.650024201850913, 0.13238176864252002]
18.0	[1.6804337026724352, 0.17281139578640248]
36.0	[1.7026344895792236, 0.18118267227039286]
54.0	[1.7425852263702553, 0.18093584438455784]
72.0	[1.7989199642055436, 0.22769942904737794]
90.0	[1.764745776336319, 0.22644843643325252]
