ts,event_fraction,cumulative_size_fraction
2,0.0,0.0
2,0.001,0.00012924066281052676
2,0.002,0.0002584813256210535
2,0.003,0.0003877219884315803
2,0.004,0.000516962651242107
2,0.005,0.0006462033140526339
2,0.006,0.0007754439768631606
2,0.007,0.0009046846396736874
2,0.008,0.001033925302484214
2,0.009000000000000001,0.001163165965294741
2,0.01,0.0012924066281052677
2,0.011,0.0014216472909157943
2,0.012,0.0015508879537263212
2,0.013000000000000001,0.001680128616536848
2,0.014,0.0018093692793473748
2,0.015,0.0019386099421579014
2,0.016,0.002067850604968428
2,0.017,0.0021970912677789552
2,0.018000000000000002,0.002326331930589482
2,0.019,0.0024555725934000084
2,0.02,0.0025848132562105355
2,0.021,0.002714053919021062
2,0.022,0.0028432945818315887
2,0.023,0.0029725352446421157
2,0.024,0.0031017759074526423
2,0.025,0.0032310165702631693
2,0.026000000000000002,0.003360257233073696
2,0.027,0.0034894978958842225
2,0.028,0.0036187385586947496
2,0.029,0.003747979221505276
2,0.03,0.0038772198843158028
2,0.031,0.004006460547126329
2,0.032,0.004135701209936856
2,0.033,0.0042649418727473834
2,0.034,0.0043941825355579105
2,0.035,0.0045234231983684375
2,0.036000000000000004,0.004652663861178964
2,0.037,0.00478190452398949
2,0.038,0.004911145186800017
2,0.039,0.005040385849610544
2,0.04,0.005169626512421071
2,0.041,0.005298867175231597
2,0.042,0.005428107838042124
2,0.043000000000000003,0.005557348500852651
2,0.044,0.005686589163663177
2,0.045,0.005815829826473704
2,0.046,0.005945070489284231
2,0.047,0.006074311152094758
2,0.048,0.006203551814905285
2,0.049,0.006332792477715812
2,0.05,0.006462033140526339
2,0.051000000000000004,0.006591273803336866
2,0.052000000000000005,0.006720514466147392
2,0.053,0.006849755128957918
2,0.054,0.006978995791768445
2,0.055,0.007108236454578972
2,0.056,0.007237477117389499
2,0.057,0.007366717780200026
2,0.058,0.007495958443010552
2,0.059000000000000004,0.007625199105821079
2,0.06,0.0077544397686316055
2,0.061,0.007883680431442133
2,0.062,0.008012921094252659
2,0.063,0.008142161757063187
2,0.064,0.008271402419873713
2,0.065,0.00840064308268424
2,0.066,0.008529883745494767
2,0.067,0.008659124408305293
2,0.068,0.008788365071115821
2,0.069,0.008917605733926347
2,0.07,0.009046846396736875
2,0.07100000000000001,0.009176087059547401
2,0.07200000000000001,0.009305327722357927
2,0.073,0.009434568385168454
2,0.074,0.00956380904797898
2,0.075,0.009693049710789508
2,0.076,0.009822290373600034
2,0.077,0.00995153103641056
2,0.078,0.010080771699221088
2,0.079,0.010210012362031614
2,0.08,0.010339253024842142
2,0.081,0.010468493687652668
2,0.082,0.010597734350463194
2,0.083,0.010726975013273722
2,0.084,0.010856215676084248
2,0.085,0.010985456338894776
2,0.08600000000000001,0.011114697001705302
2,0.08700000000000001,0.01124393766451583
2,0.088,0.011373178327326355
2,0.089,0.01150241899013688
2,0.09,0.011631659652947409
2,0.091,0.011760900315757935
2,0.092,0.011890140978568463
2,0.093,0.012019381641378989
2,0.094,0.012148622304189515
2,0.095,0.012277862967000043
2,0.096,0.01240710362981057
2,0.097,0.012536344292621097
2,0.098,0.012665584955431623
2,0.099,0.01279482561824215
2,0.1,0.012924066281052677
2,0.101,0.013053306943863204
2,0.10200000000000001,0.013182547606673731
2,0.10300000000000001,0.013311788269484258
2,0.10400000000000001,0.013441028932294784
2,0.105,0.01357026959510531
2,0.106,0.013699510257915836
2,0.107,0.013828750920726364
2,0.108,0.01395799158353689
2,0.109,0.014087232246347416
2,0.11,0.014216472909157944
2,0.111,0.01434571357196847
2,0.112,0.014474954234778998
2,0.113,0.014604194897589524
2,0.114,0.014733435560400052
2,0.115,0.014862676223210579
2,0.116,0.014991916886021105
2,0.117,0.015121157548831633
2,0.11800000000000001,0.015250398211642159
2,0.11900000000000001,0.015379638874452687
2,0.12,0.015508879537263211
2,0.121,0.015638120200073737
2,0.122,0.015767360862884265
2,0.123,0.015896601525694793
2,0.124,0.016025842188505317
2,0.125,0.016155082851315845
2,0.126,0.016284323514126373
2,0.127,0.016413564176936898
2,0.128,0.016542804839747426
2,0.129,0.016672045502557954
2,0.13,0.01680128616536848
2,0.131,0.016930526828179006
2,0.132,0.017059767490989534
2,0.133,0.01718900815380006
2,0.134,0.017318248816610586
2,0.135,0.017447489479421114
2,0.136,0.017576730142231642
2,0.137,0.017705970805042166
2,0.138,0.017835211467852694
2,0.139,0.017964452130663222
2,0.14,0.01809369279347375
2,0.14100000000000001,0.018222933456284274
2,0.14200000000000002,0.018352174119094802
2,0.14300000000000002,0.01848141478190533
2,0.14400000000000002,0.018610655444715855
2,0.145,0.01873989610752638
2,0.146,0.018869136770336907
2,0.147,0.01899837743314743
2,0.148,0.01912761809595796
2,0.149,0.019256858758768487
2,0.15,0.019386099421579015
2,0.151,0.01951534008438954
2,0.152,0.019644580747200067
2,0.153,0.019773821410010595
2,0.154,0.01990306207282112
2,0.155,0.020032302735631648
2,0.156,0.020161543398442176
2,0.157,0.020290784061252704
2,0.158,0.020420024724063228
2,0.159,0.020549265386873756
2,0.16,0.020678506049684284
2,0.161,0.020807746712494808
2,0.162,0.020936987375305336
2,0.163,0.021066228038115864
2,0.164,0.02119546870092639
2,0.165,0.021324709363736916
2,0.166,0.021453950026547444
2,0.167,0.021583190689357972
2,0.168,0.021712431352168497
2,0.169,0.021841672014979024
2,0.17,0.021970912677789552
2,0.171,0.022100153340600077
2,0.17200000000000001,0.022229394003410605
2,0.17300000000000001,0.022358634666221133
2,0.17400000000000002,0.02248787532903166
2,0.17500000000000002,0.022617115991842185
2,0.176,0.02274635665465271
2,0.177,0.022875597317463237
2,0.178,0.02300483798027376
2,0.179,0.02313407864308429
2,0.18,0.023263319305894817
2,0.181,0.023392559968705342
2,0.182,0.02352180063151587
2,0.183,0.023651041294326398
2,0.184,0.023780281957136926
2,0.185,0.02390952261994745
2,0.186,0.024038763282757978
2,0.187,0.024168003945568506
2,0.188,0.02429724460837903
2,0.189,0.024426485271189558
2,0.19,0.024555725934000086
2,0.191,0.02468496659681061
2,0.192,0.02481420725962114
2,0.193,0.024943447922431666
2,0.194,0.025072688585242194
2,0.195,0.02520192924805272
2,0.196,0.025331169910863247
2,0.197,0.025460410573673774
2,0.198,0.0255896512364843
2,0.199,0.025718891899294827
2,0.2,0.025848132562105355
2,0.201,0.025977373224915883
2,0.202,0.026106613887726407
2,0.203,0.026235854550536935
2,0.20400000000000001,0.026365095213347463
2,0.20500000000000002,0.026494335876157987
2,0.20600000000000002,0.026623576538968515
2,0.20700000000000002,0.026752817201779043
2,0.20800000000000002,0.026882057864589567
2,0.209,0.027011298527400092
2,0.21,0.02714053919021062
2,0.211,0.027269779853021148
2,0.212,0.027399020515831672
2,0.213,0.0275282611786422
2,0.214,0.027657501841452728
2,0.215,0.027786742504263252
2,0.216,0.02791598316707378
2,0.217,0.028045223829884308
2,0.218,0.028174464492694833
2,0.219,0.02830370515550536
2,0.22,0.02843294581831589
2,0.221,0.028562186481126416
2,0.222,0.02869142714393694
2,0.223,0.02882066780674747
2,0.224,0.028949908469557997
2,0.225,0.02907914913236852
2,0.226,0.02920838979517905
2,0.227,0.029337630457989577
2,0.228,0.029466871120800105
2,0.229,0.02959611178361063
2,0.23,0.029725352446421157
2,0.231,0.029854593109231685
2,0.232,0.02998383377204221
2,0.233,0.030113074434852737
2,0.234,0.030242315097663265
2,0.23500000000000001,0.03037155576047379
2,0.23600000000000002,0.030500796423284317
2,0.23700000000000002,0.030630037086094845
2,0.23800000000000002,0.030759277748905373
2,0.23900000000000002,0.030888518411715898
2,0.24,0.031017759074526422
2,0.241,0.03114699973733695
2,0.242,0.031276240400147474
2,0.243,0.031405481062958006
2,0.244,0.03153472172576853
2,0.245,0.031663962388579055
2,0.246,0.031793203051389586
2,0.247,0.03192244371420011
2,0.248,0.032051684377010635
2,0.249,0.032180925039821166
2,0.25,0.03231016570263169
2,0.251,0.032439406365442215
2,0.252,0.03256864702825275
2,0.253,0.03269788769106327
2,0.254,0.032827128353873795
2,0.255,0.03295636901668433
2,0.256,0.03308560967949485
2,0.257,0.033214850342305376
2,0.258,0.03334409100511591
2,0.259,0.03347333166792643
2,0.26,0.03360257233073696
2,0.261,0.03373181299354749
2,0.262,0.03386105365635801
2,0.263,0.03399029431916854
2,0.264,0.03411953498197907
2,0.265,0.03424877564478959
2,0.266,0.03437801630760012
2,0.267,0.03450725697041065
2,0.268,0.03463649763322117
2,0.269,0.034765738296031704
2,0.27,0.03489497895884223
2,0.271,0.03502421962165275
2,0.272,0.035153460284463284
2,0.273,0.03528270094727381
2,0.274,0.03541194161008433
2,0.275,0.035541182272894864
2,0.276,0.03567042293570539
2,0.277,0.03579966359851592
2,0.278,0.035928904261326444
2,0.279,0.03605814492413697
2,0.28,0.0361873855869475
2,0.281,0.036316626249758024
2,0.28200000000000003,0.03644586691256855
2,0.28300000000000003,0.03657510757537908
2,0.28400000000000003,0.036704348238189605
