alpha,delta_bic_single_minus_mixture,exceedances,lambda,log_likelihood,model,monte_carlo_standard_error,mu_large,n_events,observed_ks,p_value,replicates,seed,sigma_large,single_lognormal_ks,single_lognormal_log_likelihood,ts,weight_small,xmin,zero_exceedance_p_upper_95
1.8125375824223742,52934.280913922936,0,0.003970800796337926,-4493386.193856094,cutoff_lognormal_mixture,0.0,5.506044907345515,1608970,0.0340989399178695,0.0,100,212738,0.2389134492522811,0.029359298735820827,-4519874.770970226,2,0.9770201847771169,2,0.029513049607039932
2.170779035463412,125580.86591958068,0,0.0007152905200063545,-5411085.331419206,cutoff_lognormal_mixture,0.0,6.039611925110141,2339395,0.03861484715245467,0.0,100,812738,0.23082639359812235,0.05349230301903107,-5473897.7624833565,8,0.9810099999190692,2,0.029513049607039932
2.4185837917916464,264104.87554996833,0,0.0,-5312976.376122924,cutoff_lognormal_mixture,0.0,6.446729962162752,2628781,0.042611988023523784,0.0,100,1612738,0.20010245563060508,0.07044872854535122,-5445050.9869441055,16,0.9815978421233933,2,0.029513049607039932
2.722712354788245,444961.54834417626,0,0.0,-5061176.944898892,cutoff_lognormal_mixture,0.0,6.782259796898661,2942402,0.0401794114879066,0.0,100,3212738,0.17913785770879892,0.07904962186666509,-5283680.0611761995,32,0.983162305524938,2,0.029513049607039932
2.9635575291964806,607592.3136034645,0,0.0,-4955741.394287006,cutoff_lognormal_mixture,0.0,7.021077850495009,3248735,0.03747307739399641,0.0,100,6412738,0.14565059237732364,0.08300477184618438,-5259560.04175311,64,0.9846698429793886,2,0.029513049607039932
3.1023697425592713,696713.6097266153,0,0.0,-4802421.548186164,cutoff_lognormal_mixture,0.0,7.10596958530548,3356491,0.03251244997990166,0.0,100,12812738,0.13180592854837064,0.08212636042605703,-5150800.892659433,128,0.9851370948673916,2,0.029513049607039932
3.147959338934014,732363.6077716388,0,0.0,-4482515.892223554,cutoff_lognormal_mixture,0.0,7.186077132972419,3173322,0.03247161318213254,0.0,100,51212738,0.13185657432565345,0.08735268121000783,-4848720.151543693,512,0.9842715404001006,2,0.029513049607039932
3.1446214915773325,747463.6629038658,0,0.0,-4507490.064109817,cutoff_lognormal_mixture,0.0,7.194026471153325,3193815,0.032034671645740476,0.0,100,102412738,0.11315255097904817,0.08654496843916182,-4881244.360651778,1024,0.984374456442236,2,0.029513049607039932
3.131662904873234,731095.2758787684,0,0.0,-4525039.7950755125,cutoff_lognormal_mixture,0.0,7.206305901182297,3183658,0.032835914379796716,0.0,100,409612738,0.12684220408761893,0.08710211688454095,-4890609.893327009,4096,0.9843444569753297,2,0.029513049607039932
3.1840733838042965,745347.2753882352,0,0.0,-4341036.604219323,cutoff_lognormal_mixture,0.0,7.206086172282884,3109762,0.03107848011649672,0.0,100,819212738,0.14216469072368482,0.08856903803585281,-4713732.666998572,8192,0.9839456919369917,2,0.029513049607039932
