# Figure 7(a): mean rupture force versus surface diffusion parameter
# Columns: T_s  <F_rup>  SD(F_rup)
# One set per Weibull modulus, in the order m = 1, 2, 3, 5, 10
# Each point averages 10^4 realizations (200 fibrils x 50 draws).
# Use a base-2 logarithmic x axis and a linear y axis.
@type xydy
# m = 1
2 68.2551 19.6546
8 176.1987 40.0789
16 302.2381 58.9957
32 483.3463 82.5253
64 654.5771 101.0944
128 767.1216 104.6558
512 848.7823 107.4835
1024 862.8682 116.4685
4096 893.7541 117.6261
8192 902.5580 128.1441
&
@type xydy
# m = 2
2 150.6195 35.8980
8 331.2233 69.7137
16 529.6554 100.8477
32 822.4176 136.4582
64 1103.2703 166.8834
128 1298.6491 170.8070
512 1435.8668 174.7512
1024 1462.0260 193.9907
4096 1516.3174 193.7328
8192 1532.4409 217.5355
&
@type xydy
# m = 3
2 194.0055 44.4653
8 409.7690 85.3444
16 647.6099 123.8895
32 1001.8084 165.3041
64 1343.4680 203.0612
128 1586.3870 205.7910
512 1752.6715 210.3883
1024 1785.8841 236.1998
4096 1856.4486 235.9254
8192 1875.1941 268.7738
&
@type xydy
# m = 5
2 233.8736 52.7212
8 483.1166 100.3856
16 759.8815 146.9736
32 1175.0498 195.6962
64 1575.5070 237.9768
128 1866.5160 241.0875
512 2061.6445 244.9748
1024 2105.3150 279.9126
4096 2193.5633 278.3726
8192 2212.0199 319.8630
&
@type xydy
# m = 10
2 263.9312 58.3510
8 541.8756 112.4321
16 851.3558 165.1136
32 1319.1708 221.9208
64 1766.4679 267.7115
128 2097.8211 271.7374
512 2316.5729 276.8724
1024 2370.6399 311.9309
4096 2476.2593 313.9604
8192 2495.4870 362.2077
&
