janela,n_real,particulas,moleculas,eventos,frac_1,p90,p99,max_nt,terminal,terminal_frac
17x17,5,40735,2453,692,0.7312138728323699,3,14,40,2152.2,0.8770472566588928
141x141,1,992581,59794,3266,0.7624004898958971,3,12,89,52568.0,0.8791512229228649
