ts,rule,level,r_lo,r_hi,n_points,n_fibrils,n_sections,df,df_err,decades
4096,abs_2_16,fibril,2.00,16.00,,50,550,1.6993,0.0053,0.90
4096,rel,ensemble,2.11,7.03,5,50,550,1.9728,0.0034,0.52
4096,rel,fibril,2.11,7.03,,50,550,1.9752,0.0064,0.52
8192,manuscript,ensemble,5.00,19.00,15,50,550,1.1524,0.1212,0.58
8192,manuscript,fibril,5.00,19.00,,50,550,1.1518,0.0061,0.58
8192,abs_4_8,ensemble,4.00,8.00,5,50,550,1.9659,0.0028,0.30
8192,abs_4_8,fibril,4.00,8.00,,50,550,1.9660,0.0043,0.30
8192,abs_2_16,ensemble,2.00,16.00,15,50,550,1.6951,0.0770,0.90
8192,abs_2_16,fibril,2.00,16.00,,50,550,1.6952,0.0045,0.90
8192,rel,ensemble,2.12,7.08,5,50,550,1.9712,0.0006,0.52
8192,rel,fibril,2.12,7.08,,50,550,1.9719,0.0064,0.52
