ts,seed,initial_backbone_size,preterminal_maximum_size,preterminal_q999_size,tail_events,tail_realizations
32,10165,25534,250,36,13276,1000
32,10180,27778,242,30,13937,1000
32,10195,25405,237,49,9125,999
32,10210,28097,280,23,8687,999
32,10225,28165,390,37,15979,1000
32,10240,25339,598,44,16608,1000
32,10255,26717,242,22,13786,1000
32,10270,23057,344,56,14549,1000
32,10285,28357,348,37,15266,1000
32,10300,25422,306,40,14548,1000
32,10315,27147,252,24,9665,1000
32,10330,26725,216,41,17510,1000
32,10345,28965,250,20,15038,1000
32,10360,28071,456,31,13534,1000
32,10375,28822,574,30,14150,1000
32,10390,27550,276,42,11847,1000
32,10405,27949,303,22,17378,1000
32,10420,25118,427,62,18703,1000
32,10435,25827,289,33,13914,1000
32,10450,21563,253,42,7093,1000
32,10465,23136,244,69,7722,1000
32,10480,26837,270,33,12599,1000
32,10495,25013,165,23,14440,1000
32,10510,27455,247,24,11367,1000
32,10525,27093,260,45,16790,1000
32,10540,27710,281,29,13613,1000
32,10555,27254,220,26,8182,1000
32,10570,25643,365,38,18819,1000
32,10585,28508,259,37,15354,1000
32,10600,28804,295,20,11879,1000
32,10615,25212,242,34,10640,1000
32,10630,23906,415,38,15351,1000
32,10645,25298,229,28,14218,1000
32,10660,28072,265,26,18007,1000
32,10675,27103,391,37,11999,1000
32,10690,26534,340,37,10253,1000
32,10705,27639,288,27,10321,1000
32,10720,26522,530,40,19155,1000
32,10735,26035,302,35,9223,1000
64,2380,31317,220,31,6136,996
64,2395,30809,219,25,6226,989
64,2410,36122,321,19,6986,991
64,2425,33664,210,11,3016,937
64,2440,35427,261,20,5135,970
64,2455,35249,381,23,7525,993
64,2470,34422,240,19,4785,982
64,2485,35258,322,23,5002,993
64,2500,32404,471,44,4475,1000
64,2515,31001,163,23,4518,992
64,2530,34713,237,17,5524,992
64,2545,31941,267,21,8089,999
64,2560,33409,250,18,6452,1000
64,2575,34249,413,21,7564,993
64,2590,34598,174,19,5097,990
64,2605,33673,231,18,3941,945
64,2620,30044,473,31,11017,1000
64,2635,31904,219,23,3664,998
64,2650,32840,307,33,7683,1000
64,2665,33630,226,21,7556,999
64,2680,32104,206,22,4743,979
64,2695,34544,293,15,5995,994
64,2710,32838,228,25,4449,998
64,2725,32413,356,21,8031,993
64,2740,34353,385,20,7277,995
64,2755,32755,235,32,10381,1000
64,2770,31364,179,25,6220,996
64,2785,34277,306,19,7123,993
64,2800,29967,240,19,4860,991
64,2815,33828,271,25,6100,993
64,2830,32018,231,17,6058,995
64,2845,32366,262,31,7221,998
64,2860,33421,239,20,6132,993
64,2875,35737,115,13,3644,952
64,2890,32440,208,88,3415,979
64,2905,33591,255,23,4739,996
64,2920,33879,136,13,3379,961
64,2935,36072,318,23,7420,999
64,2950,32153,212,27,5910,998
64,2965,30596,230,28,5813,1000
64,2980,31861,292,25,6231,996
64,2995,34119,503,17,4720,983
64,3010,34827,462,21,7292,992
64,3025,33317,293,25,4377,979
64,3040,31499,531,28,5786,998
64,3055,34798,312,12,4427,956
64,3070,30617,256,32,5099,991
64,3085,31111,187,21,4702,979
64,3100,33944,270,23,5458,976
64,3115,32479,224,22,8657,1000
128,3130,36353,203,15,3961,953
128,3145,35290,238,13,4236,951
128,3160,35919,266,21,8237,997
128,3175,36448,348,23,7632,996
128,3190,35484,250,17,5178,986
128,3205,35718,237,17,3169,929
128,3220,37078,132,18,3590,956
128,3235,37223,269,19,6206,984
128,3250,34117,247,23,4407,986
128,3265,35066,168,19,6614,996
128,3280,35737,303,17,5286,982
128,3295,35633,245,18,5428,987
128,3310,32753,267,17,3027,928
128,3325,36304,266,15,4341,978
128,3340,38368,413,22,8584,993
128,3355,37534,374,15,5777,985
128,3370,36676,269,18,6262,988
128,3385,35223,302,21,6104,993
128,3400,37184,277,20,5821,982
128,3415,36799,287,15,3874,971
128,3430,37058,262,13,3580,920
128,3445,36307,180,15,3532,961
128,3460,37626,296,18,5965,985
128,3475,37347,330,17,5072,975
128,3490,33138,113,22,3675,981
128,3505,35082,210,14,4035,978
128,3520,35447,295,12,2889,930
128,3535,36270,375,21,7348,998
128,3550,35636,484,23,6948,991
128,3565,35617,237,13,3616,936
128,3580,37198,259,19,5038,972
128,3595,32829,304,18,5357,991
128,3610,35674,233,19,4825,980
128,3625,36099,232,14,3954,975
128,3640,35854,240,22,5618,989
128,3655,36126,329,20,7512,994
128,3670,36508,210,15,3765,964
128,3685,31068,220,16,4207,976
128,3700,34383,189,16,4563,989
128,3715,35942,242,17,6320,984
128,3730,37563,453,18,6532,987
128,3745,37323,321,18,6114,988
128,3760,34995,202,14,3947,963
128,3775,36241,264,19,7631,990
128,3790,36710,210,17,4633,963
128,3805,35219,174,14,3939,977
128,3820,36810,306,19,4217,972
128,3835,33195,243,17,6188,983
128,3850,37424,394,22,8039,995
128,3865,34637,227,16,5094,968
512,3880,36793,264,18,5433,983
512,3895,37419,292,16,6022,980
512,3910,35960,142,12,2834,914
512,3925,35501,105,11,2491,902
512,3940,38080,140,14,3236,941
512,3955,36468,252,12,3913,966
512,3970,37930,291,17,6284,996
512,3985,37224,182,13,3362,941
512,4000,33660,104,10,1504,790
512,4015,35812,161,11,2829,921
512,4030,38237,249,17,5096,980
512,4045,38108,319,18,5828,984
512,4060,38910,350,18,8456,998
512,4075,39430,275,17,4382,968
512,4090,37372,203,15,4946,962
512,4105,37422,278,16,5319,984
512,4120,38661,298,18,4963,987
512,4135,37277,194,17,4740,984
512,4150,38957,239,12,3195,936
512,4165,38965,285,17,4335,983
512,4180,38445,332,20,7888,993
512,4195,37671,293,15,5717,979
512,4210,35804,213,18,5619,988
512,4225,36808,161,20,3715,975
512,4240,37658,401,16,4482,962
512,4255,37542,239,14,4763,971
512,4270,36028,213,18,5186,972
512,4285,37690,144,9,2014,852
512,4300,38559,118,12,2422,898
512,4315,36549,256,16,4946,989
512,4330,34066,295,21,7035,992
512,4345,39082,281,18,6630,987
512,4360,38425,242,17,4376,957
512,4375,39219,246,16,6424,988
512,4390,38075,292,17,7834,1000
512,4405,36654,263,18,3292,972
512,4420,38231,331,14,4397,978
512,4435,36246,210,13,2656,918
512,4450,35965,312,18,5775,993
512,4465,38500,228,16,4588,979
512,4480,37276,318,16,5829,983
512,4495,38140,283,18,5662,985
512,4510,38547,264,14,5215,971
512,4525,37347,298,12,3513,947
512,4540,35866,257,15,4099,976
512,4555,38473,191,15,4091,972
512,4570,38475,326,17,7201,985
512,4585,38913,196,16,4573,983
512,4600,37474,238,15,3851,981
512,4615,38351,243,17,5906,997
1024,4630,39439,251,15,5818,992
1024,4645,39582,212,20,5908,988
1024,4660,38384,359,23,5594,977
1024,4675,36334,219,17,3846,974
1024,4690,36870,247,16,3417,945
1024,4705,36926,174,16,3823,948
1024,4720,38983,223,16,6170,988
1024,4735,36373,149,17,5174,982
1024,4750,37315,419,11,3212,962
1024,4765,34763,173,15,3531,980
1024,4780,37585,256,20,5728,983
1024,4795,36715,125,9,2211,856
1024,4810,38822,249,15,5328,988
1024,4825,38607,207,15,4897,985
1024,4840,37794,360,19,5930,991
1024,4855,37268,195,10,2443,861
1024,4870,38469,186,16,5294,992
1024,4885,38305,283,19,6063,985
1024,4900,39480,242,13,4696,961
1024,4915,38124,251,15,5110,978
1024,4930,37834,218,13,2904,903
1024,4945,37296,429,20,6802,991
1024,4960,39804,213,20,6493,992
1024,4975,37488,265,17,6222,995
1024,4990,39804,266,18,6634,988
1024,5005,38928,250,21,5901,985
1024,5020,38787,156,15,5733,990
1024,5035,36184,144,11,1907,828
1024,5050,38216,277,17,6857,985
1024,5065,38118,436,16,6106,983
1024,5080,36774,250,14,3532,958
1024,5095,35921,200,15,3773,950
1024,5110,39254,403,19,8018,995
1024,5125,37531,200,16,5057,975
1024,5140,37394,258,15,4227,972
1024,5155,37043,216,21,5360,985
1024,5170,36849,219,17,4812,985
1024,5185,38308,257,18,4833,986
1024,5200,37313,116,13,2512,894
1024,5215,37322,211,14,4936,965
1024,5230,37509,156,10,3219,953
1024,5245,36942,179,16,3424,982
1024,5260,37960,254,9,2394,856
1024,5275,38696,249,15,6262,1000
1024,5290,38253,226,14,5492,987
1024,5305,38366,236,15,5793,989
1024,5320,37560,269,17,4709,980
1024,5335,37850,161,16,5431,984
1024,5350,36663,148,15,3994,964
1024,5365,38286,218,12,3018,957
4096,5380,34388,184,24,3386,954
4096,5395,39791,259,15,5369,977
4096,5410,39090,119,12,3603,973
4096,5425,37157,153,15,3595,971
4096,5440,39761,254,20,4868,966
4096,5455,37596,137,14,3578,941
4096,5470,36354,114,13,3084,934
4096,5485,37313,199,21,7242,990
4096,5500,37075,303,16,3505,919
4096,5515,37469,228,15,4574,975
4096,5530,39234,214,16,5045,984
4096,5545,39516,286,15,5037,982
4096,5560,36928,197,12,2713,865
4096,5575,39229,220,15,6623,993
4096,5590,38106,268,19,6223,999
4096,5605,36628,182,13,2891,911
4096,5620,37963,174,20,3568,950
4096,5635,39911,246,15,5370,992
4096,5650,34922,326,20,7053,993
4096,5665,39916,322,14,6715,988
4096,5680,38961,307,18,6683,983
4096,5695,39098,241,18,5644,988
4096,5710,36606,334,21,8517,993
4096,5725,35505,78,11,2088,867
4096,5740,36062,153,14,2997,883
4096,5755,38064,185,13,3608,951
4096,5770,39306,259,10,2631,895
4096,5785,38759,180,19,6259,994
4096,5800,38431,191,18,5863,994
4096,5815,38833,252,13,4464,971
4096,5830,39737,218,12,4372,958
4096,5845,39175,328,14,5205,994
4096,5860,35304,186,23,3266,970
4096,5875,37309,291,21,8425,997
4096,5890,37810,220,18,5002,991
4096,5905,39376,226,15,6401,993
4096,5920,38297,235,19,4851,983
4096,5935,36291,192,12,2032,888
4096,5950,37671,152,13,3088,935
4096,5965,38440,268,20,6048,979
4096,5980,39475,370,18,8126,996
4096,5995,36888,136,12,3828,965
4096,6010,39220,220,16,4657,982
4096,6025,35643,153,16,4467,974
4096,6040,40045,228,16,6319,998
4096,6055,38235,278,19,5275,990
4096,6070,39887,406,16,5823,973
4096,6085,40121,243,16,5207,988
4096,6100,38865,254,16,5470,994
4096,6115,36671,155,14,2717,906
8192,6130,32225,159,11,913,632
8192,6145,40624,227,17,3080,875
8192,6160,35467,353,18,3800,943
8192,6175,39394,244,19,3747,972
8192,6190,39330,213,13,2589,873
8192,6205,36855,175,11,1599,729
8192,6220,34261,287,19,3863,934
8192,6235,37709,200,9,1162,660
8192,6250,34474,321,13,2433,846
8192,6265,38162,183,8,780,466
8192,6280,38452,180,12,1546,786
8192,6295,37878,258,17,3127,941
8192,6310,37315,256,8,776,427
8192,6325,39402,206,17,2068,880
8192,6340,38225,158,13,1803,789
8192,6355,39229,489,18,4756,954
8192,6370,37376,322,28,4304,977
8192,6385,38585,177,10,992,609
8192,6400,40535,159,13,2736,922
8192,6415,36852,200,17,2718,916
8192,6430,40081,352,19,3855,944
