# Ts = 512; local preterminal avalanches
# total_events = 39860756
# Columns: s event_count probability
1 36737434 0.92164418557440309
2 2114533 0.053047990359239551
3 477976 0.011991142365689201
4 192636 0.0048327231927061294
5 99310 0.0024914228922301423
6 59267 0.0014868508765864853
7 38859 0.0009748686151361505
8 26579 0.00066679618419680754
9 19525 0.0004898301477272533
10 14589 0.00036599907939528293
11 11342 0.00028454051398322703
12 9233 0.00023163133182923072
13 7252 0.00018193332810847844
14 5912 0.00014831630388545565
15 4963 0.00012450842628273281
16 4215 0.0001057431023134634
17 3552 8.9110201522520045e-05
18 3075 7.7143544392384324e-05
19 2691 6.7510009092652435e-05
20 2292 5.7500163820274757e-05
21 2014 5.0525885660573019e-05
22 1760 4.4153703457104527e-05
23 1529 3.8358529878359554e-05
24 1324 3.3215626918867269e-05
25 1197 3.0029535817133023e-05
26 1155 2.8975867893724847e-05
27 975 2.4460148221975519e-05
28 886 2.2227375717610573e-05
29 805 2.0195301865323376e-05
30 790 1.9818991892677601e-05
31 683 1.7134647421137723e-05
32 625 1.5679582193574051e-05
33 603 1.5127660900360244e-05
34 565 1.4174342302990942e-05
35 521 1.3070499716563329e-05
36 465 1.1665609152019094e-05
37 464 1.1640521820509375e-05
38 427 1.0712290554649791e-05
39 357 8.9561773489694981e-06
40 338 8.4795180502848461e-06
41 346 8.6802167023625938e-06
42 306 7.6767234419738553e-06
43 289 7.250238806308641e-06
44 281 7.0495401542308933e-06
45 266 6.673230181585116e-06
46 240 6.0209595623324351e-06
47 246 6.1714835513907467e-06
48 208 5.2181649540214443e-06
49 231 5.7951735787449694e-06
50 196 4.9171169759048219e-06
51 174 4.3651956826910158e-06
52 170 4.2648463566521419e-06
53 166 4.1644970306132681e-06
54 174 4.3651956826910158e-06
55 170 4.2648463566521419e-06
56 138 3.4620517483411503e-06
57 160 4.0139730415549573e-06
58 140 3.5122264113605872e-06
59 126 3.1610037702245288e-06
60 112 2.8097811290884699e-06
61 119 2.9853924496564991e-06
62 112 2.8097811290884699e-06
63 104 2.6090824770107222e-06
64 98 2.458558487952411e-06
65 103 2.5839951455010037e-06
66 98 2.458558487952411e-06
67 107 2.6843444715398776e-06
68 102 2.5589078139912852e-06
69 86 2.1575105098357894e-06
70 74 1.8564625317191677e-06
71 80 2.0069865207774787e-06
72 72 1.8062878686997305e-06
73 72 1.8062878686997305e-06
74 69 1.7310258741705751e-06
75 69 1.7310258741705751e-06
76 63 1.5805018851122644e-06
77 50 1.2543665754859239e-06
78 68 1.7059385426608567e-06
79 63 1.5805018851122644e-06
80 56 1.4048905645442349e-06
81 45 1.1289299179373316e-06
82 71 1.7812005371900121e-06
83 49 1.2292792439762055e-06
84 46 1.1540172494470501e-06
85 53 1.3296285700150795e-06
86 41 1.0285805918984578e-06
87 48 1.204191912466487e-06
88 38 9.533185973693023e-07
89 47 1.1791045809567686e-06
90 40 1.0034932603887393e-06
91 35 8.7805660284014681e-07
92 39 9.7840592887902065e-07
93 43 1.0787552549178947e-06
94 34 8.5296927133042834e-07
95 41 1.0285805918984578e-06
96 27 6.77357950762399e-07
97 40 1.0034932603887393e-06
98 43 1.0787552549178947e-06
99 36 9.0314393434986527e-07
100 35 8.7805660284014681e-07
101 31 7.7770727680127296e-07
102 22 5.5192129321380659e-07
103 31 7.7770727680127296e-07
104 28 7.0244528227211747e-07
105 30 7.5261994529155439e-07
106 33 8.2788193982070988e-07
107 24 6.0209595623324351e-07
108 25 6.2718328774296197e-07
109 28 7.0244528227211747e-07
110 27 6.77357950762399e-07
111 25 6.2718328774296197e-07
112 25 6.2718328774296197e-07
113 28 7.0244528227211747e-07
114 26 6.5227061925268054e-07
115 17 4.2648463566521417e-07
116 25 6.2718328774296197e-07
117 14 3.5122264113605873e-07
118 24 6.0209595623324351e-07
119 25 6.2718328774296197e-07
120 15 3.7630997264577719e-07
121 22 5.5192129321380659e-07
122 18 4.5157196717493263e-07
123 16 4.0139730415549571e-07
124 18 4.5157196717493263e-07
125 16 4.0139730415549571e-07
126 16 4.0139730415549571e-07
127 19 4.7665929868465115e-07
128 11 2.7596064660690329e-07
129 12 3.0104797811662176e-07
130 21 5.2683396170408813e-07
131 15 3.7630997264577719e-07
132 16 4.0139730415549571e-07
133 14 3.5122264113605873e-07
134 13 3.2613530962634027e-07
135 17 4.2648463566521417e-07
136 17 4.2648463566521417e-07
137 11 2.7596064660690329e-07
138 17 4.2648463566521417e-07
139 10 2.5087331509718483e-07
140 19 4.7665929868465115e-07
141 11 2.7596064660690329e-07
142 14 3.5122264113605873e-07
143 17 4.2648463566521417e-07
144 10 2.5087331509718483e-07
145 12 3.0104797811662176e-07
146 5 1.2543665754859242e-07
147 10 2.5087331509718483e-07
148 6 1.5052398905831088e-07
149 13 3.2613530962634027e-07
150 12 3.0104797811662176e-07
151 8 2.0069865207774785e-07
152 9 2.2578598358746632e-07
153 9 2.2578598358746632e-07
154 12 3.0104797811662176e-07
155 8 2.0069865207774785e-07
156 9 2.2578598358746632e-07
157 7 1.7561132056802937e-07
158 7 1.7561132056802937e-07
