2   6.96    2.81
8   7.34    3.22
16  7.69    3.63
32  8.00    4.10
64  8.28    4.19
128 8.40    4.08
512 8.57    4.33
1024    8.58    4.40
4096    8.60    4.44
8192    8.58    4.35
10000   8.61    4.48
