ts,xmin,alpha,beta,scale,observed_ks,condition_iid_p,condition_exceedances,replicates,joint_iid_p,joint_exceedances
512,8,2.654331152296344,3.4400929149313164,265.5301948034953,0.005164712083197243,0.001,0,999,0.001,0
1024,8,2.654331152296344,3.4400929149313164,244.1179612986076,0.004389874035207131,0.004,3,999,0.001,0
4096,8,2.654331152296344,3.4400929149313164,240.26037450642266,0.003311810209022381,0.025,24,999,0.001,0
8192,8,2.654331152296344,3.4400929149313164,280.9004429274206,0.00968917312080042,0.001,0,999,0.001,0
