replicate,maximum_synthetic_ks,synthetic_ks_ts_512,synthetic_ks_ts_1024,synthetic_ks_ts_4096,synthetic_ks_ts_8192
0,0.002031573097155459,0.0019677692853595774,0.0010446823297056707,0.002031573097155459,0.0013672085339320184
1,0.002361669245852238,0.00155670607807315,0.0017272081271967887,0.002361669245852238,0.0016705264054082125
2,0.004077082145429012,0.004077082145429012,0.001335524546033362,0.001862422928819385,0.0018667123685042197
3,0.0027133438230950158,0.0016978409300218433,0.0020747330243300888,0.0027133438230950158,0.0009760887845740029
4,0.0017558353748002853,0.0017558353748002853,0.0012979738805876107,0.0013432003163085238,0.0012309370548861942
5,0.001894810863291907,0.001894810863291907,0.001229595375680237,0.0018136856401160806,0.0014399574417185423
6,0.0023664766376898516,0.0021183917819589393,0.002029077204216634,0.00134642282780284,0.0023664766376898516
7,0.0026191614119302487,0.0026191614119302487,0.0012937883346105794,0.00163065823190367,0.001442064049160252
8,0.0032175841437621644,0.0032175841437621644,0.0013636661943593475,0.0021033910994674443,0.0014404069127739172
9,0.003185766383572153,0.0011155233502344597,0.002288768700723365,0.0011402714917332357,0.003185766383572153
10,0.002226806163302175,0.0018934468759266299,0.002226806163302175,0.0018829894243302947,0.0009290398320869198
11,0.004097190250478611,0.0018679879202035954,0.004097190250478611,0.0009474019174259274,0.0018629869473655303
12,0.004542551982760268,0.004542551982760268,0.0015764613510154124,0.002932923146161004,0.0026650749011654096
13,0.0028529318245602564,0.0025612276037703108,0.0010647698177174147,0.0028529318245602564,0.0024926813988647156
14,0.002011794412615786,0.001930037703778864,0.0014047385570857829,0.0019173172682502293,0.002011794412615786
15,0.0032150962643600067,0.0013068052390757812,0.0032150962643600067,0.0016402349943966943,0.0015844760094473054
16,0.002664478797312131,0.002664478797312131,0.0010701000763968516,0.002543911694175116,0.0011094359206408333
17,0.003446275692129519,0.002030913755017183,0.003446275692129519,0.002171724378370099,0.0011166684994693976
18,0.0022643070689787326,0.0020943143288325583,0.0022643070689787326,0.0011171175752024975,0.0008860532924196418
19,0.0023442470739725163,0.0023442470739725163,0.001406893442946866,0.0022821159232204735,0.0018118379547308328
20,0.001988694591843587,0.0018175301599204774,0.0015994244020433035,0.0009404032043337507,0.001988694591843587
21,0.0016633559198077075,0.0011583872985961863,0.0012768394823996498,0.001493820268106072,0.0016633559198077075
