xmin,maximum_ks,alpha,beta,joint_log_likelihood,scale_ts_512,scale_ts_1024,scale_ts_4096,scale_ts_8192,ks_ts_512,ks_ts_1024,ks_ts_4096,ks_ts_8192,n_tail_ts_512,n_tail_ts_1024,n_tail_ts_4096,n_tail_ts_8192
1,0.009519490912799022,3.833917494242282,3.470547488151977,-59826604.8429025,3575.4680798198965,4019.9029066965727,100000.00000000001,100000.00000000001,0.008172129351503354,0.00852230315664737,0.008755473407803693,0.009519490912799022,39860756,40302406,40292638,39732807
2,0.03673826430555516,3.152680518955239,3.4705470315041738,-15513235.222098049,3575.467182037519,4019.901998093288,100000.00000000001,100000.00000000001,0.03223030221303147,0.0312321561486808,0.029908946343003562,0.03673826430555516,3123322,3143815,3133658,3059762
3,0.025520833454592107,2.848875873315751,4.999999999999999,-7601030.530961586,326.173939348981,309.4973331964418,99935.83135338729,98348.8964398375,0.019029952603482225,0.018272499226020478,0.016939619447004062,0.025520833454592107,1008789,1018546,1019402,974467
4,0.01711338270393903,2.7578994346583023,4.531990684768019,-4813109.541909244,298.0863343742833,278.678948164769,99921.38966141957,98292.59348240055,0.009573583420662557,0.01002748458869751,0.007752237777125026,0.01711338270393903,530813,536710,538612,506508
5,0.014874964277153513,2.719358777637444,4.108709345352387,-3426691.7724280707,286.76402380907035,265.130791590522,99891.4671621737,98291.126188179,0.003694156455186337,0.006486337051147484,0.004355720933477136,0.014874964277153513,338177,341676,344241,318981
6,0.014407352424569309,2.700319981131551,3.897071398617011,-2610629.9408644754,280.8760157607349,258.8330499147312,99876.357158604,98288.35396127607,0.002357521465901624,0.0065437663734748686,0.0035457454768108576,0.014407352424569309,238867,240548,243375,222681
7,0.011280986097399692,2.688738484519683,3.7741592797613244,-2078577.1901355283,277.2039904469433,255.4478465679651,99858.85591539259,98289.50478443867,0.00194507747158712,0.0050882753034035,0.003149564956137163,0.011280986097399692,179600,180011,183561,165637
8,0.009689198390297693,2.6543298076425397,3.440017033246203,-1705939.109899779,265.52175768890385,244.12497528242722,240.24959860985726,280.8811752016572,0.005164804952739965,0.004390131981827583,0.0033121053333026174,0.009689198390297693,140741,140571,144185,128586
9,0.008646362755701853,2.6445853950143428,3.332076251917409,-1436125.4576128859,262.3131887603977,241.4100894114853,237.1238165749797,278.8773620077691,0.007493168458826194,0.002207347436249646,0.004554888326238848,0.008646362755701853,114162,113667,117094,103620
10,0.010133057967695147,2.6345891050401553,3.2261607843975915,-1230952.1562216314,259.34934048676496,238.42764682327314,234.184813447423,276.7824969907953,0.009686252107990567,0.0018481584081435631,0.0064072865533028045,0.010133057967695147,94637,94326,97256,85649
11,0.011689189142879086,2.627894530597183,3.1591872473072518,-1071256.5155348685,257.4601928374785,236.38455762623525,232.456870277919,275.28748478963297,0.011689189142879086,0.0020441402975280853,0.007231426069505387,0.011660655907527073,80048,79922,82271,72395
12,0.013498118198218334,2.6207017059353452,3.091316886939912,-943293.5350083237,255.57411654819313,234.1703886687714,230.71663671329074,273.67260756485456,0.013498118198218334,0.0025991401054453744,0.007949722327839748,0.01318964482164564,68706,68796,70636,62151
13,0.014095216327108528,2.6096283350003375,2.996948416778503,-838365.0835209809,253.2195290009362,231.30738625764664,228.08048542007162,270.19977760021754,0.014095216327108528,0.0024730667166124043,0.00867351392416238,0.013227065037397345,59473,59811,61361,54254
14,0.015226983472054867,2.602539926419007,2.9415234394502545,-752112.4994746505,251.70308010063584,229.36944436665195,226.8413110957403,267.7666177826741,0.015226983472054867,0.0035638708955172405,0.0077842893340902,0.013413388868026788,52221,52688,53842,47931
15,0.016118292403188794,2.5973465941758134,2.9053263970148206,-679848.8583364665,250.7287361214795,228.05079983641338,226.15697377453114,265.6037076918225,0.016118292403188794,0.004472656123287844,0.006156705836069198,0.01320622739912114,46309,46835,47692,42802
16,0.016303198917775596,2.5919015150627134,2.8676324422746324,-618352.4208486311,249.9280710025552,226.66988467347994,225.12906977277547,263.6240578333772,0.016303198917775596,0.005511033300142576,0.00530933085490945,0.013143181975954876,41346,41966,42657,38478
