xmin,maximum_ks,alpha,beta,joint_log_likelihood,scale_ts_512,scale_ts_1024,scale_ts_4096,scale_ts_8192,ks_ts_512,ks_ts_1024,ks_ts_4096,ks_ts_8192,n_tail_ts_512,n_tail_ts_1024,n_tail_ts_4096,n_tail_ts_8192
17,0.01585741912996269,2.5841035770174887,2.8141019489754138,-565323.5232801749,248.6757364580257,224.4213572262704,223.68619288420388,261.37231126534937,0.01585741912996269,0.007439995742784644,0.005437849084854118,0.013419049638478842,37131,37920,38383,34765
18,0.01581100703259225,2.5721212893401786,2.741076516499868,-519073.67585058045,246.12557488334025,222.16606687316923,221.344593708468,257.6229250182279,0.01581100703259225,0.00786443101313783,0.0057502594557049536,0.012532540752754562,33579,34277,34734,31656
19,0.013542641159006108,2.5689038762683354,2.7240799297795997,-479347.592888088,246.3877747481457,221.73532815203853,220.48518474639977,255.75705436170355,0.013542641159006108,0.008119574526524898,0.00573498717482146,0.011690349962700242,30504,31239,31736,29066
20,0.010803837991532061,2.5608405000338266,2.678656391373072,-444063.5415042493,245.54755206652024,220.28301809973675,218.49107184386443,253.0304199981584,0.010598492832837814,0.008433511291253193,0.005164086987987426,0.010803837991532061,27813,28580,29130,26755
21,0.011081900525940047,2.553235682153911,2.635645459866511,-412877.3818624859,244.4889027466021,218.4819264063376,216.74071685296133,251.1630664937305,0.008708785741634084,0.009882639435772833,0.004868327834293251,0.011081900525940047,25521,26332,26837,24653
22,0.011596969221120301,2.5477026478104645,2.604244884131958,-385203.4233410192,244.05996763791651,217.08872425546542,215.24137310852393,249.85907685801112,0.006656958889022957,0.01145390286652248,0.0041561978714409475,0.011596969221120301,23507,24368,24853,22807
23,0.011217727565694613,2.538101782231121,2.5596587882392465,-360202.68064689124,242.44531087177742,215.53728442879583,213.36825330673327,246.98769806367793,0.006787532310450484,0.011217727565694613,0.004255481344091094,0.010536522946112958,21747,22542,23034,21225
24,0.01031433071729626,2.5335469263804713,2.539001454750687,-337917.83372457954,241.79170147777387,215.222672502732,212.025167852609,245.61540013830654,0.006873054375095222,0.010140537624032442,0.004419409435269195,0.01031433071729626,20218,20913,21486,19800
25,0.009871403614694074,2.5399881589991486,2.5690966539418185,-318087.9407994797,243.35335803926384,216.91377705455108,213.06697030769433,246.43339052007627,0.0067396017348866355,0.009404061632339866,0.004790120414043142,0.009871403614694074,18894,19497,20097,18569
26,0.00920681417899849,2.538542542379135,2.5652488644483107,-299750.05742847896,243.0042497947591,217.302063735725,212.72481553418493,245.63330392729247,0.007380891645187404,0.007776371041746666,0.005333308361043287,0.00920681417899849,17697,18182,18812,17430
27,0.007988803605542216,2.526406870648695,2.5172288836430443,-282729.221669231,241.10515520336858,215.11180260946307,210.8578859363048,242.38280129022513,0.006939019047548289,0.007988803605542216,0.005585443098731102,0.007639671610462917,16542,17031,17589,16393
28,0.008070965338906888,2.5295613358108704,2.5282115577581292,-267601.3144339818,241.82220486223935,216.1667849599622,210.80918084782144,242.99810945749957,0.007079281526714554,0.006585774497119917,0.006896438604428012,0.008070965338906888,15567,15978,16596,15435
29,0.007279120015681595,2.534148730678588,2.547255762028307,-253687.4382161601,242.7881662358985,217.39211448924036,211.59557488112827,243.3970928505887,0.007279120015681595,0.006566476389637366,0.007259344552450586,0.006866893158752163,14681,15027,15642,14597
30,0.008711895763073518,2.527889793027054,2.5270968241244853,-240598.17046962705,241.26601602646534,217.04340171967243,210.6263739831941,241.8134506077591,0.008711895763073518,0.007231591003131088,0.007748631119449234,0.0061539229654971606,13876,14119,14742,13799
31,0.008886149014804334,2.5180239635083317,2.490486030473363,-228494.77297944267,239.83138102992953,215.29261172490357,208.73318229008262,239.86797181894778,0.00788193342820015,0.007444375939056003,0.008886149014804334,0.006746638748299144,13086,13341,13936,13042
32,0.009790889109797973,2.5191154142661807,2.4943473748918827,-217497.16772424232,240.06140079941648,215.86069761384647,208.73296483488167,239.83129601134743,0.008247266167963618,0.008135381941220765,0.009790889109797973,0.006145446870273574,12403,12610,13209,12377
33,0.010481002859023925,2.528585595764847,2.525108971391801,-207422.28165010948,241.91617679925238,217.42035397324014,210.1435689107438,241.44491940676173,0.008435465442618029,0.00879591237300359,0.010481002859023925,0.005299117371877188,11778,11968,12544,11769
34,0.009803391013907814,2.5255389580912224,2.5174409792449275,-197799.84176019367,241.6478244253596,216.7869702149635,210.15599345351572,240.35982217826145,0.007846584352117159,0.009042915684872144,0.009803391013907814,0.004555794540489155,11175,11371,11873,11209
35,0.00998034531722014,2.5243159340345063,2.513880598722557,-188873.39948153702,241.88826641755855,216.60560562722242,210.09075294981736,239.56534014945842,0.006478770288695562,0.009487762034904978,0.00998034531722014,0.005081527151259979,10610,10810,11277,10694
36,0.01033787120261298,2.526193055197686,2.5182664969340225,-180587.9768856546,242.6668011038806,216.56545174219738,210.40332461262201,239.6729948858162,0.0068305015416552095,0.009744920315610361,0.01033787120261298,0.006178045040434177,10089,10310,10732,10201
37,0.011801872121716295,2.529150116202458,2.525064758250559,-172844.04172871105,243.21261865389758,216.95750638512962,210.52632003065904,240.41981586924834,0.007250474839138099,0.010282411674319536,0.011801872121716295,0.005643567125371979,9624,9830,10245,9721
38,0.01160704539151114,2.5218784911620524,2.503408959606777,-165444.8982684524,242.51815138634564,215.4727276976704,209.65114111631925,238.87861361407408,0.00768185924124809,0.010237320185871757,0.01160704539151114,0.006656485900890047,9160,9392,9753,9287
39,0.0121920722810554,2.5084490991365236,2.4636275390997255,-158458.32016662578,240.58104196683303,212.85001374709586,207.59688012283982,237.04153755521892,0.007947730546926435,0.00984100654491038,0.0121920722810554,0.004937842157924699,8733,8990,9304,8845
40,0.010485362358775507,2.5140932179828237,2.4824399754859487,-152070.30976368062,241.17225704879976,213.52309109618355,209.12225341421635,237.88829290481968,0.008211669012712641,0.010141961233900765,0.010485362358775507,0.005429854439697901,8376,8607,8864,8474
41,0.010841569247601157,2.494214133943471,2.4337258777198483,-145808.36506220014,237.22275461421535,210.78287372992907,206.46495473832394,235.40650204688623,0.00783470409978304,0.010243736552293714,0.010841569247601157,0.005825394955447871,8038,8220,8460,8071
42,0.010440185257402979,2.474408068630896,2.388677264969239,-139935.95045707,234.16271451847612,208.18237672345333,204.1507172733657,231.76966183495202,0.007821109694375994,0.010440185257402979,0.010320073237790106,0.0057267427592199716,7692,7856,8071,7742
43,0.010808775753530342,2.4757659053969467,2.3923763445775825,-134600.93708166396,234.32140897691806,208.3027774453518,204.47382781722598,232.00043512294698,0.008135279560803288,0.010808775753530342,0.010375606197826959,0.00594566651909223,7386,7536,7732,7431
44,0.010871780514368656,2.4678030295424964,2.37621672165531,-129473.73034697882,232.90519343180569,207.08438195326778,203.81250825622604,230.81548168505415,0.008200078242876385,0.010871780514368656,0.009595291243710002,0.006109300809444884,7097,7233,7397,7131
45,0.011144359553632577,2.455771000953775,2.351667515353151,-124599.63281615711,231.089148323919,205.5393521015735,202.50113668129066,228.72908861876314,0.008298219704366283,0.011144359553632577,0.009565835012047774,0.007090740264087569,6816,6938,7085,6856
46,0.011443117131573532,2.4466303384586583,2.3349586596315937,-120005.49153296958,229.84163948791965,204.40463499617746,201.81829443136482,226.83352393533832,0.008481846282871186,0.011443117131573532,0.009453803923837212,0.009061763974747838,6550,6662,6785,6608
47,0.011642316812658815,2.4506475957313203,2.344082518047818,-115740.45374074318,230.38764809355308,204.74744418221175,202.67236728181737,227.39701386021488,0.00883016209190246,0.011642316812658815,0.009305768598928177,0.009662044407288573,6310,6415,6514,6365
48,0.012258326616498172,2.410972239672332,2.266067249528554,-111447.69116378699,224.47802796693125,200.09186195332927,197.01839645554074,221.72920072891057,0.008448392665156845,0.012258326616498172,0.011088180986672969,0.008480356777337134,6064,6142,6271,6106
49,0.012614203479345054,2.4041304649847963,2.2557196362285827,-107555.41655226408,223.11569171786644,199.28468637894957,196.5124912507326,220.9094082285124,0.008354143422707572,0.012614203479345054,0.011127268085087683,0.008148228877958047,5856,5912,6025,5880
50,0.013473603824152525,2.357953211209345,2.17450338242784,-103688.76310875842,216.7898195749116,194.04095709723944,190.32630738552356,213.77528691081778,0.008138765712703111,0.013473603824152525,0.012751947311447354,0.008981263851593424,5625,5665,5803,5668
51,0.013719875329637143,2.321337862003315,2.1156551492906255,-100081.87080253787,211.2817458290706,189.62960298182566,185.7438334449937,208.88161220656454,0.007851133228528928,0.013702387108031844,0.013719875329637143,0.006924569524779822,5429,5450,5587,5452
52,0.014092410601829752,2.324945689500484,2.120875941645597,-96816.8248874679,211.47820895248609,189.71021399926852,186.21953044359688,209.97678154942497,0.008766888546740237,0.013555042992371757,0.014092410601829752,0.0054426156346925325,5255,5271,5390,5253
53,0.01438496816816659,2.322006005808408,2.1172259493136747,-93661.73659587358,210.86681563075948,189.34895031224775,186.01463806115194,209.7420827323199,0.009674563391820323,0.013931060641264648,0.01438496816816659,0.006198747924233833,5085,5089,5198,5073
54,0.014109897920958736,2.2928181313585894,2.0779945837473295,-90545.14581183447,206.63780833284258,185.99837179404656,183.25318517773601,205.65519809628913,0.011239744601446944,0.014109897920958736,0.013884497241147209,0.006074649933160453,4919,4908,4995,4903
55,0.014023068403039352,2.2391747318392348,2.0035265500212613,-87535.26901156669,199.53126644830982,178.9769275513787,177.23106866470823,198.64205453191104,0.011646289620890593,0.01250956985573537,0.014023068403039352,0.008160206641159212,4745,4752,4807,4726
56,0.014729780989497843,2.2084663886027176,1.9632191647463153,-84741.36159062572,196.01261118165135,175.3523503801805,173.61724673612613,193.9975401410766,0.010513761199661964,0.012615626551774672,0.014729780989497843,0.006709580211051641,4575,4591,4643,4583
57,0.013898778716925297,2.235146465715184,1.9977012906603016,-82203.53457252192,199.5712678989714,178.0506435677939,177.17765945063024,197.4399086933006,0.01067201456295458,0.012201035587142972,0.013898778716925297,0.006432577554131624,4437,4456,4483,4447
58,0.014650049629486961,2.2229579117669567,1.9776947961259348,-79693.2808703371,198.75548120158953,175.76363785003286,175.49700216297214,195.4573167384933,0.008998078929017606,0.010625645583946686,0.014650049629486961,0.0070513415204439545,4277,4329,4339,4312
59,0.014600714028298434,2.230798876975422,1.9845160309046197,-77318.14860376282,200.18672016176882,175.95979019477133,176.4356459935272,196.18765415316668,0.009957051879125989,0.00939109103520347,0.014600714028298434,0.0074308832501150945,4137,4206,4197,4185
60,0.014307783939148111,2.2477059212905903,2.004618979102533,-75039.46733415316,202.5249331094309,177.58677693054534,178.54990709552484,198.1173132325997,0.010721108051027772,0.009057863550410772,0.014307783939148111,0.007868360343057379,4011,4080,4060,4065
61,0.014777041905394694,2.2552902264100667,2.0187284517350372,-72798.5719690699,203.2981951986789,179.59785808858504,179.59046227850524,198.73888710609535,0.01065861999181461,0.012476548740164073,0.014777041905394694,0.009258383786153124,3899,3928,3932,3954
62,0.015257372793142376,2.2685702109734867,2.0317202152013274,-70689.08756318533,205.1335646854837,180.35756596944992,180.92607767022838,200.515093635892,0.011569661857726121,0.010990598528017648,0.015257372793142376,0.00880269970344355,3780,3820,3811,3833
63,0.016236388615612662,2.215330337878757,1.972825001916815,-68501.56539697039,198.26290610393187,175.38073622284074,175.11935663589983,194.05554485548717,0.010605900701166404,0.013607154937577304,0.016236388615612662,0.009604697428680475,3668,3680,3689,3711
64,0.014683758441465578,2.19969930602808,1.9581057507439392,-66481.6641996383,196.21617084575175,173.7017758147469,174.10135543664433,192.1713925477426,0.010335571236146257,0.013563572145850411,0.014683758441465578,0.010290411742333583,3564,3568,3562,3602
65,0.015382698454092625,2.231735911045731,1.9926665485715218,-64631.71609187177,200.0484935674707,176.9055454809158,177.44211592904765,196.14747396080253,0.011076300939435235,0.013342889420012438,0.015382698454092625,0.010006452401438715,3466,3466,3458,3499
66,0.014114389860479887,2.1837152434281126,1.9414026158053705,-62710.0958739487,194.2234791063231,171.5094944745932,172.79115056757072,190.61886095387098,0.010607041331702871,0.012241784843569914,0.014114389860479887,0.010126664376036543,3363,3365,3341,3389
67,0.014841579757922913,2.2151118748950696,1.9731543091361168,-60990.50305126804,198.27635415931252,174.75199878878558,175.97514180719295,193.7840636032979,0.011948181916326184,0.012712422531960726,0.014841579757922913,0.011563329417564161,3265,3266,3245,3305
68,0.013731730838369871,2.1167113927401218,1.871635495588091,-59154.64477115263,186.98283766095142,163.78722810581817,166.0771493579199,182.42589300136146,0.011629713909426798,0.00981119628902452,0.013731730838369871,0.011656978033672438,3158,3178,3134,3198
69,0.014072359958135883,2.0805417000689452,1.8346776860345644,-57485.96143934974,183.38571970842463,159.6948049709652,162.47400344455053,177.48825953711616,0.012827527161880348,0.008710688146300022,0.013291688009487213,0.014072359958135883,3056,3089,3036,3118
70,0.013568062227586164,2.0315677747839773,1.7907320596032466,-55859.55264497099,177.778168514381,154.4298969631378,157.78879749564462,172.29545000878173,0.012570869976774868,0.00697361439666358,0.012745427036515489,0.013568062227586164,2970,3005,2941,3023
71,0.013843471790556339,2.0202286882437055,1.783860790337011,-54318.55771819367,176.2841301304543,153.35848938879306,157.4209598695874,171.257553861185,0.011992402942730185,0.006525384834442885,0.010580974512936797,0.013843471790556339,2896,2920,2845,2939
72,0.014728112406592608,1.969000201678726,1.7448949342660314,-52794.039016351715,170.8333846829207,149.4225622394758,152.1972602564554,165.81878156220614,0.011665164885371837,0.011761810926029903,0.012827683354715624,0.014728112406592608,2816,2819,2770,2858
73,0.014891313618550783,1.9369857516298827,1.7204833169778497,-51353.3151181435,167.21077287257788,145.84755023024312,150.0509947359524,162.58542281798032,0.011153990759410037,0.008298766537297289,0.011269573021472523,0.014891313618550783,2744,2750,2675,2778
74,0.014509648326006264,1.9065950433434655,1.6956048998643665,-49974.47205009235,163.8264478524104,142.29894433487578,147.55625434154604,159.53448752367683,0.011089181757383437,0.006289468187435476,0.013009919705269157,0.014509648326006264,2672,2684,2591,2699
75,0.013653996239969268,1.859711963189101,1.6589071157145012,-48635.7102055174,158.66004414244776,137.26480454679367,143.1661428530403,155.21006607585355,0.010741269594817249,0.008307276546513781,0.013653996239969268,0.012469334833981383,2603,2620,2516,2615
76,0.012189228026829257,1.7374774718844477,1.5805776078720049,-47276.659041438026,146.5462878007401,127.28542433578119,132.14508314895994,143.92505272142452,0.009560039738894521,0.0068900888297329654,0.012189228026829257,0.01081516315393899,2534,2537,2450,2533
77,0.011600321837114902,1.7823908156530959,1.6092964620207892,-46077.21492948926,150.96568031110323,131.26427253637783,135.78284835719776,148.19913624229977,0.010257267075096721,0.0064562338056323165,0.011600321837114902,0.011335175710335016,2471,2464,2390,2471
78,0.014760213617925788,1.8475936115395093,1.6535902317573299,-44917.40201357796,156.85388236057085,136.61284051412298,142.26642914087992,154.87553812270443,0.00936649854938676,0.008063684565559615,0.014760213617925788,0.010755200181680302,2421,2403,2316,2407
79,0.014581056605074527,1.7383513900946612,1.585198955516061,-43691.564927924635,146.60079333311484,127.79538501354762,132.833958880924,144.42127627791075,0.009216650324132936,0.006713303820470751,0.014581056605074527,0.011220586402636595,2353,2330,2252,2343
80,0.017091511738137832,1.553190933373945,1.4829865505048443,-42476.453845816846,130.01152155898848,113.6164670327643,118.48226304202427,127.90325756465361,0.008415217239180928,0.00671458890034915,0.017091511738137832,0.011894900215296461,2290,2260,2179,2281
81,0.015578967875713001,1.575449309588166,1.495835494097759,-41409.68606753081,132.06030118427412,115.65594479200418,119.9434211048,129.96598840446043,0.008699535152405735,0.007197152524300643,0.015578967875713001,0.011914932933620004,2234,2194,2129,2224
82,0.015120224357367984,1.6723790178717577,1.5492264922657812,-40406.92174811679,140.20574394147113,123.06243013591019,127.50564911142845,139.02624075298905,0.009179353424124237,0.007487455611815408,0.015120224357367984,0.009482815599830247,2189,2138,2078,2163
83,0.013530983199723456,1.3249614082655743,1.371529572372291,-39277.18642182954,111.48363107646855,97.31352855374818,100.80259550076602,110.16079609890582,0.008934699283667635,0.006921909678154425,0.013530983199723456,0.009524744352672365,2118,2080,2024,2097
84,0.011858465223655773,1.3237237450370327,1.3751093131531775,-38286.86730819765,111.69012006771996,98.0650165894863,100.81829949699149,110.53515110807977,0.008572172801359634,0.007674590543955584,0.011858465223655773,0.009599893012327776,2069,2015,1977,2045
85,0.013414578791411919,1.3243480624087254,1.3731315239581776,-37348.879472199165,111.34322960040178,97.60487708257608,100.81622299289769,110.58569888908599,0.008552514716542725,0.00752450817000383,0.013414578791411919,0.00878844862473721,2023,1968,1923,1992
86,0.01489833733609057,1.2178449197737211,1.33108826954812,-36387.4094728412,103.93765433949069,91.34786108451239,94.13118328065289,102.64575181847509,0.008796233217172794,0.008034893218368921,0.01489833733609057,0.011291785577054847,1970,1908,1870,1950
87,0.013473320323028531,1.1682183934299832,1.3102154030069149,-35488.692343288356,100.00714758364428,88.0269682866912,90.6668268270284,99.7453117349544,0.008245192027697246,0.00798750089058009,0.013473320323028531,0.009496482597272315,1929,1861,1826,1890
88,0.013350558670517987,1.2485342910857578,1.33936999922936,-34650.11395516889,105.59367350682061,92.87636248256253,94.87506353683682,105.1577025520207,0.008970423811569095,0.008440701285364338,0.013350558670517987,0.009485882536227286,1881,1810,1792,1846
89,0.012732943951522857,1.4617294290468603,1.4337309001739158,-33846.369440070746,121.67019873484395,107.29577411336143,109.56563068369896,121.22462992268316,0.00982593210619942,0.009479231779751907,0.012732943951522857,0.009342946025809318,1843,1762,1746,1809
90,0.016000972789394163,1.463098672792168,1.4312146281315867,-33023.67871256549,121.70603857469195,107.41664556728885,108.57500506027021,121.17185864506553,0.010367431487878997,0.011861477934292763,0.016000972789394163,0.009443659795338122,1796,1711,1714,1764
91,0.016228791140417642,1.6093981054363848,1.4992266233392206,-32253.635291201383,133.37480401901388,117.58022335657593,118.8832677089188,132.7549784342743,0.011366541120750195,0.011510340028127508,0.016228791140417642,0.009255368606980396,1756,1669,1672,1726
92,0.015282106319389921,1.8195088318131099,1.6101894735437055,-31517.162976713906,151.21116724663648,133.26764413834013,135.17741901622838,150.785776639951,0.012566636523554942,0.010633192611331332,0.015282106319389921,0.010141752208687987,1721,1630,1628,1690
93,0.013842668728752006,1.6314838492632244,1.5120828524717969,-30681.365658629165,134.71834025257013,118.69468991308754,121.45937245472018,135.39519524367546,0.011276884045356206,0.009915173918890408,0.013842668728752006,0.009400798188198167,1682,1592,1576,1637
94,0.014397867720304214,1.6590757040127568,1.5200443028163888,-29948.962068771914,136.78050873821542,119.74261148248118,122.92817341061752,137.16411694696313,0.012216187199846185,0.009790165518451355,0.014397867720304214,0.009572412390929597,1639,1557,1537,1599
95,0.017108632343788677,1.735862266271831,1.5591715835418047,-29232.00655290862,142.9167933141888,125.76578580063469,128.15035372850235,144.07771114759157,0.012515970985044866,0.010371270370079455,0.017108632343788677,0.010876151923546407,1605,1512,1505,1558
96,0.01962063094787267,1.68426581964308,1.53036604621324,-28507.49604946517,138.5445746376349,121.83745778398522,123.64534808678508,139.58866150025602,0.012872743804027809,0.010713025681293675,0.01962063094787267,0.011223407321599321,1564,1471,1471,1519
97,0.01615920483805605,1.874852438136029,1.627660721924794,-27860.702024275,153.9176168675251,135.03739789999997,138.7217857618004,156.2162326142065,0.013387348031063229,0.01058047315804489,0.01615920483805605,0.013198157206767591,1537,1444,1426,1483
98,0.019333689588071468,1.8725040916455695,1.629961793574281,-27166.103024353735,154.3111257749151,135.85986100936077,138.2646786366593,155.9648485088945,0.014065319406131094,0.011431442354504717,0.019333689588071468,0.012688971845331909,1497,1398,1395,1451
99,0.020985178107139735,1.7145171575772111,1.547447472266297,-26463.774828108984,141.40554595510048,124.29190032234136,126.10714710381119,142.09422503643273,0.014328870471541744,0.011947654172260569,0.020985178107139735,0.011645662411745528,1454,1358,1360,1417
100,0.022549092914929153,1.5241111522041204,1.456127082761117,-25790.47177283245,126.02338297261745,110.61845220825585,112.26347310018298,127.08217308173077,0.013721982460710658,0.011565374340511747,0.022549092914929153,0.012594054189393245,1418,1324,1326,1376
101,0.01978963751743576,1.6458477964417266,1.509087877493454,-25191.588147709495,135.63728217020824,118.26700275798518,121.04530048252862,135.8751877192957,0.015352846883365912,0.011662368975095316,0.01978963751743576,0.011753574242113596,1383,1296,1287,1352
102,0.015295163565746839,1.3935571162091758,1.4055066767068791,-24529.231638239176,116.78222893052214,102.00865995300728,105.21003274791758,117.56265251536529,0.013578564214768774,0.011810619059875682,0.015295163565746839,0.01202515122748421,1352,1263,1245,1314
103,0.014491137770213228,1.7527502562805892,1.5767993162478917,-23975.207506318315,144.7241890322051,127.99514065616147,131.16017497838953,145.86342279464586,0.014037354537024704,0.013453614820039539,0.014491137770213228,0.011807064268960388,1330,1222,1213,1293
104,0.014730750574559873,1.5592356933321945,1.4786791356085922,-23381.10686681823,128.63676285544588,112.61100428312737,117.65554168462558,130.24320485909058,0.013257383268439837,0.014730750574559873,0.011988809662883682,0.013087115856305509,1299,1204,1172,1256
105,0.013250328866985295,1.6194941381449661,1.5114040310219519,-22817.32857917003,133.61718706675086,117.64248331399179,122.37584187554724,135.34067413309552,0.013250328866985295,0.013232909538174797,0.012277460604567692,0.012940668255666365,1271,1168,1143,1229
106,0.013654229240060434,1.6184354777035483,1.5127009869454595,-22267.102389759384,133.75557744765084,117.82533764637797,122.41598877017867,135.40194705741663,0.013644835730918015,0.013654229240060434,0.012770115799851267,0.013103202277542803,1241,1137,1115,1201
107,0.015416312674345123,1.3915639294213582,1.448082819964246,-21649.89452744313,120.5212922529231,106.99999999999996,111.06612257173258,121.45362532603698,0.012705127012763218,0.015026313778949363,0.012313248970807544,0.015416312674345123,1208,1098,1078,1174
108,0.017487974583166643,1.508476230608736,1.4794588870345908,-21180.35657884006,126.92430332722269,113.1555962133552,116.5145121020651,127.83189514109178,0.013208944713309967,0.017487974583166643,0.013637539650605102,0.015468068812166946,1184,1067,1058,1152
109,0.016025445528495025,1.6731203258358094,1.5417733907620896,-20715.881342067623,138.1690154597301,122.71960771458892,126.21838233165376,139.80890974563218,0.014174613981807305,0.016025445528495025,0.015113046515916218,0.014012117599058405,1159,1045,1038,1123
110,0.018357657063027083,1.483697403163637,1.467707221343506,-20187.708824729743,124.93162085655628,111.41362771746653,114.3742917611961,126.33569579485327,0.013543728339544425,0.018357657063027083,0.015633740728322854,0.015300977534191906,1131,1014,1010,1096
