ts,xmin,common_alpha,common_beta,scale,n_tail,ks,condition_block_gof_p,condition_exceedances,replicates,joint_log_likelihood,joint_block_gof_p,joint_exceedances
512,29,2.5341459712204317,2.547241171986998,242.7892575247486,14681,0.007279625323372063,0.61,609,999,-253687.43821608275,0.981,980
1024,29,2.5341459712204317,2.547241171986998,217.39169016856223,15027,0.006566394200612002,0.7,699,999,-253687.43821608275,0.981,980
4096,29,2.5341459712204317,2.547241171986998,211.59336886535095,15642,0.007258947073678579,0.643,642,999,-253687.43821608275,0.981,980
8192,29,2.5341459712204317,2.547241171986998,243.39700866356478,14597,0.00686663255090092,0.711,710,999,-253687.43821608275,0.981,980
