0.00000000 0.00000000
0.15931864 0.00003000
0.31863727 0.00010007
0.47795591 0.00022416
0.63727455 0.00041205
0.79659319 0.00067168
0.95591182 0.00100986
1.11523046 0.00143260
1.27454910 0.00194537
1.43386774 0.00255317
1.59318637 0.00326065
1.75250501 0.00407214
1.91182365 0.00499175
2.07114228 0.00602335
2.23046092 0.00717065
2.38977956 0.00843715
2.54909820 0.00982625
2.70841683 0.01134119
2.86773547 0.01298510
3.02705411 0.01476101
3.18637275 0.01667184
3.34569138 0.01872043
3.50501002 0.02090953
3.66432866 0.02324182
3.82364729 0.02571989
3.98296593 0.02834630
4.14228457 0.03112351
4.30160321 0.03405395
4.46092184 0.03713997
4.62024048 0.04038391
4.77955912 0.04378801
4.93887776 0.04735451
5.09819639 0.05108557
5.25751503 0.05498333
5.41683367 0.05904989
5.57615230 0.06328731
5.73547094 0.06769762
5.89478958 0.07228279
6.05410822 0.07704480
6.21342685 0.08198557
6.37274549 0.08710699
6.53206413 0.09241093
6.69138277 0.09789925
6.85070140 0.10357375
7.01002004 0.10943622
7.16933868 0.11548844
7.32865731 0.12173214
7.48797595 0.12816905
7.64729459 0.13480086
7.80661323 0.14162926
7.96593186 0.14865589
8.12525050 0.15588241
8.28456914 0.16331042
8.44388778 0.17094154
8.60320641 0.17877734
8.76252505 0.18681938
8.92184369 0.19506923
9.08116232 0.20352841
9.24048096 0.21219843
9.39979960 0.22108081
9.55911824 0.23017702
9.71843687 0.23948855
9.87775551 0.24901684
10.03707415 0.25876335
10.19639279 0.26872950
10.35571142 0.27891672
10.51503006 0.28932640
10.67434870 0.29995995
10.83366733 0.31081875
10.99298597 0.32190416
11.15230461 0.33321754
11.31162325 0.34476024
11.47094188 0.35653360
11.63026052 0.36853895
11.78957916 0.38077759
11.94889780 0.39325083
12.10821643 0.40595998
12.26753507 0.41890631
12.42685371 0.43209110
12.58617234 0.44551561
12.74549098 0.45918111
12.90480962 0.47308885
13.06412826 0.48724006
13.22344689 0.50163598
13.38276553 0.51627783
13.54208417 0.53116683
13.70140281 0.54630418
13.86072144 0.56169109
14.02004008 0.57732874
14.17935872 0.59321832
14.33867735 0.60936101
14.49799599 0.62575797
14.65731463 0.64241038
14.81663327 0.65931939
14.97595190 0.67648614
15.13527054 0.69391179
15.29458918 0.71159746
15.45390782 0.72954428
15.61322645 0.74775339
15.77254509 0.76622590
15.93186373 0.78496291
16.09118236 0.80396554
16.25050100 0.82323489
16.40981964 0.84277205
16.56913828 0.86257811
16.72845691 0.88265415
16.88777555 0.90300125
17.04709419 0.92362049
17.20641283 0.94451292
17.36573146 0.96567962
17.52505010 0.98712165
17.68436874 1.00884005
17.84368737 1.03083587
18.00300601 1.05311016
18.16232465 1.07566396
18.32164329 1.09849829
18.48096192 1.12161420
18.64028056 1.14501270
18.79959920 1.16869482
18.95891784 1.19266158
19.11823647 1.21691398
19.27755511 1.24145304
19.43687375 1.26627977
19.59619238 1.29139516
19.75551102 1.31680021
19.91482966 1.34249592
20.07414830 1.36848328
20.23346693 1.39476327
20.39278557 1.42133687
20.55210421 1.44820508
20.71142285 1.47536886
20.87074148 1.50282919
21.03006012 1.53058704
21.18937876 1.55864338
21.34869739 1.58699917
21.50801603 1.61565537
21.66733467 1.64461294
21.82665331 1.67387283
21.98597194 1.70343601
22.14529058 1.73330341
22.30460922 1.76347599
22.46392786 1.79395470
22.62324649 1.82474046
22.78256513 1.85583423
22.94188377 1.88723695
23.10120240 1.91894954
23.26052104 1.95097294
23.41983968 1.98330808
23.57915832 2.01595589
23.73847695 2.04891729
23.89779559 2.08219322
24.05711423 2.11578459
24.21643287 2.14969232
24.37575150 2.18391734
24.53507014 2.21846056
24.69438878 2.25332290
24.85370741 2.28850526
25.01302605 2.32400856
25.17234469 2.35983372
25.33166333 2.39598164
25.49098196 2.43245323
25.65030060 2.46924940
25.80961924 2.50637105
25.96893788 2.54381908
26.12825651 2.58159441
26.28757515 2.61969792
26.44689379 2.65813052
26.60621242 2.69689312
26.76553106 2.73598660
26.92484970 2.77541188
27.08416834 2.81516983
27.24348697 2.85526137
27.40280561 2.89568739
27.56212425 2.93644878
27.72144289 2.97754643
27.88076152 3.01898125
28.04008016 3.06075412
28.19939880 3.10286595
28.35871743 3.14531761
28.51803607 3.18811001
28.67735471 3.23124403
28.83667335 3.27472058
28.99599198 3.31854053
29.15531062 3.36270480
29.31462926 3.40721426
29.47394790 3.45206981
29.63326653 3.49727235
29.79258517 3.54282276
29.95190381 3.58872195
30.11122244 3.63497080
30.27054108 3.68157021
30.42985972 3.72852108
30.58917836 3.77582430
30.74849699 3.82348077
30.90781563 3.87149139
31.06713427 3.91985705
31.22645291 3.96857866
31.38577154 4.01765711
31.54509018 4.06709331
31.70440882 4.11688816
31.86372745 4.16704256
32.02304609 4.21755742
32.18236473 4.26843365
32.34168337 4.31967215
32.50100200 4.37127383
32.66032064 4.42323961
32.81963928 4.47557040
32.97895792 4.52826711
33.13827655 4.58133066
33.29759519 4.63476197
33.45691383 4.68856196
33.61623246 4.74273155
33.77555110 4.79727167
