ts,xmin,alpha,beta,scale,observed_ks,condition_iid_p,condition_exceedances,replicates,joint_iid_p,joint_exceedances
512,29,2.5341459712204317,2.547241171986998,242.7892575247486,0.007279625323372063,0.218,217,999,0.558,557
1024,29,2.5341459712204317,2.547241171986998,217.39169016856223,0.006566394200612002,0.304,303,999,0.558,557
4096,29,2.5341459712204317,2.547241171986998,211.59336886535095,0.007258947073678579,0.176,175,999,0.558,557
8192,29,2.5341459712204317,2.547241171986998,243.39700866356478,0.00686663255090092,0.245,244,999,0.558,557
