replicate,maximum_synthetic_ks,synthetic_ks_ts_512,synthetic_ks_ts_1024,synthetic_ks_ts_4096,synthetic_ks_ts_8192
0,0.00818591437191818,0.006355585590532509,0.003687122157221473,0.0047675905295765375,0.00818591437191818
1,0.0074409668794892525,0.004324853701035747,0.0074409668794892525,0.004347788497878424,0.00417113306098249
2,0.007201419777174839,0.007201419777174839,0.006396504600729991,0.005715591943597387,0.004735890229037976
3,0.006226192410857423,0.005638460473241624,0.006191867200316281,0.006226192410857423,0.005832285340105714
4,0.009292763482795618,0.003956279262465778,0.005576458351865654,0.0039774345816913775,0.009292763482795618
5,0.009480521622516003,0.008803854745843775,0.0046803768009244795,0.005301397676850672,0.009480521622516003
6,0.006139416998823033,0.006139416998823033,0.003572676992441126,0.004022088677388569,0.006133702509971806
7,0.00676838093945753,0.00676838093945753,0.0035087903569553935,0.003592946139891029,0.0038182990865321953
8,0.00805807109615117,0.00805807109615117,0.004148155038415258,0.00334753191500492,0.007386871024410602
9,0.006833029483276132,0.00457686636514959,0.005010791129166137,0.006833029483276132,0.003425689911471741
10,0.008190054946252412,0.0038739121386447972,0.008190054946252412,0.0071641002937182785,0.0068709551094250365
11,0.00677129347595129,0.004478951935869446,0.005172541705601996,0.004797375791026126,0.00677129347595129
12,0.008450013981849858,0.003001649583060484,0.0045257007137626815,0.0057542451947319995,0.008450013981849858
13,0.0065110131119634485,0.0065110131119634485,0.004357793720230985,0.004036051643601768,0.005137642390726185
14,0.010662224599409686,0.010662224599409686,0.007162815346076878,0.004942865562361898,0.0038639704741697534
15,0.010376904184125957,0.004830837187796672,0.010376904184125957,0.003845472643071418,0.006577638547109577
16,0.007708619080588036,0.0056807510297817165,0.005009319688890901,0.007708619080588036,0.004437938758306226
17,0.008008270416275387,0.005179479121980024,0.005791391371318344,0.008008270416275387,0.0060116578705358414
18,0.010216065845475075,0.003446518331307352,0.003989696759472583,0.010216065845475075,0.007420984105671435
19,0.008601892014978962,0.007284099217992779,0.008601892014978962,0.005899768060439237,0.008358528087141048
20,0.008951918737035602,0.007804125596035605,0.008951918737035602,0.005451463412556035,0.00639776616805135
21,0.0063058178098367446,0.005270798806458199,0.006280696582138978,0.0063058178098367446,0.003931125508192745
22,0.006184507343482748,0.006184507343482748,0.0028126836991628767,0.0044850036760517575,0.0044796353766581865
23,0.006745251782387218,0.005861915744618029,0.006745251782387218,0.00409026318896899,0.005863158078989739
24,0.00794340149174344,0.007848763594901942,0.004015656108252941,0.00794340149174344,0.005130187521313889
25,0.0062397943094578134,0.0060743419157128775,0.006077942145326087,0.0062397943094578134,0.005887537893685846
26,0.007470344855339983,0.0036098463801422787,0.007470344855339983,0.0049287880075654655,0.00520576830983055
27,0.005460673486217149,0.005286935263059789,0.0053804319767499775,0.005460673486217149,0.004185100829411002
28,0.008194010443963506,0.005699461664439021,0.008194010443963506,0.0070227631123279954,0.005498795441265414
29,0.00662559008831845,0.0030597749994221712,0.005842304189853431,0.00479892006664151,0.00662559008831845
30,0.010959000669692354,0.00831668801567037,0.010959000669692354,0.005086656107498255,0.004437392317439337
31,0.0067499833167672385,0.0067499833167672385,0.005403568467987507,0.005806530091246431,0.0036059327153905585
32,0.005745024237242324,0.0039045881670907168,0.0056915171989854185,0.005745024237242324,0.005427001324173952
33,0.007424735377119074,0.005166634253832125,0.004424564467013337,0.004387064368242044,0.007424735377119074
34,0.008442279313047751,0.008442279313047751,0.006563831047023461,0.006651825437800352,0.005056175582073608
35,0.006014966769676555,0.006014966769676555,0.005503186431609519,0.00384578777462552,0.0052277668932996235
36,0.0064511309067872835,0.003981385785274155,0.005058757181864382,0.004756791044529085,0.0064511309067872835
37,0.004981900467097178,0.0023788770269227433,0.004981900467097178,0.004067656024714372,0.004450231542343475
38,0.006708158430445699,0.004803221069840935,0.0034096373082762033,0.004879421264463335,0.006708158430445699
39,0.0071391957210147905,0.004643250373798424,0.0064614627445392925,0.0071391957210147905,0.005345758857671967
40,0.008877203717941873,0.008877203717941873,0.0029787359702589944,0.005062692964025728,0.005288812885933414
41,0.006123878946057593,0.004188387590512432,0.006123878946057593,0.0034829411680147304,0.003467442057889236
42,0.01010100647515122,0.0038976064896918405,0.006267902518025448,0.00733722929888414,0.01010100647515122
43,0.009638069467288068,0.0044377082579799,0.008863778560816993,0.009638069467288068,0.005343067437547977
44,0.005958587122171677,0.004800039183665283,0.005958587122171677,0.0028407992315806485,0.00516380488808732
45,0.007904236369508544,0.006359586467820755,0.007904236369508544,0.0047794731324924955,0.00413266301812501
46,0.007154087751715554,0.006488033164082085,0.007148100575241623,0.007154087751715554,0.006795922189644976
47,0.007587120506539202,0.004466977945682224,0.005256042795468208,0.006855842624105352,0.007587120506539202
48,0.010311388623618689,0.01028653375757016,0.010311388623618689,0.00378537058481887,0.004784732749260501
49,0.006505567972593496,0.005656399675496249,0.004770642619461307,0.006505567972593496,0.004653832267806746
50,0.010198335654799662,0.004029564167648769,0.010198335654799662,0.006727028697400439,0.005625250661600523
51,0.0079006403966555,0.005567979998464451,0.004196791283804735,0.0079006403966555,0.007581915614224888
52,0.006290973546428991,0.005187120172271631,0.006290973546428991,0.005436545708804752,0.005762470136274289
53,0.007425822457484604,0.004857156501539839,0.0045763121449609034,0.007425822457484604,0.0065902453273821715
54,0.005445896728751731,0.004687674628372718,0.004085722794548885,0.005445896728751731,0.005311758089492691
55,0.007435102867541232,0.007333973808918537,0.006883676723673349,0.007435102867541232,0.0038524516974398626
56,0.01178691880946392,0.01178691880946392,0.0063573332562710805,0.006370425319446427,0.006541812498314925
57,0.005879269701356216,0.005333348388592951,0.005879269701356216,0.003965403413095411,0.00416194130623429
58,0.00533981760805291,0.00533981760805291,0.004503993558146346,0.004095007189060418,0.004639603259177338
59,0.006961035885396316,0.005890109869967131,0.0058329582079165165,0.006961035885396316,0.0048576843987117035
60,0.00792926923351589,0.006060495433338864,0.0056174115828374616,0.006882208825644942,0.00792926923351589
61,0.008997976999945034,0.008973621147510907,0.006477312626383236,0.005278147893367668,0.008997976999945034
62,0.010904130523383904,0.006940261107328816,0.010904130523383904,0.007154354566981214,0.00987967956835234
63,0.004870760280933167,0.0032810162584548386,0.00475823409994669,0.004852781816384377,0.004870760280933167
64,0.005329828598178987,0.005329828598178987,0.0040297095372442415,0.004637985941784939,0.004648303182763935
65,0.006065324877028266,0.005663608506365103,0.006065324877028266,0.004624945787782664,0.005886031056279051
66,0.009418549717071567,0.004174968539693569,0.005513080850548913,0.003935098589727071,0.009418549717071567
67,0.0061455214536692004,0.0052535407020539715,0.0061455214536692004,0.00461437360414807,0.005281199241014667
68,0.00651755739818094,0.00651755739818094,0.0033220090993960893,0.005864689617140539,0.005380475740087376
69,0.006396560885744695,0.006396560885744695,0.003898670554758954,0.006350855462495308,0.006359197071419742
70,0.00680307582781936,0.0034124216754592984,0.0038329166607192766,0.004997348875021845,0.00680307582781936
71,0.01179415477010165,0.008284817369144881,0.008937358418988683,0.00419698441140659,0.01179415477010165
72,0.006494473938841283,0.006494473938841283,0.005711916408081108,0.0038021894580563265,0.003404238863199155
73,0.008051408767538959,0.004416725740709948,0.003958092982325634,0.008051408767538959,0.007161291492481764
74,0.007426414678665227,0.0068904674402309185,0.006142908219232246,0.007426414678665227,0.005958034413358071
75,0.005997024613409813,0.005842059028602353,0.005997024613409813,0.004957898210520839,0.004416222453940355
76,0.008603093628529956,0.004674477395639726,0.008603093628529956,0.0036962600530784373,0.006374376618595967
77,0.010614826406341538,0.005107091931592311,0.004512720889182309,0.010614826406341538,0.0049226995684490404
78,0.0055776261455518505,0.0055776261455518505,0.004577858936424761,0.0025055805897392647,0.0050611430595838836
79,0.007650663173255412,0.004200604271750286,0.00483504379820654,0.007650663173255412,0.005489201276690003
